datetime,Np,Vp,Tpr
2024-01-01 00:00:00,1.9161,315.45,26049.0
2024-01-01 01:00:00,2.8087,318.23,25874.0
2024-01-01 02:00:00,2.6372,317.13,25033.0
2024-01-01 03:00:00,3.3142,317.37,24560.0
2024-01-01 04:00:00,4.4011,321.94,22182.0
2024-01-01 05:00:00,7.3113,331.89,18769.0
2024-01-01 06:00:00,8.8506,334.25,19915.0
2024-01-01 07:00:00,10.0244,333.1,18147.0
2024-01-01 08:00:00,10.8271,333.96,21869.0
2024-01-01 09:00:00,12.1227,334.6,25472.0
2024-01-01 10:00:00,4.2488,328.54,28340.0
2024-01-01 11:00:00,2.9398,327.74,35533.0
2024-01-01 12:00:00,6.0547,354.2,84509.0
2024-01-01 13:00:00,8.0993,357.3,74531.0
2024-01-01 14:00:00,7.4536,351.48,42695.0
2024-01-01 15:00:00,7.1062,354.36,59813.0
2024-01-01 16:00:00,7.1576,357.43,70476.0
2024-01-01 17:00:00,7.6606,357.72,66920.0
2024-01-01 18:00:00,8.2389,356.17,69434.0
2024-01-01 19:00:00,8.7865,346.68,46392.0
2024-01-01 20:00:00,11.2867,351.61,46271.0
2024-01-01 21:00:00,10.9058,351.42,52701.0
2024-01-01 22:00:00,10.7212,357.77,49080.0
2024-01-01 23:00:00,7.65,355.76,70889.0
2024-01-02 00:00:00,6.4758,373.86,79638.0
2024-01-02 01:00:00,4.4411,391.43,92781.0
2024-01-02 02:00:00,5.2963,409.12,142632.0
2024-01-02 03:00:00,5.919,409.45,157454.0
2024-01-02 04:00:00,6.1504,402.96,158682.0
2024-01-02 05:00:00,5.8055,398.33,159467.0
2024-01-02 06:00:00,5.0694,398.87,151113.0
2024-01-02 07:00:00,4.6697,394.14,134672.0
2024-01-02 08:00:00,4.9324,389.01,136053.0
2024-01-02 09:00:00,5.1692,402.48,146994.0
2024-01-02 10:00:00,4.5178,399.7,130903.0
2024-01-02 11:00:00,5.1446,408.13,99343.0
2024-01-02 12:00:00,5.4492,402.73,118532.0
2024-01-02 13:00:00,5.3964,395.92,106235.0
2024-01-02 14:00:00,8.2801,394.83,90313.0
2024-01-02 15:00:00,8.4951,383.95,87651.0
2024-01-02 16:00:00,6.9381,399.74,93846.0
2024-01-02 17:00:00,4.9799,411.97,104062.0
2024-01-02 18:00:00,4.6699,399.32,94259.0
2024-01-02 19:00:00,6.0895,399.49,97463.0
2024-01-02 20:00:00,4.4732,395.24,103387.0
2024-01-02 21:00:00,4.5979,387.19,72308.0
2024-01-02 22:00:00,3.28,381.85,74944.0
2024-01-02 23:00:00,3.8823,385.65,48898.0
2024-01-03 00:00:00,3.6645,384.09,67646.0
2024-01-03 01:00:00,4.43,381.04,50265.0
2024-01-03 02:00:00,4.0871,382.43,51237.0
2024-01-03 03:00:00,3.856,390.97,40283.0
2024-01-03 04:00:00,3.6133,393.35,74811.0
2024-01-03 05:00:00,12.2016,446.35,133754.0
2024-01-03 06:00:00,11.4823,447.0,143397.0
2024-01-03 07:00:00,8.0976,454.63,148826.0
2024-01-03 08:00:00,7.2428,439.24,155777.0
2024-01-03 09:00:00,7.0839,426.81,160789.0
2024-01-03 10:00:00,4.6174,415.54,142792.0
2024-01-03 11:00:00,3.9257,408.12,127247.0
2024-01-03 12:00:00,3.3456,402.96,149576.0
2024-01-03 13:00:00,2.7323,397.59,160521.0
2024-01-03 14:00:00,5.3688,431.01,155696.0
2024-01-03 15:00:00,8.018,460.7,203230.0
2024-01-03 16:00:00,6.6514,460.89,219948.0
