datetime,Magnitude,BGSM_X,BGSM_Y,BGSM_Z
2005-01-01 00:00:00,6.21,-3.489,2.534,1.967
2005-01-01 01:00:00,6.408,-3.517,3.429,2.603
2005-01-01 02:00:00,6.361,-2.705,3.442,2.578
2005-01-01 03:00:00,6.659,-4.124,3.626,-0.22
2005-01-01 04:00:00,6.879,-1.463,-1.157,-5.575
2005-01-01 05:00:00,6.249,-2.842,0.433,-2.05
2005-01-01 06:00:00,6.656,-2.933,0.276,-0.6
2005-01-01 07:00:00,7.084,-5.138,-1.828,-2.74
2005-01-01 08:00:00,6.362,-3.386,1.523,0.541
2005-01-01 09:00:00,5.946,-4.356,2.078,0.764
2005-01-01 10:00:00,9.69,-4.003,6.143,1.082
2005-01-01 11:00:00,11.281,-3.674,9.831,1.246
2005-01-01 12:00:00,10.078,-6.182,0.463,-0.221
2005-01-01 13:00:00,11.124,-4.585,7.7,4.216
2005-01-01 14:00:00,10.943,-6.155,7.806,0.783
2005-01-01 15:00:00,11.305,-7.708,7.359,1.609
2005-01-01 16:00:00,11.814,-5.451,8.732,-3.204
2005-01-01 17:00:00,13.283,-4.49,6.872,-8.489
2005-01-01 18:00:00,12.895,-9.178,5.396,-3.831
2005-01-01 19:00:00,12.859,-9.786,3.419,5.895
2005-01-01 20:00:00,16.086,-8.814,2.559,11.63
2005-01-01 21:00:00,16.031,-1.479,-8.502,9.668
2005-01-01 22:00:00,11.074,-5.965,2.507,2.815
2005-01-01 23:00:00,11.721,-7.177,8.635,-0.533
2005-01-02 00:00:00,12.954,-5.464,10.724,-2.073
2005-01-02 01:00:00,15.57,-4.302,14.703,-2.213
2005-01-02 02:00:00,11.759,-4.249,8.134,-1.986
2005-01-02 03:00:00,11.247,1.352,2.234,-2.828
2005-01-02 04:00:00,13.267,-5.267,0.887,9.073
2005-01-02 05:00:00,12.67,-9.109,3.056,-0.499
2005-01-02 06:00:00,10.686,-6.682,-0.037,-3.64
2005-01-02 07:00:00,9.916,-6.296,3.783,-2.606
2005-01-02 08:00:00,9.701,-8.115,2.993,-0.645
2005-01-02 09:00:00,8.69,-6.752,2.811,0.771
2005-01-02 10:00:00,8.183,-4.416,1.253,5.048
2005-01-02 11:00:00,7.574,-4.972,1.425,3.327
2005-01-02 12:00:00,6.97,-4.283,2.615,2.557
2005-01-02 13:00:00,7.429,-5.382,3.396,1.061
2005-01-02 14:00:00,8.571,-2.377,4.845,-4.062
2005-01-02 15:00:00,9.034,-3.591,4.198,-4.983
2005-01-02 16:00:00,8.986,-4.867,4.698,-0.526
2005-01-02 17:00:00,8.74,-5.788,1.32,4.062
2005-01-02 18:00:00,8.898,-6.454,1.142,5.076
2005-01-02 19:00:00,10.634,-7.068,6.382,0.124
2005-01-02 20:00:00,11.982,-2.684,7.118,-4.265
2005-01-02 21:00:00,14.964,-5.7,9.462,7.195
2005-01-02 22:00:00,11.289,-6.647,6.393,0.526
2005-01-02 23:00:00,10.171,-6.017,6.921,0.039
2005-01-03 00:00:00,9.912,-6.965,5.566,1.856
