datetime,Magnitude,BGSEc_X,BGSEc_Y,BGSEc_Z
2023-01-01 00:00:00,5.194,-3.23,0.7,0.329
2023-01-01 01:00:00,5.269,-4.197,-1.341,1.863
2023-01-01 02:00:00,5.15,-3.853,1.14,-0.561
2023-01-01 03:00:00,5.058,-2.792,2.557,0.977
2023-01-01 04:00:00,5.06,-3.357,2.144,1.456
2023-01-01 05:00:00,4.945,-4.376,-1.159,0.655
2023-01-01 06:00:00,4.992,-4.46,0.77,-0.846
2023-01-01 07:00:00,4.865,-3.284,1.951,1.098
2023-01-01 08:00:00,4.964,-2.573,1.952,-2.427
2023-01-01 09:00:00,5.117,-3.733,2.624,0.701
2023-01-01 10:00:00,4.993,-3.906,0.147,2.222
2023-01-01 11:00:00,4.915,-4.082,0.879,1.002
2023-01-01 12:00:00,4.786,-2.195,3.03,0.494
2023-01-01 13:00:00,4.794,-2.32,3.423,-0.616
2023-01-01 14:00:00,4.812,-2.006,3.584,-0.263
2023-01-01 15:00:00,4.937,-4.125,2.063,-0.686
2023-01-01 16:00:00,4.328,-1.905,2.19,-1.729
2023-01-01 17:00:00,3.964,-0.492,2.131,-2.4
2023-01-01 18:00:00,4.652,-0.215,2.348,-3.25
2023-01-01 19:00:00,4.468,0.369,1.218,-3.142
2023-01-01 20:00:00,4.478,-3.879,1.123,0.894
2023-01-01 21:00:00,4.58,-2.638,-0.729,-2.308
2023-01-01 22:00:00,4.687,-2.236,0.102,-2.548
2023-01-01 23:00:00,4.77,-1.368,2.51,-2.539
2023-01-02 00:00:00,4.697,-1.23,2.92,-1.211
2023-01-02 01:00:00,4.648,-2.465,3.2,0.939
2023-01-02 02:00:00,4.79,-3.519,1.599,1.777
2023-01-02 03:00:00,4.847,-0.443,3.947,-0.264
2023-01-02 04:00:00,4.649,-3.571,1.222,1.479
2023-01-02 05:00:00,4.392,-3.042,2.024,1.572
2023-01-02 06:00:00,4.395,-3.715,1.478,1.522
2023-01-02 07:00:00,4.237,-3.558,1.376,1.635
2023-01-02 08:00:00,2.785,-0.939,0.524,-1.644
2023-01-02 09:00:00,2.85,2.178,-0.077,-1.293
