datetime,V_GSM_X,V_GSM_Y,V_GSM_Z,Vp,Np,Tpr
2017-01-01 00:00:00,-545.428,6.48,17.671,545.86,,179225.7
2017-01-01 01:00:00,-546.351,11.625,30.369,547.33,,131933.3
2017-01-01 02:00:00,-542.125,24.675,42.198,544.13,,111369.8
2017-01-01 03:00:00,-551.624,19.955,33.801,552.88,,133134.0
2017-01-01 04:00:00,-553.57,11.76,28.502,554.44,,134468.3
2017-01-01 05:00:00,-530.011,0.197,16.873,530.45,,143395.9
2017-01-01 06:00:00,-528.404,-3.308,9.737,528.61,,139454.1
2017-01-01 07:00:00,-527.953,-9.041,10.532,528.23,,127908.4
2017-01-01 08:00:00,-517.631,-8.512,9.6,517.81,,157425.5
2017-01-01 09:00:00,-516.407,5.973,16.891,516.72,,151882.2
2017-01-01 10:00:00,-505.467,9.293,18.143,505.89,,130309.1
2017-01-01 11:00:00,-512.008,-8.624,10.381,512.28,,131075.1
2017-01-01 12:00:00,-514.636,-6.9,7.809,514.81,,141737.0
2017-01-01 13:00:00,-511.648,-4.37,8.589,511.79,,120536.6
2017-01-01 14:00:00,-500.235,-9.571,8.341,500.44,4.3145,107846.1
2017-01-01 15:00:00,-492.275,-8.149,8.704,492.49,4.1677,101904.1
2017-01-01 16:00:00,-485.874,-13.01,4.813,486.1,4.3176,102126.8
2017-01-01 17:00:00,-477.62,-12.743,6.151,477.87,4.4324,99443.0
2017-01-01 18:00:00,-476.289,-12.52,8.137,476.57,4.4579,90830.4
2017-01-01 19:00:00,-475.768,-12.953,10.758,476.12,4.4224,85616.7
2017-01-01 20:00:00,-474.813,-14.685,7.42,475.16,4.7701,76437.6
2017-01-01 21:00:00,-462.972,-12.49,7.97,463.28,4.8296,81603.5
2017-01-01 22:00:00,-465.001,-15.145,5.934,465.3,4.6832,80057.8
2017-01-01 23:00:00,-464.635,-16.504,8.402,465.01,4.4959,81857.5
2017-01-02 00:00:00,-455.252,-12.353,2.913,455.47,3.7748,81835.3
2017-01-02 01:00:00,-434.604,-1.556,14.899,434.97,3.5704,64195.9
2017-01-02 02:00:00,-425.456,4.198,26.294,426.17,3.9698,42972.2
2017-01-02 03:00:00,-434.361,6.425,27.808,435.12,4.3538,43754.4
2017-01-02 04:00:00,-423.866,4.649,29.054,424.72,4.8109,45976.0
2017-01-02 05:00:00,-416.103,-0.271,25.724,416.73,5.3185,44718.4
2017-01-02 06:00:00,-409.686,8.558,25.087,410.36,4.7337,38071.3
