datetime,Np,Vp,Tpr
2020-01-01 00:00:00,4.6044,302.38,24737.0
2020-01-01 01:00:00,3.192,310.61,46144.0
2020-01-01 02:00:00,3.385,320.6,56235.0
2020-01-01 03:00:00,2.4451,329.37,41817.0
2020-01-01 04:00:00,3.7475,316.42,42799.0
2020-01-01 05:00:00,3.5134,318.28,37716.0
2020-01-01 06:00:00,3.5553,322.53,49032.0
2020-01-01 07:00:00,3.0516,319.67,49595.0
2020-01-01 08:00:00,4.0849,329.23,45027.0
2020-01-01 09:00:00,4.6098,324.94,40422.0
2020-01-01 10:00:00,4.6272,328.94,44644.0
2020-01-01 11:00:00,5.0725,333.76,43973.0
2020-01-01 12:00:00,4.1964,330.59,48870.0
2020-01-01 13:00:00,3.6125,337.69,45181.0
2020-01-01 14:00:00,3.9429,339.54,41371.0
2020-01-01 15:00:00,3.2809,333.3,43091.0
2020-01-01 16:00:00,3.2435,328.81,46554.0
2020-01-01 17:00:00,3.4998,325.43,30958.0
2020-01-01 18:00:00,4.4449,324.0,24352.0
2020-01-01 19:00:00,4.1937,318.69,17206.0
2020-01-01 20:00:00,4.6821,314.36,18576.0
2020-01-01 21:00:00,5.4774,306.56,20927.0
2020-01-01 22:00:00,5.208,304.14,20053.0
2020-01-01 23:00:00,5.0951,303.99,21213.0
2020-01-02 00:00:00,5.3227,303.11,19748.0
2020-01-02 01:00:00,5.031,307.65,20011.0
2020-01-02 02:00:00,4.8378,303.21,17993.0
2020-01-02 03:00:00,2.5726,313.99,30846.0
2020-01-02 04:00:00,2.9339,312.1,27348.0
2020-01-02 05:00:00,2.8223,311.69,28659.0
2020-01-02 06:00:00,2.5836,312.47,23344.0
2020-01-02 07:00:00,2.7683,319.07,30826.0
2020-01-02 08:00:00,1.86,325.25,35237.0
2020-01-02 09:00:00,1.2152,343.31,43741.0
2020-01-02 10:00:00,1.5273,344.03,42265.0
2020-01-02 11:00:00,2.1009,341.39,37381.0
2020-01-02 12:00:00,1.7074,334.34,34414.0
2020-01-02 13:00:00,1.7669,333.96,36818.0
2020-01-02 14:00:00,2.6159,344.89,37921.0
2020-01-02 15:00:00,3.5002,345.22,35626.0
2020-01-02 16:00:00,4.2217,349.9,33965.0
2020-01-02 17:00:00,3.4713,354.29,36614.0
2020-01-02 18:00:00,3.8338,362.39,36963.0
2020-01-02 19:00:00,2.4454,374.2,42003.0
2020-01-02 20:00:00,1.5064,374.53,43509.0
2020-01-02 21:00:00,2.5861,363.15,42356.0
2020-01-02 22:00:00,3.5744,347.39,29270.0
2020-01-02 23:00:00,4.7698,337.37,29597.0
2020-01-03 00:00:00,3.9335,330.89,27021.0
2020-01-03 01:00:00,3.6084,326.33,27222.0
2020-01-03 02:00:00,3.5314,324.68,25862.0
2020-01-03 03:00:00,4.1908,329.72,30643.0
2020-01-03 04:00:00,5.1686,338.92,41718.0
2020-01-03 05:00:00,5.4789,340.88,41293.0
2020-01-03 06:00:00,5.9371,349.82,48090.0
2020-01-03 07:00:00,1.1338,349.15,48646.0
2020-01-03 08:00:00,2.5673,363.5,65244.0
2020-01-03 09:00:00,3.3996,371.79,84489.0
2020-01-03 10:00:00,4.1753,370.65,90519.0
2020-01-03 11:00:00,3.6896,371.91,91577.0
2020-01-03 12:00:00,4.1355,362.76,70274.0
2020-01-03 13:00:00,4.167,353.19,55565.0
2020-01-03 14:00:00,5.0279,354.42,58338.0
2020-01-03 15:00:00,5.8733,356.62,52593.0
2020-01-03 16:00:00,6.5685,353.48,50045.0
2020-01-03 17:00:00,4.6703,354.73,47068.0
2020-01-03 18:00:00,2.9755,359.99,84673.0
2020-01-03 19:00:00,3.965,356.08,71710.0
2020-01-03 20:00:00,2.6617,379.88,101152.0
2020-01-03 21:00:00,2.109,395.77,121094.0
2020-01-03 22:00:00,2.718,396.38,118107.0
2020-01-03 23:00:00,2.8138,403.65,111986.0
2020-01-04 00:00:00,2.3563,404.32,108611.0
2020-01-04 01:00:00,3.263,394.66,73578.0
2020-01-04 02:00:00,3.3785,389.46,62395.0
2020-01-04 03:00:00,2.5762,389.87,74600.0
2020-01-04 04:00:00,2.5489,395.31,83641.0
2020-01-04 05:00:00,2.3555,398.75,73535.0
2020-01-04 06:00:00,2.3083,387.24,80227.0
2020-01-04 07:00:00,1.8442,387.34,68257.0
2020-01-04 08:00:00,1.5143,399.82,67253.0
2020-01-04 09:00:00,0.6888,395.58,41733.0
2020-01-04 10:00:00,0.1417,390.71,58360.0
2020-01-04 11:00:00,0.1407,385.76,40671.0
2020-01-04 12:00:00,0.3333,388.24,41667.0
2020-01-04 13:00:00,0.3763,391.73,42066.0
2020-01-04 14:00:00,0.2361,393.58,52212.0
2020-01-04 15:00:00,0.0458,381.92,34848.0
2020-01-04 16:00:00,0.0928,383.86,26360.0
2020-01-04 17:00:00,0.0934,373.38,25559.0
2020-01-04 18:00:00,0.0831,367.73,25030.0
2020-01-04 19:00:00,0.3987,351.2,16605.0
2020-01-04 20:00:00,0.3877,336.96,10678.0
2020-01-04 21:00:00,0.7358,333.31,14147.0
2020-01-04 22:00:00,0.9851,338.09,18304.0
2020-01-04 23:00:00,0.8902,342.3,18474.0
2020-01-05 00:00:00,1.1312,329.73,13490.0
2020-01-05 01:00:00,1.4497,319.75,10601.0
2020-01-05 02:00:00,1.0846,330.21,12900.0
2020-01-05 03:00:00,2.3122,337.99,21156.0
2020-01-05 04:00:00,2.8009,335.95,26173.0
2020-01-05 05:00:00,2.6535,345.39,42564.0
2020-01-05 06:00:00,2.4256,375.18,62964.0
2020-01-05 07:00:00,2.139,380.73,86952.0
2020-01-05 08:00:00,2.7236,388.78,110992.0
2020-01-05 09:00:00,2.2095,388.5,70151.0
2020-01-05 10:00:00,3.7854,379.51,57797.0
2020-01-05 11:00:00,4.8597,383.7,52912.0
2020-01-05 12:00:00,7.2702,376.36,83560.0
2020-01-05 13:00:00,9.8147,369.47,75206.0
2020-01-05 14:00:00,9.3566,372.26,72586.0
2020-01-05 15:00:00,7.3907,386.61,100453.0
2020-01-05 16:00:00,12.3768,416.26,97016.0
2020-01-05 17:00:00,5.9125,440.25,157870.0
2020-01-05 18:00:00,6.1382,427.09,170504.0
2020-01-05 19:00:00,3.4645,451.5,198261.0
2020-01-05 20:00:00,1.9759,466.52,174396.0
2020-01-05 21:00:00,1.3725,486.42,184265.0
2020-01-05 22:00:00,1.3159,510.8,163932.0
2020-01-05 23:00:00,0.7786,540.01,163565.0
2020-01-06 00:00:00,1.0999,526.33,156836.0
2020-01-06 01:00:00,1.2092,529.65,124298.0
2020-01-06 02:00:00,0.9911,533.7,104915.0
2020-01-06 03:00:00,0.6129,531.93,137511.0
2020-01-06 04:00:00,1.1694,523.03,96487.0
2020-01-06 05:00:00,1.2546,500.88,84070.0
2020-01-06 06:00:00,1.044,490.49,73907.0
2020-01-06 07:00:00,1.1988,498.76,72007.0
2020-01-06 08:00:00,1.4115,499.01,87146.0
2020-01-06 09:00:00,1.8205,521.57,90265.0
2020-01-06 10:00:00,1.3274,503.09,87871.0
2020-01-06 11:00:00,0.8172,490.39,76772.0
2020-01-06 12:00:00,0.6882,483.91,60699.0
2020-01-06 13:00:00,0.5352,485.95,75849.0
2020-01-06 14:00:00,0.9963,481.57,78888.0
2020-01-06 15:00:00,1.3454,484.04,99358.0
2020-01-06 16:00:00,1.1493,493.61,109100.0
2020-01-06 17:00:00,0.8579,489.28,108512.0
2020-01-06 18:00:00,0.542,480.57,87838.0
2020-01-06 19:00:00,1.0068,474.08,87153.0
2020-01-06 20:00:00,1.7787,473.08,81089.0
2020-01-06 21:00:00,1.8451,470.65,69930.0
2020-01-06 22:00:00,1.3248,463.91,94362.0
2020-01-06 23:00:00,1.1503,463.67,80758.0
2020-01-07 00:00:00,1.1385,459.24,79278.0
2020-01-07 01:00:00,1.1023,457.89,76494.0
2020-01-07 02:00:00,1.0285,451.73,55800.0
2020-01-07 03:00:00,1.2695,450.4,59900.0
2020-01-07 04:00:00,1.5805,453.0,68873.0
2020-01-07 05:00:00,1.2248,448.39,67775.0
2020-01-07 06:00:00,1.9257,448.82,43269.0
2020-01-07 07:00:00,1.7514,440.75,51698.0
2020-01-07 08:00:00,1.4974,438.55,59570.0
