complexity,loss,equation,score,sympy_format,lambda_format,simulation,TRAIN_RMSE,TRAIN_MAE,TRAIN_R2,TRAIN_BFE,TEST_RMSE,TEST_MAE,TEST_R2,TEST_BFE,TEST_CC,TRAIN_CC
17,3.7325273,((VBs * sqrt(P_dyn + 1.1150439)) - square((DST * -0.59780794) - -15.503676)) / (DST + -836.2796),0.0016083430813532,((VBs * sqrt(P_dyn + 1.1150439)) - square((DST * -0.59780794) - -15.503676)) / (DST + -836.2796),PySRFunction(X=>((VBs * sqrt(P_dyn + 1.1150439)) - square((DST * -0.59780794) - -15.503676)) / (DST + -836.2796)),29,15.256184277014237,11.609465346164338,0.6620328755482895,17.254659263667747,13.918951172858673,10.550693461304439,0.7807921825542536,17.208641412761317,0.9165538930344386,0.8947152576048294
15,3.7452435,(square(-17.15375 - (DST * -0.5683326)) - (VBs * sqrt(P_dyn - -1.2791218))) * 0.0010682555,0.0014080040916019,(square(-17.15375 - (DST * -0.5683326)) - (VBs * sqrt(P_dyn - -1.2791218))) * 0.0010682555,PySRFunction(X=>(square(-17.15375 - (DST * -0.5683326)) - (VBs * sqrt(P_dyn - -1.2791218))) * 0.0010682555),28,15.498860921738531,11.745691346151437,0.6500619968431844,17.73866313839962,14.159393651017467,10.648559269444021,0.7773780557074305,17.893194600469137,0.914841932090596,0.8928098353913346
15,3.7446196,square((DST * -0.018247437) - -0.5944656) + (sqrt(P_dyn - -1.2362556) * (VBs * -0.0010782854)),0.001472452170326,square((DST * -0.018247437) - -0.5944656) + (sqrt(P_dyn - -1.2362556) * (VBs * -0.0010782854)),PySRFunction(X=>square((DST * -0.018247437) - -0.5944656) + (sqrt(P_dyn - -1.2362556) * (VBs * -0.0010782854))),3,15.544448617730527,11.832137197688828,0.651511383541669,17.764606994037116,14.262354989149822,10.713654660812704,0.7764347655481585,18.17331360792055,0.9140664288297591,0.8922231731906765
21,3.7298903,((0.07407774 + (-0.0011240401 * VBs)) * sqrt(P_dyn + 1.7325758)) - ((((DST - sqrt(VBs)) * -0.0002646723) - -0.03264453) * DST),0.0002302620558473,((0.07407774 + (-0.0011240401 * VBs)) * sqrt(P_dyn + 1.7325758)) - ((((DST - sqrt(VBs)) * -0.0002646723) - -0.03264453) * DST),PySRFunction(X=>((0.07407774 + (-0.0011240401 * VBs)) * sqrt(P_dyn + 1.7325758)) - ((((DST - sqrt(VBs)) * -0.0002646723) - -0.03264453) * DST)),13,14.865062427315076,11.354863478496512,0.6906447958805527,17.150341782893715,14.26420103442896,10.887922738135046,0.7784922200378034,17.893623772094987,0.9167020588416991,0.895756838671293
15,3.7445774,square((DST * -0.018144378) + 0.59190536) + ((VBs * -0.001057952) * sqrt(P_dyn + 1.2858895)),0.0014772349060696,square((DST * -0.018144378) + 0.59190536) + ((VBs * -0.001057952) * sqrt(P_dyn + 1.2858895)),PySRFunction(X=>square((DST * -0.018144378) + 0.59190536) + ((VBs * -0.001057952) * sqrt(P_dyn + 1.2858895))),53,15.511516305298048,11.79642683810102,0.653600125683811,17.764240527580007,14.27437925150464,10.708462724276277,0.7758461442017833,18.27616127420432,0.9136022446756582,0.8918000411521471
19,3.7281814,((sqrt(P_dyn + 0.925411) * VBs) - square((P_dyn + 15.435037) + (DST * -0.5477968))) / (DST + -809.8418),0.000582505049626,((sqrt(P_dyn + 0.925411) * VBs) - square((P_dyn + 15.435037) + (DST * -0.5477968))) / (DST + -809.8418),PySRFunction(X=>((sqrt(P_dyn + 0.925411) * VBs) - square((P_dyn + 15.435037) + (DST * -0.5477968))) / (DST + -809.8418)),29,15.283850336183503,11.703721716710673,0.6720485471810758,17.405115588629688,14.311339530390901,10.79032764761598,0.773078201253438,18.022371159953504,0.9143087403680241,0.8920083674606634
21,3.7223878,((VBs * sqrt(P_dyn + 1.2546012)) - square((P_dyn + 14.7217655) + (DST * -0.5883604))) / (DST + (DST + -791.372)),0.0001754633666433,((VBs * sqrt(P_dyn + 1.2546012)) - square((P_dyn + 14.7217655) + (DST * -0.5883604))) / (DST + (DST + -791.372)),PySRFunction(X=>((VBs * sqrt(P_dyn + 1.2546012)) - square((P_dyn + 14.7217655) + (DST * -0.5883604))) / (DST + (DST + -791.372))),29,15.193078239895216,11.618566489506021,0.6810046430800658,17.32192024753235,14.312196625414003,10.842125626175159,0.771145996424798,17.60791159169208,0.9138539724039806,0.8917346642240148
15,3.744505,square((DST * 0.018023266) + -0.6037864) - ((sqrt(P_dyn + 1.3362705) * 0.001053417) * VBs),0.0014839068218632,square((DST * 0.018023266) + -0.6037864) - ((sqrt(P_dyn + 1.3362705) * 0.001053417) * VBs),PySRFunction(X=>square((DST * 0.018023266) + -0.6037864) - ((sqrt(P_dyn + 1.3362705) * 0.001053417) * VBs)),58,15.549511336868251,11.845000519708442,0.6531877964170003,17.795875473102335,14.324579482619967,10.755254884343799,0.7746627427716799,18.357311313734186,0.9132051927034531,0.891400565079766
15,3.7445183,(sqrt(P_dyn - -1.3657013) * (-0.0010519744 * VBs)) + square((DST * -0.018018996) + 0.60451233),0.001484593849258,(sqrt(P_dyn - -1.3657013) * (-0.0010519744 * VBs)) + square((DST * -0.018018996) + 0.60451233),PySRFunction(X=>(sqrt(P_dyn - -1.3657013) * (-0.0010519744 * VBs)) + square((DST * -0.018018996) + 0.60451233)),81,15.566319732142876,11.856316441414323,0.6522763419873114,17.81066030458074,14.324864480486942,10.759267133278014,0.774686044972894,18.333126993991847,0.9132163446875357,0.8913604001819974
15,3.7444944,(sqrt(P_dyn - -1.2557834) * (VBs * -0.0010643513)) + square((DST * 0.018036876) + -0.6026625),0.0014862807900567,(sqrt(P_dyn - -1.2557834) * (VBs * -0.0010643513)) + square((DST * 0.018036876) + -0.6026625),PySRFunction(X=>(sqrt(P_dyn - -1.2557834) * (VBs * -0.0010643513)) + square((DST * 0.018036876) + -0.6026625)),52,15.546824462470637,11.841727341051595,0.6528468543794315,17.783488821332185,14.330238650505606,10.751473456522444,0.7747433810423401,18.377165876044792,0.9133510651042197,0.8916447347541759
