complexity,loss,equation,score,sympy_format,lambda_format,simulation
30,3.7908626,((((DST - (P_dyn * 1.3620839)) * 17.72517) + VBs) * ((square(0.9648302 - (DST * -0.005112133)) + sqrt(P_dyn)) * -0.0010479224)) + ((17.72517 - P_dyn) * (square(DST) * 1.7940489e-5)),0.0001092244207991,((((DST - (P_dyn * 1.3620839)) * 17.72517) + VBs) * ((square(0.9648302 - (DST * -0.005112133)) + sqrt(P_dyn)) * -0.0010479224)) + ((17.72517 - P_dyn) * (square(DST) * 1.7940489e-5)),PySRFunction(X=>((((DST - (P_dyn * 1.3620839)) * 17.72517) + VBs) * ((square(0.9648302 - (DST * -0.005112133)) + sqrt(P_dyn)) * -0.0010479224)) + ((17.72517 - P_dyn) * (square(DST) * 1.7940489e-5))),38
30,3.7913938,((((DST + (((0.00068898086 * (DST / (P_dyn - -1.0453242))) + 0.0536481) * ((VBs - DST) + square(P_dyn + -3.2791755)))) * -0.04301991) + 1.3007078) * sqrt(sqrt(P_dyn))) + -1.253935,6.767501571132037e-05,((((DST + (((0.00068898086 * (DST / (P_dyn - -1.0453242))) + 0.0536481) * ((VBs - DST) + square(P_dyn + -3.2791755)))) * -0.04301991) + 1.3007078) * sqrt(sqrt(P_dyn))) + -1.253935,PySRFunction(X=>((((DST + (((0.00068898086 * (DST / (P_dyn - -1.0453242))) + 0.0536481) * ((VBs - DST) + square(P_dyn + -3.2791755)))) * -0.04301991) + 1.3007078) * sqrt(sqrt(P_dyn))) + -1.253935),49
28,3.7916908,((((DST - P_dyn) * 17.72517) + VBs) * ((square(0.9648302 - (DST * -0.005112133)) + sqrt(P_dyn)) * -0.0010479224)) + ((17.72517 - P_dyn) * (square(DST) * 1.7940489e-5)),0.0006270575857924,((((DST - P_dyn) * 17.72517) + VBs) * ((square(0.9648302 - (DST * -0.005112133)) + sqrt(P_dyn)) * -0.0010479224)) + ((17.72517 - P_dyn) * (square(DST) * 1.7940489e-5)),PySRFunction(X=>((((DST - P_dyn) * 17.72517) + VBs) * ((square(0.9648302 - (DST * -0.005112133)) + sqrt(P_dyn)) * -0.0010479224)) + ((17.72517 - P_dyn) * (square(DST) * 1.7940489e-5))),38
29,3.7917538,((DST - (P_dyn + P_dyn)) + ((square(P_dyn / 0.6234166) + VBs) / (square(square(DST / square(P_dyn - -5.2597647))) + 21.536577))) / (-22.250631 / sqrt(sqrt(P_dyn))),0.0004842759835953,((DST - (P_dyn + P_dyn)) + ((square(P_dyn / 0.6234166) + VBs) / (square(square(DST / square(P_dyn - -5.2597647))) + 21.536577))) / (-22.250631 / sqrt(sqrt(P_dyn))),PySRFunction(X=>((DST - (P_dyn + P_dyn)) + ((square(P_dyn / 0.6234166) + VBs) / (square(square(DST / square(P_dyn - -5.2597647))) + 21.536577))) / (-22.250631 / sqrt(sqrt(P_dyn)))),36
28,3.791907,((((DST + ((VBs + square(P_dyn + -5.2860427)) * (((DST * 0.00068898086) / (P_dyn - -1.0792093)) + 0.0536481))) * -0.04301991) + 1.2811154) * sqrt(sqrt(P_dyn))) + -1.2560179,0.0001040529058722,((((DST + ((VBs + square(P_dyn + -5.2860427)) * (((DST * 0.00068898086) / (P_dyn - -1.0792093)) + 0.0536481))) * -0.04301991) + 1.2811154) * sqrt(sqrt(P_dyn))) + -1.2560179,PySRFunction(X=>((((DST + ((VBs + square(P_dyn + -5.2860427)) * (((DST * 0.00068898086) / (P_dyn - -1.0792093)) + 0.0536481))) * -0.04301991) + 1.2811154) * sqrt(sqrt(P_dyn))) + -1.2560179),49
30,3.7923183,(((((-0.0022168825 - ((DST * 2.4834695e-5) / (P_dyn + 0.88083524))) * (VBs - ((DST * 2.0065691) - square(P_dyn)))) + (DST * -0.04592256)) - -1.080887) * sqrt(sqrt(P_dyn))) + -1.0647782,0.0001379272214477,(((((-0.0022168825 - ((DST * 2.4834695e-5) / (P_dyn + 0.88083524))) * (VBs - ((DST * 2.0065691) - square(P_dyn)))) + (DST * -0.04592256)) - -1.080887) * sqrt(sqrt(P_dyn))) + -1.0647782,PySRFunction(X=>(((((-0.0022168825 - ((DST * 2.4834695e-5) / (P_dyn + 0.88083524))) * (VBs - ((DST * 2.0065691) - square(P_dyn)))) + (DST * -0.04592256)) - -1.080887) * sqrt(sqrt(P_dyn))) + -1.0647782),30
30,3.7925067,(((((((VBs - (DST / 0.32795247)) * (((DST / (P_dyn + sqrt(0.806141))) * -0.0005291182) + -0.047621425)) - DST) * 0.046487417) + 0.97621524) * sqrt(sqrt(P_dyn))) + -0.90982705) / 0.97621524,1.502962596395889e-06,(((((((VBs - (DST / 0.32795247)) * (((DST / (P_dyn + sqrt(0.806141))) * -0.0005291182) + -0.047621425)) - DST) * 0.046487417) + 0.97621524) * sqrt(sqrt(P_dyn))) + -0.90982705) / 0.97621524,PySRFunction(X=>(((((((VBs - (DST / 0.32795247)) * (((DST / (P_dyn + sqrt(0.806141))) * -0.0005291182) + -0.047621425)) - DST) * 0.046487417) + 0.97621524) * sqrt(sqrt(P_dyn))) + -0.90982705) / 0.97621524),40
29,3.7925124,(((((((VBs - (DST / 0.32795247)) * (((DST / (P_dyn + 0.90345925)) * -0.0005291182) + -0.047621425)) - DST) * 0.046487417) + 0.97621524) * sqrt(sqrt(P_dyn))) + -0.90982705) / 0.97621524,0.0002052781918218,(((((((VBs - (DST / 0.32795247)) * (((DST / (P_dyn + 0.90345925)) * -0.0005291182) + -0.047621425)) - DST) * 0.046487417) + 0.97621524) * sqrt(sqrt(P_dyn))) + -0.90982705) / 0.97621524,PySRFunction(X=>(((((((VBs - (DST / 0.32795247)) * (((DST / (P_dyn + 0.90345925)) * -0.0005291182) + -0.047621425)) - DST) * 0.046487417) + 0.97621524) * sqrt(sqrt(P_dyn))) + -0.90982705) / 0.97621524),40
26,3.7926962,((((((((DST * 0.00068898086) / (P_dyn - -1.0447031)) + 0.0536481) * (square(P_dyn) + VBs)) + DST) * -0.04301991) + 1.2992214) * sqrt(sqrt(P_dyn))) + -1.2829993,9.781480932975024e-05,((((((((DST * 0.00068898086) / (P_dyn - -1.0447031)) + 0.0536481) * (square(P_dyn) + VBs)) + DST) * -0.04301991) + 1.2992214) * sqrt(sqrt(P_dyn))) + -1.2829993,PySRFunction(X=>((((((((DST * 0.00068898086) / (P_dyn - -1.0447031)) + 0.0536481) * (square(P_dyn) + VBs)) + DST) * -0.04301991) + 1.2992214) * sqrt(sqrt(P_dyn))) + -1.2829993),49
29,3.7927587,((((-0.04724619 * (((VBs - (DST / 0.31396857)) * (((DST * 0.00046556332) / (P_dyn - -0.7108422)) - -0.04724619)) + DST)) - -1.0908298) * sqrt(sqrt(P_dyn))) - 1.0486304) * 1.014935,4.877478148350843e-05,((((-0.04724619 * (((VBs - (DST / 0.31396857)) * (((DST * 0.00046556332) / (P_dyn - -0.7108422)) - -0.04724619)) + DST)) - -1.0908298) * sqrt(sqrt(P_dyn))) - 1.0486304) * 1.014935,PySRFunction(X=>((((-0.04724619 * (((VBs - (DST / 0.31396857)) * (((DST * 0.00046556332) / (P_dyn - -0.7108422)) - -0.04724619)) + DST)) - -1.0908298) * sqrt(sqrt(P_dyn))) - 1.0486304) * 1.014935),15
