,complexity,loss,equation,score,sympy_format,TRAIN_RMSE,TEST_RMSE,TRAIN_MAE,TEST_MAE,TRAIN_R2,TEST_R2,TRAIN_BFE,TEST_BFE,sympy_eq
0,30,3.7908626,((((DST - (P_dyn * 1.3620839)) * 17.72517) + VBs) * ((square(0.9648302 - (DST * -0.005112133)) + sqrt(P_dyn)) * -0.0010479224)) + ((17.72517 - P_dyn) * (square(DST) * 1.7940489e-5)),0.0001092244207991,((((DST - (P_dyn * 1.3620839)) * 17.72517) + VBs) * ((square(0.9648302 - (DST * -0.005112133)) + sqrt(P_dyn)) * -0.0010479224)) + ((17.72517 - P_dyn) * (square(DST) * 1.7940489e-5)),inf,inf,inf,inf,-inf,-inf,inf,inf,1.7940489e-5*(17.72517 - P_dyn)*square(DST) + (-0.0010479224*sqrt(P_dyn) - 0.0010479224*square(0.005112133*DST + 0.9648302))*(17.72517*DST - 24.143168681763*P_dyn + VBs)
1,30,3.7913938,((((DST + (((0.00068898086 * (DST / (P_dyn - -1.0453242))) + 0.0536481) * ((VBs - DST) + square(P_dyn + -3.2791755)))) * -0.04301991) + 1.3007078) * sqrt(sqrt(P_dyn))) + -1.253935,6.767501571132037e-05,((((DST + (((0.00068898086 * (DST / (P_dyn - -1.0453242))) + 0.0536481) * ((VBs - DST) + square(P_dyn + -3.2791755)))) * -0.04301991) + 1.3007078) * sqrt(sqrt(P_dyn))) + -1.253935,14.993716981132074,18.8249,11.779377358490567,15.185299999999998,0.6948490566037735,0.6093000000000001,16.392603773584906,20.607349999999997,(-0.04301991*DST - 0.04301991*(0.00068898086*DST/(P_dyn + 1.0453242) + 0.0536481)*(-DST + VBs + square(P_dyn - 3.2791755)) + 1.3007078)*sqrt(sqrt(P_dyn)) - 1.253935
2,28,3.7916908,((((DST - P_dyn) * 17.72517) + VBs) * ((square(0.9648302 - (DST * -0.005112133)) + sqrt(P_dyn)) * -0.0010479224)) + ((17.72517 - P_dyn) * (square(DST) * 1.7940489e-5)),0.0006270575857924,((((DST - P_dyn) * 17.72517) + VBs) * ((square(0.9648302 - (DST * -0.005112133)) + sqrt(P_dyn)) * -0.0010479224)) + ((17.72517 - P_dyn) * (square(DST) * 1.7940489e-5)),inf,inf,inf,inf,-inf,-inf,inf,inf,1.7940489e-5*(17.72517 - P_dyn)*square(DST) + (-0.0010479224*sqrt(P_dyn) - 0.0010479224*square(0.005112133*DST + 0.9648302))*(17.72517*DST - 17.72517*P_dyn + VBs)
3,29,3.7917538,((DST - (P_dyn + P_dyn)) + ((square(P_dyn / 0.6234166) + VBs) / (square(square(DST / square(P_dyn - -5.2597647))) + 21.536577))) / (-22.250631 / sqrt(sqrt(P_dyn))),0.0004842759835953,((DST - (P_dyn + P_dyn)) + ((square(P_dyn / 0.6234166) + VBs) / (square(square(DST / square(P_dyn - -5.2597647))) + 21.536577))) / (-22.250631 / sqrt(sqrt(P_dyn))),inf,inf,inf,inf,-inf,-inf,inf,inf,-0.0449425456743227*(DST - 2*P_dyn + (VBs + square(1.60406379939193*P_dyn))/(square(square(DST/square(P_dyn + 5.2597647))) + 21.536577))*sqrt(sqrt(P_dyn))
4,28,3.791907,((((DST + ((VBs + square(P_dyn + -5.2860427)) * (((DST * 0.00068898086) / (P_dyn - -1.0792093)) + 0.0536481))) * -0.04301991) + 1.2811154) * sqrt(sqrt(P_dyn))) + -1.2560179,0.0001040529058722,((((DST + ((VBs + square(P_dyn + -5.2860427)) * (((DST * 0.00068898086) / (P_dyn - -1.0792093)) + 0.0536481))) * -0.04301991) + 1.2811154) * sqrt(sqrt(P_dyn))) + -1.2560179,15.038264150943395,18.84905,11.837396226415095,15.2803,0.6968301886792455,0.6070500000000001,16.558622641509437,20.667550000000002,(-0.04301991*DST - 0.04301991*(VBs + square(P_dyn - 5.2860427))*(0.00068898086*DST/(P_dyn + 1.0792093) + 0.0536481) + 1.2811154)*sqrt(sqrt(P_dyn)) - 1.2560179
5,30,3.7923183,(((((-0.0022168825 - ((DST * 2.4834695e-5) / (P_dyn + 0.88083524))) * (VBs - ((DST * 2.0065691) - square(P_dyn)))) + (DST * -0.04592256)) - -1.080887) * sqrt(sqrt(P_dyn))) + -1.0647782,0.0001379272214477,(((((-0.0022168825 - ((DST * 2.4834695e-5) / (P_dyn + 0.88083524))) * (VBs - ((DST * 2.0065691) - square(P_dyn)))) + (DST * -0.04592256)) - -1.080887) * sqrt(sqrt(P_dyn))) + -1.0647782,inf,inf,inf,inf,-inf,-inf,inf,inf,(-0.04592256*DST + (-2.4834695e-5*DST/(P_dyn + 0.88083524) - 0.0022168825)*(-2.0065691*DST + VBs + square(P_dyn)) + 1.080887)*sqrt(sqrt(P_dyn)) - 1.0647782
6,30,3.7925067,(((((((VBs - (DST / 0.32795247)) * (((DST / (P_dyn + sqrt(0.806141))) * -0.0005291182) + -0.047621425)) - DST) * 0.046487417) + 0.97621524) * sqrt(sqrt(P_dyn))) + -0.90982705) / 0.97621524,1.502962596395889e-06,(((((((VBs - (DST / 0.32795247)) * (((DST / (P_dyn + sqrt(0.806141))) * -0.0005291182) + -0.047621425)) - DST) * 0.046487417) + 0.97621524) * sqrt(sqrt(P_dyn))) + -0.90982705) / 0.97621524,inf,inf,inf,inf,-inf,-inf,inf,inf,1.02436425802982*(-0.046487417*DST + 0.046487417*(-3.04922234615278*DST + VBs)*(-0.0005291182*DST/(P_dyn + sqrt(0.806141)) - 0.047621425) + 0.97621524)*sqrt(sqrt(P_dyn)) - 0.931994311008707
7,29,3.7925124,(((((((VBs - (DST / 0.32795247)) * (((DST / (P_dyn + 0.90345925)) * -0.0005291182) + -0.047621425)) - DST) * 0.046487417) + 0.97621524) * sqrt(sqrt(P_dyn))) + -0.90982705) / 0.97621524,0.0002052781918218,(((((((VBs - (DST / 0.32795247)) * (((DST / (P_dyn + 0.90345925)) * -0.0005291182) + -0.047621425)) - DST) * 0.046487417) + 0.97621524) * sqrt(sqrt(P_dyn))) + -0.90982705) / 0.97621524,inf,inf,inf,inf,-inf,-inf,inf,inf,1.02436425802982*(-0.046487417*DST + 0.046487417*(-3.04922234615278*DST + VBs)*(-0.0005291182*DST/(P_dyn + 0.90345925) - 0.047621425) + 0.97621524)*sqrt(sqrt(P_dyn)) - 0.931994311008707
8,26,3.7926962,((((((((DST * 0.00068898086) / (P_dyn - -1.0447031)) + 0.0536481) * (square(P_dyn) + VBs)) + DST) * -0.04301991) + 1.2992214) * sqrt(sqrt(P_dyn))) + -1.2829993,9.781480932975024e-05,((((((((DST * 0.00068898086) / (P_dyn - -1.0447031)) + 0.0536481) * (square(P_dyn) + VBs)) + DST) * -0.04301991) + 1.2992214) * sqrt(sqrt(P_dyn))) + -1.2829993,14.987245283018868,18.7229,11.798037735849054,15.109400000000003,0.6976981132075472,0.61525,16.43115094339623,20.624650000000003,(-0.04301991*DST - 0.04301991*(VBs + square(P_dyn))*(0.00068898086*DST/(P_dyn + 1.0447031) + 0.0536481) + 1.2992214)*sqrt(sqrt(P_dyn)) - 1.2829993
9,29,3.7927587,((((-0.04724619 * (((VBs - (DST / 0.31396857)) * (((DST * 0.00046556332) / (P_dyn - -0.7108422)) - -0.04724619)) + DST)) - -1.0908298) * sqrt(sqrt(P_dyn))) - 1.0486304) * 1.014935,4.877478148350843e-05,((((-0.04724619 * (((VBs - (DST / 0.31396857)) * (((DST * 0.00046556332) / (P_dyn - -0.7108422)) - -0.04724619)) + DST)) - -1.0908298) * sqrt(sqrt(P_dyn))) - 1.0486304) * 1.014935,inf,inf,inf,inf,-inf,-inf,inf,inf,1.014935*(-0.04724619*DST - 0.04724619*(-3.18503218331695*DST + VBs)*(0.00046556332*DST/(P_dyn + 0.7108422) + 0.04724619) + 1.0908298)*sqrt(sqrt(P_dyn)) - 1.064291695024
