complexity,loss,equation,score,sympy_format,lambda_format,simulation
30,3.7892406,((-0.06690711 * DST) + -2.5263886) + ((((((Bzsouth + Bzsouth) + DST) * -0.008291428) - sqrt(Np)) + -0.60579747) * (((((Vp - Bmag) - 159.63905) * Bzsouth) * 0.0013296593) - 0.84098405)),5.19998000700028e-05,((-0.06690711 * DST) + -2.5263886) + ((((((Bzsouth + Bzsouth) + DST) * -0.008291428) - sqrt(Np)) + -0.60579747) * (((((Vp - Bmag) - 159.63905) * Bzsouth) * 0.0013296593) - 0.84098405)),PySRFunction(X=>((-0.06690711 * DST) + -2.5263886) + ((((((Bzsouth + Bzsouth) + DST) * -0.008291428) - sqrt(Np)) + -0.60579747) * (((((Vp - Bmag) - 159.63905) * Bzsouth) * 0.0013296593) - 0.84098405))),4
28,3.7896347,(DST * -0.06690711) + (((((DST + Bzsouth) * -0.008006787) + (-0.6224202 - sqrt(Np))) * (((((Vp - Np) - 159.63905) * Bzsouth) * 0.0013296593) - 0.84098405)) + -2.5525913),0.0001630893847835,(DST * -0.06690711) + (((((DST + Bzsouth) * -0.008006787) + (-0.6224202 - sqrt(Np))) * (((((Vp - Np) - 159.63905) * Bzsouth) * 0.0013296593) - 0.84098405)) + -2.5525913),PySRFunction(X=>(DST * -0.06690711) + (((((DST + Bzsouth) * -0.008006787) + (-0.6224202 - sqrt(Np))) * (((((Vp - Np) - 159.63905) * Bzsouth) * 0.0013296593) - 0.84098405)) + -2.5525913)),4
26,3.790871,(((((((Vp - Np) - 160.32938) * Bzsouth) * 0.0013246149) - 0.80793333) * ((DST * -0.00731337) - (sqrt(Np) + 0.65606064))) + (DST * -0.06632254)) + -2.468984,0.0001076549590332,(((((((Vp - Np) - 160.32938) * Bzsouth) * 0.0013246149) - 0.80793333) * ((DST * -0.00731337) - (sqrt(Np) + 0.65606064))) + (DST * -0.06632254)) + -2.468984,PySRFunction(X=>(((((((Vp - Np) - 160.32938) * Bzsouth) * 0.0013246149) - 0.80793333) * ((DST * -0.00731337) - (sqrt(Np) + 0.65606064))) + (DST * -0.06632254)) + -2.468984),4
29,3.7913702,(((((((Bzsouth + Bmag) * DST) + ((sqrt(Np) * Bzsouth) * (Vp + (-143.72131 - Np)))) * -0.026818233) - (Bmag + DST)) / 19.122902) + sqrt(Np)) + -2.1933167,0.0005152209154295,(((((((Bzsouth + Bmag) * DST) + ((sqrt(Np) * Bzsouth) * (Vp + (-143.72131 - Np)))) * -0.026818233) - (Bmag + DST)) / 19.122902) + sqrt(Np)) + -2.1933167,PySRFunction(X=>(((((((Bzsouth + Bmag) * DST) + ((sqrt(Np) * Bzsouth) * (Vp + (-143.72131 - Np)))) * -0.026818233) - (Bmag + DST)) / 19.122902) + sqrt(Np)) + -2.1933167),3
29,3.791558,((Vp * ((Bzsouth + 1.4056387) * ((DST * (0.0010231906 / (-1.9690949 - Np))) - 0.04994203))) - (DST - (Np + 26.93975))) / (51.730183 / sqrt(sqrt(Np * Bmag))),0.0009039555546464,((Vp * ((Bzsouth + 1.4056387) * ((DST * (0.0010231906 / (-1.9690949 - Np))) - 0.04994203))) - (DST - (Np + 26.93975))) / (51.730183 / sqrt(sqrt(Np * Bmag))),PySRFunction(X=>((Vp * ((Bzsouth + 1.4056387) * ((DST * (0.0010231906 / (-1.9690949 - Np))) - 0.04994203))) - (DST - (Np + 26.93975))) / (51.730183 / sqrt(sqrt(Np * Bmag)))),2
24,3.7916873,((((Bzsouth * 0.0012057658) * (Vp - 168.3989)) - 0.7863517) * ((DST * -0.0079295635) - (sqrt(Np) + 0.9382792))) + ((DST * -0.06651169) + -2.627629),0.0010513534978677,((((Bzsouth * 0.0012057658) * (Vp - 168.3989)) - 0.7863517) * ((DST * -0.0079295635) - (sqrt(Np) + 0.9382792))) + ((DST * -0.06651169) + -2.627629),PySRFunction(X=>((((Bzsouth * 0.0012057658) * (Vp - 168.3989)) - 0.7863517) * ((DST * -0.0079295635) - (sqrt(Np) + 0.9382792))) + ((DST * -0.06651169) + -2.627629)),4
30,3.7929,(DST + ((((Bzsouth + 0.85373884) - (Np / Bmag)) * 0.044779934) * (((4.3335886 - sqrt(Np)) * DST) + Vp))) / ((-10.567681 - (54.477882 / Bmag)) - inv(square(Np))),0.0001759448677581,(DST + ((((Bzsouth + 0.85373884) - (Np / Bmag)) * 0.044779934) * (((4.3335886 - sqrt(Np)) * DST) + Vp))) / ((-10.567681 - (54.477882 / Bmag)) - inv(square(Np))),PySRFunction(X=>(DST + ((((Bzsouth + 0.85373884) - (Np / Bmag)) * 0.044779934) * (((4.3335886 - sqrt(Np)) * DST) + Vp))) / ((-10.567681 - (54.477882 / Bmag)) - inv(square(Np)))),15
29,3.7935674,(DST + (((Vp + ((4.3335886 - sqrt(Np)) * DST)) * ((Bzsouth + 0.85373884) - (Np / Bmag))) * 0.044779934)) / ((-10.567681 - (54.477882 / Bmag)) - inv(Np)),0.0001689296117501,(DST + (((Vp + ((4.3335886 - sqrt(Np)) * DST)) * ((Bzsouth + 0.85373884) - (Np / Bmag))) * 0.044779934)) / ((-10.567681 - (54.477882 / Bmag)) - inv(Np)),PySRFunction(X=>(DST + (((Vp + ((4.3335886 - sqrt(Np)) * DST)) * ((Bzsouth + 0.85373884) - (Np / Bmag))) * 0.044779934)) / ((-10.567681 - (54.477882 / Bmag)) - inv(Np))),15
28,3.7942083,(DST + ((Bzsouth + (0.85373884 - (Np / Bmag))) * ((((DST / 1.0637239) * (4.3335886 - sqrt(Np))) + Vp) * 0.044779934))) / (-10.605545 - (54.477882 / Bmag)),0.0001030411831319,(DST + ((Bzsouth + (0.85373884 - (Np / Bmag))) * ((((DST / 1.0637239) * (4.3335886 - sqrt(Np))) + Vp) * 0.044779934))) / (-10.605545 - (54.477882 / Bmag)),PySRFunction(X=>(DST + ((Bzsouth + (0.85373884 - (Np / Bmag))) * ((((DST / 1.0637239) * (4.3335886 - sqrt(Np))) + Vp) * 0.044779934))) / (-10.605545 - (54.477882 / Bmag))),15
26,3.7949903,(DST + (((Vp + ((4.3335886 - sqrt(Np)) * DST)) * ((Bzsouth + 0.85373884) - (Np / Bmag))) * 0.044779934)) / (-10.605545 - (54.23416 / Bmag)),0.0012917982110714,(DST + (((Vp + ((4.3335886 - sqrt(Np)) * DST)) * ((Bzsouth + 0.85373884) - (Np / Bmag))) * 0.044779934)) / (-10.605545 - (54.23416 / Bmag)),PySRFunction(X=>(DST + (((Vp + ((4.3335886 - sqrt(Np)) * DST)) * ((Bzsouth + 0.85373884) - (Np / Bmag))) * 0.044779934)) / (-10.605545 - (54.23416 / Bmag))),15
