,complexity,loss,equation,score,sympy_format,TRAIN_RMSE,TEST_RMSE,TRAIN_MAE,TEST_MAE,TRAIN_R2,TEST_R2,TRAIN_BFE,TEST_BFE,sympy_eq
0,30,3.7892406,((-0.06690711 * DST) + -2.5263886) + ((((((Bzsouth + Bzsouth) + DST) * -0.008291428) - sqrt(Np)) + -0.60579747) * (((((Vp - Bmag) - 159.63905) * Bzsouth) * 0.0013296593) - 0.84098405)),5.19998000700028e-05,((-0.06690711 * DST) + -2.5263886) + ((((((Bzsouth + Bzsouth) + DST) * -0.008291428) - sqrt(Np)) + -0.60579747) * (((((Vp - Bmag) - 159.63905) * Bzsouth) * 0.0013296593) - 0.84098405)),14.219150943396226,16.31655,10.911735849056603,12.99905,0.725320754716981,0.6983,15.571754716981133,18.4269,-0.06690711*DST + (0.0013296593*Bzsouth*(-Bmag + Vp - 159.63905) - 0.84098405)*(-0.016582856*Bzsouth - 0.008291428*DST - sqrt(Np) - 0.60579747) - 2.5263886
1,28,3.7896347,(DST * -0.06690711) + (((((DST + Bzsouth) * -0.008006787) + (-0.6224202 - sqrt(Np))) * (((((Vp - Np) - 159.63905) * Bzsouth) * 0.0013296593) - 0.84098405)) + -2.5525913),0.0001630893847835,(DST * -0.06690711) + (((((DST + Bzsouth) * -0.008006787) + (-0.6224202 - sqrt(Np))) * (((((Vp - Np) - 159.63905) * Bzsouth) * 0.0013296593) - 0.84098405)) + -2.5525913),14.190660377358492,16.421550000000003,10.902207547169812,13.076849999999999,0.7266415094339622,0.6916,15.589547169811322,18.5639,-0.06690711*DST + (0.0013296593*Bzsouth*(-Np + Vp - 159.63905) - 0.84098405)*(-0.008006787*Bzsouth - 0.008006787*DST - sqrt(Np) - 0.6224202) - 2.5525913
2,26,3.790871,(((((((Vp - Np) - 160.32938) * Bzsouth) * 0.0013246149) - 0.80793333) * ((DST * -0.00731337) - (sqrt(Np) + 0.65606064))) + (DST * -0.06632254)) + -2.468984,0.0001076549590332,(((((((Vp - Np) - 160.32938) * Bzsouth) * 0.0013246149) - 0.80793333) * ((DST * -0.00731337) - (sqrt(Np) + 0.65606064))) + (DST * -0.06632254)) + -2.468984,14.273264150943396,16.3744,10.962886792452828,12.9476,0.7243584905660375,0.6988000000000001,15.761811320754717,18.80555,-0.06632254*DST + (0.0013246149*Bzsouth*(-Np + Vp - 160.32938) - 0.80793333)*(-0.00731337*DST - sqrt(Np) - 0.65606064) - 2.468984
3,29,3.7913702,(((((((Bzsouth + Bmag) * DST) + ((sqrt(Np) * Bzsouth) * (Vp + (-143.72131 - Np)))) * -0.026818233) - (Bmag + DST)) / 19.122902) + sqrt(Np)) + -2.1933167,0.0005152209154295,(((((((Bzsouth + Bmag) * DST) + ((sqrt(Np) * Bzsouth) * (Vp + (-143.72131 - Np)))) * -0.026818233) - (Bmag + DST)) / 19.122902) + sqrt(Np)) + -2.1933167,14.448056603773587,18.9254,11.047735849056604,14.88365,0.7272452830188678,0.6282,16.48766037735849,22.051,-0.0522933182421789*Bmag - 0.00140241439296191*Bzsouth*sqrt(Np)*(-Np + Vp - 143.72131) - 0.00140241439296191*DST*(Bmag + Bzsouth) - 0.0522933182421789*DST + sqrt(Np) - 2.1933167
4,29,3.791558,((Vp * ((Bzsouth + 1.4056387) * ((DST * (0.0010231906 / (-1.9690949 - Np))) - 0.04994203))) - (DST - (Np + 26.93975))) / (51.730183 / sqrt(sqrt(Np * Bmag))),0.0009039555546464,((Vp * ((Bzsouth + 1.4056387) * ((DST * (0.0010231906 / (-1.9690949 - Np))) - 0.04994203))) - (DST - (Np + 26.93975))) / (51.730183 / sqrt(sqrt(Np * Bmag))),14.082867924528303,14.615649999999999,10.7478679245283,10.921049999999997,0.7281132075471698,0.7685,15.693245283018872,17.3262,0.0193310740849303*(Bmag*Np)**(1/4)*(-DST + Np + Vp*(Bzsouth + 1.4056387)*(0.0010231906*DST/(-Np - 1.9690949) - 0.04994203) + 26.93975)
5,24,3.7916873,((((Bzsouth * 0.0012057658) * (Vp - 168.3989)) - 0.7863517) * ((DST * -0.0079295635) - (sqrt(Np) + 0.9382792))) + ((DST * -0.06651169) + -2.627629),0.0010513534978677,((((Bzsouth * 0.0012057658) * (Vp - 168.3989)) - 0.7863517) * ((DST * -0.0079295635) - (sqrt(Np) + 0.9382792))) + ((DST * -0.06651169) + -2.627629),14.28788679245283,16.2104,10.974245283018869,12.843950000000001,0.7236792452830189,0.70465,15.82920754716981,18.43305,-0.06651169*DST + (0.0012057658*Bzsouth*(Vp - 168.3989) - 0.7863517)*(-0.0079295635*DST - sqrt(Np) - 0.9382792) - 2.627629
6,27,3.795279,(sqrt(Np) + -2.1294987) + ((((((Bzsouth * (-143.73756 + Vp)) * sqrt(Np)) + (DST * (Bmag + Bzsouth))) * -0.026245873) - (Bmag + DST)) / 19.122902),0.0007241388266097,(sqrt(Np) + -2.1294987) + ((((((Bzsouth * (-143.73756 + Vp)) * sqrt(Np)) + (DST * (Bmag + Bzsouth))) * -0.026245873) - (Bmag + DST)) / 19.122902),14.574509433962266,18.770799999999998,11.13847169811321,14.676950000000001,0.7214150943396226,0.64615,16.553603773584904,21.87715,-0.0522933182421789*Bmag - 0.00137248378933281*Bzsouth*sqrt(Np)*(Vp - 143.73756) - 0.00137248378933281*DST*(Bmag + Bzsouth) - 0.0522933182421789*DST + sqrt(Np) - 2.1294987
7,23,3.7956758,((DST * -0.068679936) + -2.7448597) + (((square(Vp * 0.0012337118) * Bzsouth) - 0.78754276) * ((-0.007035051 * DST) - (sqrt(Np) + 0.78754276))),0.0018313816060773,((DST * -0.068679936) + -2.7448597) + (((square(Vp * 0.0012337118) * Bzsouth) - 0.78754276) * ((-0.007035051 * DST) - (sqrt(Np) + 0.78754276))),14.2351320754717,17.649449999999998,10.845867924528303,13.8721,0.7366415094339621,0.6572499999999999,16.496207547169814,21.2008,-0.068679936*DST + (Bzsouth*square(0.0012337118*Vp) - 0.78754276)*(-0.007035051*DST - sqrt(Np) - 0.78754276) - 2.7448597
8,27,3.798419,(((Vp * ((DST * (0.0007285958 / (-1.1511712 - Np))) - 0.045781374)) * (Bzsouth + 0.27216995)) - (DST - Np)) / (48.068405 / sqrt(sqrt(Np * Bmag))),0.0005767231375923,(((Vp * ((DST * (0.0007285958 / (-1.1511712 - Np))) - 0.045781374)) * (Bzsouth + 0.27216995)) - (DST - Np)) / (48.068405 / sqrt(sqrt(Np * Bmag))),14.758396226415092,15.953,11.26630188679245,12.327850000000002,0.705566037735849,0.7243999999999999,16.84424528301887,18.406,0.0208036859138555*(Bmag*Np)**(1/4)*(-DST + Np + Vp*(Bzsouth + 0.27216995)*(0.0007285958*DST/(-Np - 1.1511712) - 0.045781374))
9,25,3.8007796,((((((DST * (Bmag + Bzsouth)) + ((Bzsouth * (Vp + -143.72925)) * sqrt(Np))) * -0.027476136) - DST) / 19.712595) + sqrt(Np)) + -2.4688275,0.0007007684805679,((((((DST * (Bmag + Bzsouth)) + ((Bzsouth * (Vp + -143.72925)) * sqrt(Np))) * -0.027476136) - DST) / 19.712595) + sqrt(Np)) + -2.4688275,14.856698113207546,19.51785,11.340849056603773,15.33915,0.7104150943396229,0.6083000000000001,16.998735849056605,22.735949999999995,-0.0013938365801154*Bzsouth*sqrt(Np)*(Vp - 143.72925) - 0.0013938365801154*DST*(Bmag + Bzsouth) - 0.0507289882433033*DST + sqrt(Np) - 2.4688275
