,complexity,loss,equation,score,julia_expression,simulation,TRAIN_RMSE,TEST_RMSE,TRAIN_MAE,TEST_MAE,TRAIN_R2,TEST_R2,TRAIN_BFE,TEST_BFE,g_sympy_eq,m_sympy_eq,d_sympy_eq
0,33,3.7851176,"g = sqrt(#2) + ((#3 / ((5.1023736 / (((neg(#4) + #1) * -0.0066329227) + 0.9062211)) / sqrt(#2))) + -2.0283432); d = ((#1 * (max(#1 * -0.0478518, #1) + 7.004016)) * -0.0052833157) - 0.11993735",0.0002101167053601,"g = sqrt(#2) + ((#3 / ((5.1023736 / (((neg(#4) + #1) * -0.0066329227) + 0.9062211)) / sqrt(#2))) + -2.0283432); d = ((#1 * (max(#1 * -0.0478518, #1) + 7.004016)) * -0.0052833157) - 0.11993735",67,14.50177358490566,17.61575,11.184207547169812,14.243249999999998,0.7161509433962262,0.6092,16.186698113207548,19.3334,0.195987216616204*Bzsouth*sqrt(Np)*(-0.0066329227*Vp - 0.0066329227*neg(Bmag) + 0.9062211) + sqrt(Np) - 2.0283432,,"-0.0052833157*DST*(Max(-0.0478518*DST, DST) + 7.004016) - 0.11993735"
1,32,3.785913,"g = sqrt(#2) + ((#3 / ((5.1023736 / (((#1 + (#4 * -0.4272186)) * -0.0066329227) + 0.96345514)) / sqrt(#2))) + -2.1829143); d = #1 * ((max(#1 * -0.0478518, #1) + 7.004016) * -0.0052833157)",0.0001617181845457,"g = sqrt(#2) + ((#3 / ((5.1023736 / (((#1 + (#4 * -0.4272186)) * -0.0066329227) + 0.96345514)) / sqrt(#2))) + -2.1829143); d = #1 * ((max(#1 * -0.0478518, #1) + 7.004016) * -0.0052833157)",67,14.481188679245284,17.797400000000003,11.144849056603775,14.427800000000001,0.7160566037735848,0.6006499999999999,16.136132075471696,19.451499999999996,0.195987216616204*Bzsouth*sqrt(Np)*(0.00283370794980222*Bmag - 0.0066329227*Vp + 0.96345514) + sqrt(Np) - 2.1829143,,"DST*(-0.0052833157*Max(-0.0478518*DST, DST) - 0.0370044276958512)"
2,30,3.7871377,"g = (((#3 / ((5.1023736 / ((#1 * -0.0066329227) + 0.9634512)) / sqrt(#2))) + sqrt(#2)) / 1.02357) + -2.1100745; d = ((max(#1, #1 * -0.0478518) + 7.004016) * -0.0052833157) * #1",3.878768447279209e-05,"g = (((#3 / ((5.1023736 / ((#1 * -0.0066329227) + 0.9634512)) / sqrt(#2))) + sqrt(#2)) / 1.02357) + -2.1100745; d = ((max(#1, #1 * -0.0478518) + 7.004016) * -0.0052833157) * #1",67,14.45384905660377,17.4459,11.121603773584908,14.076400000000003,0.7185849056603774,0.6188,16.13584905660377,19.337,0.191474170419418*Bzsouth*sqrt(Np)*(0.9634512 - 0.0066329227*Vp) + 0.97697275222994*sqrt(Np) - 2.1100745,,"DST*(-0.0052833157*Max(-0.0478518*DST, DST) - 0.0370044276958512)"
3,28,3.7874315,"g = sqrt(#2) + ((#3 / ((5.1023736 / ((#1 * -0.0066329227) + 1.0117164)) / sqrt(#2))) + -2.1100745); d = (#1 * (max(#1, #1 * -0.0478518) + 7.004016)) * -0.0052833157",0.0014149589219607,"g = sqrt(#2) + ((#3 / ((5.1023736 / ((#1 * -0.0066329227) + 1.0117164)) / sqrt(#2))) + -2.1100745); d = (#1 * (max(#1, #1 * -0.0478518) + 7.004016)) * -0.0052833157",67,14.501830188679243,17.332,11.186792452830188,13.9244,0.7190943396226416,0.62355,16.16792452830189,19.5327,0.195987216616204*Bzsouth*sqrt(Np)*(1.0117164 - 0.0066329227*Vp) + sqrt(Np) - 2.1100745,,"-0.0052833157*DST*(Max(-0.0478518*DST, DST) + 7.004016)"
4,33,3.7910051,"g = ((inv(#4) + sqrt(#2)) * ((((3.247047 - (#1 * 0.019395135)) * #3) * 0.067984655) - -0.810041)) + -4.08069; d = square(1.4650735 - (#1 * 0.014578719)) + ((2.7653375 - #1) * cond(#1, 0.067984655))",0.0010102241455549,"g = ((inv(#4) + sqrt(#2)) * ((((3.247047 - (#1 * 0.019395135)) * #3) * 0.067984655) - -0.810041)) + -4.08069; d = square(1.4650735 - (#1 * 0.014578719)) + ((2.7653375 - #1) * cond(#1, 0.067984655))",48,14.368490566037735,16.155350000000002,11.001226415094338,12.778550000000001,0.7244528301886791,0.68855,16.190509433962266,19.436150000000005,(sqrt(Np) + 1/Bmag)*(0.067984655*Bzsouth*(3.247047 - 0.019395135*Vp) + 0.810041) - 4.08069,,"(2.7653375 - DST)*cond(DST, 0.067984655) + square(1.4650735 - 0.014578719*DST)"
5,33,3.7910366,"g = sqrt(#2) * (((-31.014212 - (#2 - (#1 - (#2 * 1.3347784)))) * (#3 * -0.001029526)) + 1.0010872); d = (((max(#1 / 25.28304, #1 * -0.0019556787) + 0.34728825) * -0.11545466) * #1) + -2.148033",0.000173625698782,"g = sqrt(#2) * (((-31.014212 - (#2 - (#1 - (#2 * 1.3347784)))) * (#3 * -0.001029526)) + 1.0010872); d = (((max(#1 / 25.28304, #1 * -0.0019556787) + 0.34728825) * -0.11545466) * #1) + -2.148033",63,14.920698113207548,17.404899999999998,11.509169811320755,14.121950000000002,0.7013207547169812,0.62,16.772716981132074,18.74245,sqrt(Np)*(-0.001029526*Bzsouth*(-2.3347784*Np + Vp - 31.014212) + 1.0010872),,"DST*(-0.11545466*Max(-0.0019556787*DST, 0.0395522057474101*DST) - 0.040096046825745) - 2.148033"
6,34,3.7934966,"g = (sqrt(#2 + 2.95695) + (#3 / ((-1.2822285 / sqrt(#2)) + (0.74270344 - inv((#2 + #1) * 0.0018087182))))) - 2.95695; d = (#1 + (square(#1) * (max(#1, -1.764852) * 0.0018224526))) * -0.04960057",0.0010627285309087,"g = (sqrt(#2 + 2.95695) + (#3 / ((-1.2822285 / sqrt(#2)) + (0.74270344 - inv((#2 + #1) * 0.0018087182))))) - 2.95695; d = (#1 + (square(#1) * (max(#1, -1.764852) * 0.0018224526))) * -0.04960057",33,14.827622641509432,16.8273,11.413773584905659,13.140550000000001,0.7153018867924528,0.6705500000000001,17.487698113207546,21.18125,Bzsouth/(0.74270344 - 1/(0.0018087182*Np + 0.0018087182*Vp) - 1.2822285/sqrt(Np)) + sqrt(Np + 2.95695) - 2.95695,,"-0.04960057*DST - 9.0394687757982e-5*square(DST)*Max(-1.764852, DST)"
7,29,3.7936704,"g = (((#1 - (1.2144799 * #2)) * (#3 * -0.00092978013)) + 0.99999964) * sqrt(#2); d = (#1 * (-0.11545753 * (max(#1 / 25.28304, #1 * -0.0018432548) + 0.34728885))) + -2.1480327",3.5004451484010245e-05,"g = (((#1 - (1.2144799 * #2)) * (#3 * -0.00092978013)) + 0.99999964) * sqrt(#2); d = (#1 * (-0.11545753 * (max(#1 / 25.28304, #1 * -0.0018432548) + 0.34728885))) + -2.1480327",63,15.076679245283017,17.51505,11.609981132075468,14.21575,0.6899811320754716,0.6174,16.97275471698113,18.624550000000003,sqrt(Np)*(-0.00092978013*Bzsouth*(-1.2144799*Np + Vp) + 0.99999964),,"DST*(-0.11545753*Max(-0.0018432548*DST, 0.0395522057474101*DST) - 0.0400971128175405) - 2.1480327"
8,27,3.793936,"g = (((#1 - #2) * (#3 * -0.00092978013)) + 0.99999964) * sqrt(#2); d = ((#1 * -0.11545753) * (max(#1 / 25.28304, #1 * -0.0018432548) + 0.34728885)) + -2.1480327",0.0004358742462756,"g = (((#1 - #2) * (#3 * -0.00092978013)) + 0.99999964) * sqrt(#2); d = ((#1 * -0.11545753) * (max(#1 / 25.28304, #1 * -0.0018432548) + 0.34728885)) + -2.1480327",63,15.111452830188679,17.5275,11.630924528301886,14.226149999999999,0.6874150943396227,0.6172000000000001,16.98711320754717,18.604999999999997,sqrt(Np)*(-0.00092978013*Bzsouth*(-Np + Vp) + 0.99999964),,"-0.11545753*DST*(Max(-0.0018432548*DST, 0.0395522057474101*DST) + 0.34728885) - 2.1480327"
9,32,3.7948368,"g = (sqrt(#2) * (((0.067984655 * (3.247047 - (#1 * 0.019395135))) * #3) - -0.810041)) + -4.08069; d = square((#1 * 0.014578719) - 1.4650735) + ((3.247047 - (#1 - 0.48170936)) * cond(#1, 0.067984655))",4.771053890736849e-05,"g = (sqrt(#2) * (((0.067984655 * (3.247047 - (#1 * 0.019395135))) * #3) - -0.810041)) + -4.08069; d = square((#1 * 0.014578719) - 1.4650735) + ((3.247047 - (#1 - 0.48170936)) * cond(#1, 0.067984655))",48,14.261754716981134,16.863100000000003,10.88111320754717,13.46765,0.7276981132075473,0.6564,16.219867924528298,19.906549999999996,sqrt(Np)*(Bzsouth*(0.220749370063785 - 0.00131857156165343*Vp) + 0.810041) - 4.08069,,"(3.72875636 - DST)*cond(DST, 0.067984655) + square(0.014578719*DST - 1.4650735)"
