complexity,loss,equation,score,julia_expression,lambda_format,simulation
29,3.8079646,g = sqrt(#1) + ((((sqrt(((#2 / -2.3107975) / 3869.9756) + (#1 + 1.0388132)) * #2) + square(#1)) * -0.0012395561) + -1.1791304); d = ((#1 * 0.00023189152) + -0.036109243) * #1,4.921143146307903e-05,g = sqrt(#1) + ((((sqrt(((#2 / -2.3107975) / 3869.9756) + (#1 + 1.0388132)) * #2) + square(#1)) * -0.0012395561) + -1.1791304); d = ((#1 * 0.00023189152) + -0.036109243) * #1,<pysr.expression_specs.CallableJuliaExpression object at 0x7999d99bf7a0>,24
28,3.808152,g = ((sqrt(((#2 / -8187.132) + #1) + 1.1011446) * (#2 * -0.0012460026)) + (sqrt(#1) * 0.90694124)) + -1.0624372; d = #1 * (((#1 + -2.2393885) * 0.00023202693) + -0.035355285),9.2957610229127e-06,g = ((sqrt(((#2 / -8187.132) + #1) + 1.1011446) * (#2 * -0.0012460026)) + (sqrt(#1) * 0.90694124)) + -1.0624372; d = #1 * (((#1 + -2.2393885) * 0.00023202693) + -0.035355285),<pysr.expression_specs.CallableJuliaExpression object at 0x7999d99bcd40>,24
26,3.8082228,g = (((sqrt(((#2 / -8187.132) + #1) + 1.1011446) * #2) * -0.0012460026) + (sqrt(#1) * 0.90694124)) + -1.0424078; d = #1 * ((#1 * 0.00023202693) + -0.035355285),4.700344195188889e-06,g = (((sqrt(((#2 / -8187.132) + #1) + 1.1011446) * #2) * -0.0012460026) + (sqrt(#1) * 0.90694124)) + -1.0424078; d = #1 * ((#1 * 0.00023202693) + -0.035355285),<pysr.expression_specs.CallableJuliaExpression object at 0x7999d99bfcb0>,24
25,3.8082407,g = ((((#2 + #1) * -0.0012417546) + 1.0610617) * sqrt(1.0517459 + (#1 + (#2 * -0.000117489406)))) + -1.694155; d = ((0.00022755003 * #1) + -0.037222542) * #1,5.881946549436375e-06,g = ((((#2 + #1) * -0.0012417546) + 1.0610617) * sqrt(1.0517459 + (#1 + (#2 * -0.000117489406)))) + -1.694155; d = ((0.00022755003 * #1) + -0.037222542) * #1,<pysr.expression_specs.CallableJuliaExpression object at 0x7999d99bfc50>,24
23,3.8082855,g = (((#2 * -0.0012417546) + 1.0610617) * sqrt((#2 * -0.000117489406) + (#1 + 1.0517459))) + -1.694155; d = ((#1 * 0.00022755003) + -0.037222542) * #1,0.0014727445728486,g = (((#2 * -0.0012417546) + 1.0610617) * sqrt((#2 * -0.000117489406) + (#1 + 1.0517459))) + -1.694155; d = ((#1 * 0.00022755003) + -0.037222542) * #1,<pysr.expression_specs.CallableJuliaExpression object at 0x7999d99bdf40>,24
29,3.811146,g = (((#2 - (square(#1) * -0.5000779)) * -0.0012142226) - -1.042286) * sqrt((#2 * -0.00010358911) + (#1 + 0.9728318)); d = square(((#1 + -0.17683381) * 0.01697958) + -0.83479035) - 2.1848679,3.3847972069530747e-06,g = (((#2 - (square(#1) * -0.5000779)) * -0.0012142226) - -1.042286) * sqrt((#2 * -0.00010358911) + (#1 + 0.9728318)); d = square(((#1 + -0.17683381) * 0.01697958) + -0.83479035) - 2.1848679,<pysr.expression_specs.CallableJuliaExpression object at 0x7999d998ec00>,8
27,3.8111718,g = sqrt((#2 * -0.00010358911) + (#1 + 0.9728318)) * (((#2 - (square(#1) * -0.5000779)) * -0.0012142226) - -1.042286); d = square((#1 * 0.01697958) + -0.83479035) - 2.1848679,5.478479886931536e-05,g = sqrt((#2 * -0.00010358911) + (#1 + 0.9728318)) * (((#2 - (square(#1) * -0.5000779)) * -0.0012142226) - -1.042286); d = square((#1 * 0.01697958) + -0.83479035) - 2.1848679,<pysr.expression_specs.CallableJuliaExpression object at 0x7999d998e5d0>,8
26,3.8113806,g = sqrt((#2 * -0.00010358911) + (#1 + 0.9728318)) * (((#2 + (#1 / 0.13107473)) * -0.0012142226) - -1.042286); d = square((#1 * 0.01697958) + -0.85694516) - 2.1848679,4.864260758075546e-05,g = sqrt((#2 * -0.00010358911) + (#1 + 0.9728318)) * (((#2 + (#1 / 0.13107473)) * -0.0012142226) - -1.042286); d = square((#1 * 0.01697958) + -0.85694516) - 2.1848679,<pysr.expression_specs.CallableJuliaExpression object at 0x7999d998d460>,8
25,3.811566,g = sqrt((#2 * -0.00010358911) + (#1 + 0.9728318)) * (((#2 + sqrt(#3)) * -0.0012142226) - -1.042286); d = square((#1 * 0.01697958) + -0.85694516) - 2.1848679,8.253484721156678e-05,g = sqrt((#2 * -0.00010358911) + (#1 + 0.9728318)) * (((#2 + sqrt(#3)) * -0.0012142226) - -1.042286); d = square((#1 * 0.01697958) + -0.85694516) - 2.1848679,<pysr.expression_specs.CallableJuliaExpression object at 0x7999d998dee0>,8
29,3.8117592,g = (sqrt(#1) + ((-0.06800037 / #1) + inv((#3 * 2.4240459e-5) + 1.7785395))) * (0.84709734 - (#2 * 0.0011333398)); d = (square((#1 * 0.018702483) + -1.225901) + -3.3968487) * 0.7211344,5.480108823815846e-05,g = (sqrt(#1) + ((-0.06800037 / #1) + inv((#3 * 2.4240459e-5) + 1.7785395))) * (0.84709734 - (#2 * 0.0011333398)); d = (square((#1 * 0.018702483) + -1.225901) + -3.3968487) * 0.7211344,<pysr.expression_specs.CallableJuliaExpression object at 0x7999d99bda90>,29
