,complexity,loss,equation,score,julia_expression,simulation,TRAIN_RMSE,TEST_RMSE,TRAIN_MAE,TEST_MAE,TRAIN_R2,TEST_R2,TRAIN_BFE,TEST_BFE,g_sympy_eq,m_sympy_eq,d_sympy_eq
0,29,3.8079646,g = sqrt(#1) + ((((sqrt(((#2 / -2.3107975) / 3869.9756) + (#1 + 1.0388132)) * #2) + square(#1)) * -0.0012395561) + -1.1791304); d = ((#1 * 0.00023189152) + -0.036109243) * #1,4.921143146307903e-05,g = sqrt(#1) + ((((sqrt(((#2 / -2.3107975) / 3869.9756) + (#1 + 1.0388132)) * #2) + square(#1)) * -0.0012395561) + -1.1791304); d = ((#1 * 0.00023189152) + -0.036109243) * #1,24,15.032792452830192,17.863,11.724509433962263,14.181900000000002,0.690245283018868,0.65845,16.812113207547167,20.176800000000007,-0.0012395561*VBs*sqrt(P_dyn - 0.00011182267680418*VBs + 1.0388132) + sqrt(P_dyn) - 0.0012395561*square(P_dyn) - 1.1791304,,DST*(0.00023189152*DST - 0.036109243)
1,28,3.808152,g = ((sqrt(((#2 / -8187.132) + #1) + 1.1011446) * (#2 * -0.0012460026)) + (sqrt(#1) * 0.90694124)) + -1.0624372; d = #1 * (((#1 + -2.2393885) * 0.00023202693) + -0.035355285),9.2957610229127e-06,g = ((sqrt(((#2 / -8187.132) + #1) + 1.1011446) * (#2 * -0.0012460026)) + (sqrt(#1) * 0.90694124)) + -1.0624372; d = #1 * (((#1 + -2.2393885) * 0.00023202693) + -0.035355285),24,15.04545283018868,17.6165,11.701849056603775,13.928749999999999,0.687811320754717,0.66975,16.738981132075473,19.964649999999995,-0.0012460026*VBs*sqrt(P_dyn - 0.000122142894483685*VBs + 1.1011446) + 0.90694124*sqrt(P_dyn) - 1.0624372,,DST*(0.00023202693*DST - 0.0358748834387323)
2,26,3.8082228,g = (((sqrt(((#2 / -8187.132) + #1) + 1.1011446) * #2) * -0.0012460026) + (sqrt(#1) * 0.90694124)) + -1.0424078; d = #1 * ((#1 * 0.00023202693) + -0.035355285),4.700344195188889e-06,g = (((sqrt(((#2 / -8187.132) + #1) + 1.1011446) * #2) * -0.0012460026) + (sqrt(#1) * 0.90694124)) + -1.0424078; d = #1 * ((#1 * 0.00023202693) + -0.035355285),24,15.065528301886792,17.5841,11.723698113207547,13.88965,0.6866415094339622,0.6715500000000001,16.751150943396226,19.945999999999998,-0.0012460026*VBs*sqrt(P_dyn - 0.000122142894483685*VBs + 1.1011446) + 0.90694124*sqrt(P_dyn) - 1.0424078,,DST*(0.00023202693*DST - 0.035355285)
3,25,3.8082407,g = ((((#2 + #1) * -0.0012417546) + 1.0610617) * sqrt(1.0517459 + (#1 + (#2 * -0.000117489406)))) + -1.694155; d = ((0.00022755003 * #1) + -0.037222542) * #1,5.881946549436375e-06,g = ((((#2 + #1) * -0.0012417546) + 1.0610617) * sqrt(1.0517459 + (#1 + (#2 * -0.000117489406)))) + -1.694155; d = ((0.00022755003 * #1) + -0.037222542) * #1,24,15.058509433962264,17.023899999999998,11.673867924528299,13.31635,0.6882641509433962,0.6974999999999999,16.778962264150945,19.637350000000005,(-0.0012417546*P_dyn - 0.0012417546*VBs + 1.0610617)*sqrt(P_dyn - 0.000117489406*VBs + 1.0517459) - 1.694155,,DST*(0.00022755003*DST - 0.037222542)
4,23,3.8082855,g = (((#2 * -0.0012417546) + 1.0610617) * sqrt((#2 * -0.000117489406) + (#1 + 1.0517459))) + -1.694155; d = ((#1 * 0.00022755003) + -0.037222542) * #1,0.0014727445728486,g = (((#2 * -0.0012417546) + 1.0610617) * sqrt((#2 * -0.000117489406) + (#1 + 1.0517459))) + -1.694155; d = ((#1 * 0.00022755003) + -0.037222542) * #1,24,15.055471698113207,17.021749999999997,11.679150943396229,13.3169,0.6888867924528302,0.6973,16.780226415094337,19.651199999999996,(1.0610617 - 0.0012417546*VBs)*sqrt(P_dyn - 0.000117489406*VBs + 1.0517459) - 1.694155,,DST*(0.00022755003*DST - 0.037222542)
5,29,3.811146,g = (((#2 - (square(#1) * -0.5000779)) * -0.0012142226) - -1.042286) * sqrt((#2 * -0.00010358911) + (#1 + 0.9728318)); d = square(((#1 + -0.17683381) * 0.01697958) + -0.83479035) - 2.1848679,3.3847972069530747e-06,g = (((#2 - (square(#1) * -0.5000779)) * -0.0012142226) - -1.042286) * sqrt((#2 * -0.00010358911) + (#1 + 0.9728318)); d = square(((#1 + -0.17683381) * 0.01697958) + -0.83479035) - 2.1848679,8,14.955433962264149,16.47355,11.633264150943395,12.869900000000001,0.6909811320754717,0.70645,16.660962264150946,18.872,(-0.0012142226*VBs - 0.00060720588794054*square(P_dyn) + 1.042286)*sqrt(P_dyn - 0.00010358911*VBs + 0.9728318),,square(0.01697958*DST - 0.8377929138236) - 2.1848679
6,27,3.8111718,g = sqrt((#2 * -0.00010358911) + (#1 + 0.9728318)) * (((#2 - (square(#1) * -0.5000779)) * -0.0012142226) - -1.042286); d = square((#1 * 0.01697958) + -0.83479035) - 2.1848679,5.478479886931536e-05,g = sqrt((#2 * -0.00010358911) + (#1 + 0.9728318)) * (((#2 - (square(#1) * -0.5000779)) * -0.0012142226) - -1.042286); d = square((#1 * 0.01697958) + -0.83479035) - 2.1848679,8,14.961716981132078,16.512549999999997,11.628754716981133,12.912749999999999,0.6901509433962265,0.7046,16.662245283018866,18.8701,(-0.0012142226*VBs - 0.00060720588794054*square(P_dyn) + 1.042286)*sqrt(P_dyn - 0.00010358911*VBs + 0.9728318),,square(0.01697958*DST - 0.83479035) - 2.1848679
7,26,3.8113806,g = sqrt((#2 * -0.00010358911) + (#1 + 0.9728318)) * (((#2 + (#1 / 0.13107473)) * -0.0012142226) - -1.042286); d = square((#1 * 0.01697958) + -0.85694516) - 2.1848679,4.864260758075546e-05,g = sqrt((#2 * -0.00010358911) + (#1 + 0.9728318)) * (((#2 + (#1 / 0.13107473)) * -0.0012142226) - -1.042286); d = square((#1 * 0.01697958) + -0.85694516) - 2.1848679,8,14.916132075471698,16.20845,11.629150943396226,12.602549999999999,0.6951509433962265,0.7172999999999999,16.583735849056605,18.778749999999995,(-0.00926359031981222*P_dyn - 0.0012142226*VBs + 1.042286)*sqrt(P_dyn - 0.00010358911*VBs + 0.9728318),,square(0.01697958*DST - 0.85694516) - 2.1848679
8,25,3.811566,g = sqrt((#2 * -0.00010358911) + (#1 + 0.9728318)) * (((#2 + sqrt(#3)) * -0.0012142226) - -1.042286); d = square((#1 * 0.01697958) + -0.85694516) - 2.1848679,8.253484721156678e-05,g = sqrt((#2 * -0.00010358911) + (#1 + 0.9728318)) * (((#2 + sqrt(#3)) * -0.0012142226) - -1.042286); d = square((#1 * 0.01697958) + -0.85694516) - 2.1848679,8,15.287207547169809,16.568649999999998,11.84647169811321,12.985650000000001,0.672622641509434,0.70405,16.718849056603773,18.5106,(-0.0012142226*VBs - 0.0012142226*sqrt(epsilon) + 1.042286)*sqrt(P_dyn - 0.00010358911*VBs + 0.9728318),,square(0.01697958*DST - 0.85694516) - 2.1848679
9,24,3.8118806,g = sqrt((#2 * -0.00010358911) + (#1 + 0.9728318)) * (((#2 + #1) * -0.0012142226) - -1.042286); d = square((#1 * 0.01697958) + -0.83479035) - 2.1848679,9.850683704023734e-06,g = sqrt((#2 * -0.00010358911) + (#1 + 0.9728318)) * (((#2 + #1) * -0.0012142226) - -1.042286); d = square((#1 * 0.01697958) + -0.83479035) - 2.1848679,8,14.960471698113206,16.49165,11.64790566037736,12.91295,0.6923773584905661,0.70335,16.65945283018868,18.862,(-0.0012142226*P_dyn - 0.0012142226*VBs + 1.042286)*sqrt(P_dyn - 0.00010358911*VBs + 0.9728318),,square(0.01697958*DST - 0.83479035) - 2.1848679
