complexity,loss,equation,score,julia_expression,lambda_format,simulation
28,3.7956915,g = ((sqrt(#2) + (1.9201866 / #4)) * ((#3 * (((#1 + (#5 * -0.9281309)) * -0.0012096151) + 0.17437275)) + 0.7686859)) + -4.043024; d = square((-0.014601429 * #1) - -1.4483624),0.0003301620004839,g = ((sqrt(#2) + (1.9201866 / #4)) * ((#3 * (((#1 + (#5 * -0.9281309)) * -0.0012096151) + 0.17437275)) + 0.7686859)) + -4.043024; d = square((-0.014601429 * #1) - -1.4483624),<pysr.expression_specs.CallableJuliaExpression object at 0x71790d38e360>,18
27,3.7969449,g = ((sqrt(#2) + (1.9201866 / #4)) * ((#3 * (((#1 + inv(-0.3188039)) * -0.0012096151) + 0.17437275)) + 0.7686859)) + -4.043024; d = square(-1.4483624 - (-0.014601429 * #1)),2.3913677104720453e-05,g = ((sqrt(#2) + (1.9201866 / #4)) * ((#3 * (((#1 + inv(-0.3188039)) * -0.0012096151) + 0.17437275)) + 0.7686859)) + -4.043024; d = square(-1.4483624 - (-0.014601429 * #1)),<pysr.expression_specs.CallableJuliaExpression object at 0x71790d38d700>,18
26,3.7970357,g = (((#3 * (((#1 + -1.4483624) * -0.0012096151) + 0.17437275)) + 0.7686859) * (sqrt(#2) + (1.9201866 / #4))) + -4.043024; d = square(-1.4483624 - (-0.014601429 * #1)),1.5762047390380265e-05,g = (((#3 * (((#1 + -1.4483624) * -0.0012096151) + 0.17437275)) + 0.7686859) * (sqrt(#2) + (1.9201866 / #4))) + -4.043024; d = square(-1.4483624 - (-0.014601429 * #1)),<pysr.expression_specs.CallableJuliaExpression object at 0x71790d38c6e0>,18
30,3.7970953,g = ((sqrt(#2) + inv(#4)) * ((((((#1 - #4) - #2) + square(#1 * 0.030088559)) * #3) * -0.0006215895) + 0.81470466)) + -3.9415083; d = square((#1 * -0.014490519) + 1.4380635),0.0001423517203562,g = ((sqrt(#2) + inv(#4)) * ((((((#1 - #4) - #2) + square(#1 * 0.030088559)) * #3) * -0.0006215895) + 0.81470466)) + -3.9415083; d = square((#1 * -0.014490519) + 1.4380635),<pysr.expression_specs.CallableJuliaExpression object at 0x7179088399a0>,69
24,3.7971554,g = ((sqrt(#2) + (1.9201866 / #4)) * ((#3 * ((#1 * -0.0012096151) + 0.17437275)) + 0.7686859)) + -4.043024; d = square(-1.4483624 - (#1 * -0.014601429)),0.0003936646193943,g = ((sqrt(#2) + (1.9201866 / #4)) * ((#3 * ((#1 * -0.0012096151) + 0.17437275)) + 0.7686859)) + -4.043024; d = square(-1.4483624 - (#1 * -0.014601429)),<pysr.expression_specs.CallableJuliaExpression object at 0x71790d38ce30>,18
28,3.7971964,g = (((((#2 + ((#5 - #1) + (sqrt(square(#5)) + 136.20807))) * #3) * 0.0013046663) + 0.7696954) * sqrt(#2)) + -3.405403; d = square((#1 * -0.015251961) + 1.3014129),0.0001706903232185,g = (((((#2 + ((#5 - #1) + (sqrt(square(#5)) + 136.20807))) * #3) * 0.0013046663) + 0.7696954) * sqrt(#2)) + -3.405403; d = square((#1 * -0.015251961) + 1.3014129),<pysr.expression_specs.CallableJuliaExpression object at 0x71790d38cf20>,17
30,3.7975676,g = ((((#1 + ((-111.7443 - ((#4 + #5) + #2)) - #4)) + #3) * (#3 * -0.0012641952)) - -0.7836429) * sqrt(#2); d = square((#1 / -69.529686) + 1.5093378) + -4.0827003,7.01189171112892e-05,g = ((((#1 + ((-111.7443 - ((#4 + #5) + #2)) - #4)) + #3) * (#3 * -0.0012641952)) - -0.7836429) * sqrt(#2); d = square((#1 / -69.529686) + 1.5093378) + -4.0827003,<pysr.expression_specs.CallableJuliaExpression object at 0x7179087a00e0>,30
30,3.797657,g = ((((((neg((#5 + sqrt(#2)) + (#4 + #2)) + #1) + -145.14996) * -0.0014113626) * #3) + 0.8179405) * sqrt(#2)) + -5.2735224; d = square((#1 / 75.643486) + -1.8242885),1.7817956127891454e-06,g = ((((((neg((#5 + sqrt(#2)) + (#4 + #2)) + #1) + -145.14996) * -0.0014113626) * #3) + 0.8179405) * sqrt(#2)) + -5.2735224; d = square((#1 / 75.643486) + -1.8242885),<pysr.expression_specs.CallableJuliaExpression object at 0x7179087a2f60>,33
27,3.7976773,g = (sqrt(#2) * ((((neg(#5 + (#4 + #2)) + (#1 + -150.4235)) * -0.0014113626) * #3) + 0.8179405)) + -5.301459; d = square((#1 / 75.643486) + -1.8242885),4.318335815152191e-05,g = (sqrt(#2) * ((((neg(#5 + (#4 + #2)) + (#1 + -150.4235)) * -0.0014113626) * #3) + 0.8179405)) + -5.301459; d = square((#1 / 75.643486) + -1.8242885),<pysr.expression_specs.CallableJuliaExpression object at 0x7179087a0c20>,33
26,3.7978413,g = (sqrt(#2) * ((((-145.14996 + (#1 - (#2 + (#4 + #5)))) * #3) * -0.0014113626) + 0.8179405)) + -5.2735224; d = square(-1.8242885 + (#1 / 75.643486)),0.0002345004698583,g = (sqrt(#2) * ((((-145.14996 + (#1 - (#2 + (#4 + #5)))) * #3) * -0.0014113626) + 0.8179405)) + -5.2735224; d = square(-1.8242885 + (#1 / 75.643486)),<pysr.expression_specs.CallableJuliaExpression object at 0x7179087a2450>,33
27,3.7978446,g = (sqrt(#2 + inv(#4)) * (((0.0013046663 * (#4 + (138.37991 - (#1 - #5)))) * #3) + 0.7696954)) + -3.4138343; d = square((#1 * -0.015251961) + 1.3014129),0.0001376212269236,g = (sqrt(#2 + inv(#4)) * (((0.0013046663 * (#4 + (138.37991 - (#1 - #5)))) * #3) + 0.7696954)) + -3.4138343; d = square((#1 * -0.015251961) + 1.3014129),<pysr.expression_specs.CallableJuliaExpression object at 0x71790d38d490>,17
28,3.7981002,g = ((#3 * (-0.0012641952 * ((#1 + -111.7443) - (#4 + (#5 + (1.100303 * #2)))))) - -0.7836429) * sqrt(#2); d = square(1.5093378 + (#1 / -69.529686)) + -4.0827003,1.0952724303711696e-05,g = ((#3 * (-0.0012641952 * ((#1 + -111.7443) - (#4 + (#5 + (1.100303 * #2)))))) - -0.7836429) * sqrt(#2); d = square(1.5093378 + (#1 / -69.529686)) + -4.0827003,<pysr.expression_specs.CallableJuliaExpression object at 0x7179087a0d10>,30
28,3.7981765,g = ((inv(#4) + sqrt(#2)) * ((((#1 - #4) + square(#1 * -0.030280922)) * (#3 * -0.00061596965)) + 0.81451887)) + -3.941616; d = square((-0.014560227 * #1) + 1.4376979),0.0003677141348756,g = ((inv(#4) + sqrt(#2)) * ((((#1 - #4) + square(#1 * -0.030280922)) * (#3 * -0.00061596965)) + 0.81451887)) + -3.941616; d = square((-0.014560227 * #1) + 1.4376979),<pysr.expression_specs.CallableJuliaExpression object at 0x717908839b80>,69
26,3.7981834,g = (((#3 * -0.0012641952) * ((#1 + -111.7443) - ((#4 + #5) + #2))) - -0.7836429) * sqrt(#2); d = square((#1 / -69.529686) + 1.5093378) + -4.0827003,0.0001085927570293,g = (((#3 * -0.0012641952) * ((#1 + -111.7443) - ((#4 + #5) + #2))) - -0.7836429) * sqrt(#2); d = square((#1 / -69.529686) + 1.5093378) + -4.0827003,<pysr.expression_specs.CallableJuliaExpression object at 0x7179087a35f0>,30
30,3.7983565,g = (sqrt(#2) * (((#3 * (1.2814335 - ((#1 * 0.018367559) - ((#4 + (#5 + #1)) * 0.009740404)))) * 0.15626392) - -0.7907433)) - 3.4474702; d = square(1.2922392 - (#1 * 0.015317772)),5.637926701655582e-05,g = (sqrt(#2) * (((#3 * (1.2814335 - ((#1 * 0.018367559) - ((#4 + (#5 + #1)) * 0.009740404)))) * 0.15626392) - -0.7907433)) - 3.4474702; d = square(1.2922392 - (#1 * 0.015317772)),<pysr.expression_specs.CallableJuliaExpression object at 0x717906350fe0>,90
26,3.7983673,g = (sqrt(#2 + 0.1317993) * (((((#4 + 138.37991) - (#1 - #5)) * 0.0013046663) * #3) + 0.7696954)) + -3.4138343; d = square((#1 * -0.015251961) + 1.3014129),4.825641199463328e-05,g = (sqrt(#2 + 0.1317993) * (((((#4 + 138.37991) - (#1 - #5)) * 0.0013046663) * #3) + 0.7696954)) + -3.4138343; d = square((#1 * -0.015251961) + 1.3014129),<pysr.expression_specs.CallableJuliaExpression object at 0x71790d38c500>,17
