,complexity,loss,equation,score,julia_expression,simulation,TRAIN_RMSE,TEST_RMSE,TRAIN_MAE,TEST_MAE,TRAIN_R2,TEST_R2,TRAIN_BFE,TEST_BFE,g_sympy_eq,m_sympy_eq,d_sympy_eq
0,28,3.7956915,g = ((sqrt(#2) + (1.9201866 / #4)) * ((#3 * (((#1 + (#5 * -0.9281309)) * -0.0012096151) + 0.17437275)) + 0.7686859)) + -4.043024; d = square((-0.014601429 * #1) - -1.4483624),0.0003301620004839,g = ((sqrt(#2) + (1.9201866 / #4)) * ((#3 * (((#1 + (#5 * -0.9281309)) * -0.0012096151) + 0.17437275)) + 0.7686859)) + -4.043024; d = square((-0.014601429 * #1) - -1.4483624),18,inf,inf,inf,inf,-inf,-inf,inf,inf,(sqrt(Np) + 1.9201866/Bmag)*(Bzsouth*(0.00112268115141659*By - 0.0012096151*Vp + 0.17437275) + 0.7686859) - 4.043024,,square(1.4483624 - 0.014601429*DST)
1,27,3.7969449,g = ((sqrt(#2) + (1.9201866 / #4)) * ((#3 * (((#1 + inv(-0.3188039)) * -0.0012096151) + 0.17437275)) + 0.7686859)) + -4.043024; d = square(-1.4483624 - (-0.014601429 * #1)),2.3913677104720453e-05,g = ((sqrt(#2) + (1.9201866 / #4)) * ((#3 * (((#1 + inv(-0.3188039)) * -0.0012096151) + 0.17437275)) + 0.7686859)) + -4.043024; d = square(-1.4483624 - (-0.014601429 * #1)),18,inf,inf,inf,inf,-inf,-inf,inf,inf,(sqrt(Np) + 1.9201866/Bmag)*(Bzsouth*(0.178166979305225 - 0.0012096151*Vp) + 0.7686859) - 4.043024,,square(0.014601429*DST - 1.4483624)
2,26,3.7970357,g = (((#3 * (((#1 + -1.4483624) * -0.0012096151) + 0.17437275)) + 0.7686859) * (sqrt(#2) + (1.9201866 / #4))) + -4.043024; d = square(-1.4483624 - (-0.014601429 * #1)),1.5762047390380265e-05,g = (((#3 * (((#1 + -1.4483624) * -0.0012096151) + 0.17437275)) + 0.7686859) * (sqrt(#2) + (1.9201866 / #4))) + -4.043024; d = square(-1.4483624 - (-0.014601429 * #1)),18,inf,inf,inf,inf,-inf,-inf,inf,inf,(sqrt(Np) + 1.9201866/Bmag)*(Bzsouth*(0.176124711029312 - 0.0012096151*Vp) + 0.7686859) - 4.043024,,square(0.014601429*DST - 1.4483624)
3,30,3.7970953,g = ((sqrt(#2) + inv(#4)) * ((((((#1 - #4) - #2) + square(#1 * 0.030088559)) * #3) * -0.0006215895) + 0.81470466)) + -3.9415083; d = square((#1 * -0.014490519) + 1.4380635),0.0001423517203562,g = ((sqrt(#2) + inv(#4)) * ((((((#1 - #4) - #2) + square(#1 * 0.030088559)) * #3) * -0.0006215895) + 0.81470466)) + -3.9415083; d = square((#1 * -0.014490519) + 1.4380635),69,14.623867924528303,16.62415,11.278716981132076,13.19835,0.711622641509434,0.6949000000000001,16.352773584905663,18.9239,(sqrt(Np) + 1/Bmag)*(-0.0006215895*Bzsouth*(-Bmag - Np + Vp + square(0.030088559*Vp)) + 0.81470466) - 3.9415083,,square(1.4380635 - 0.014490519*DST)
4,24,3.7971554,g = ((sqrt(#2) + (1.9201866 / #4)) * ((#3 * ((#1 * -0.0012096151) + 0.17437275)) + 0.7686859)) + -4.043024; d = square(-1.4483624 - (#1 * -0.014601429)),0.0003936646193943,g = ((sqrt(#2) + (1.9201866 / #4)) * ((#3 * ((#1 * -0.0012096151) + 0.17437275)) + 0.7686859)) + -4.043024; d = square(-1.4483624 - (#1 * -0.014601429)),18,inf,inf,inf,inf,-inf,-inf,inf,inf,(sqrt(Np) + 1.9201866/Bmag)*(Bzsouth*(0.17437275 - 0.0012096151*Vp) + 0.7686859) - 4.043024,,square(0.014601429*DST - 1.4483624)
5,28,3.7971964,g = (((((#2 + ((#5 - #1) + (sqrt(square(#5)) + 136.20807))) * #3) * 0.0013046663) + 0.7696954) * sqrt(#2)) + -3.405403; d = square((#1 * -0.015251961) + 1.3014129),0.0001706903232185,g = (((((#2 + ((#5 - #1) + (sqrt(square(#5)) + 136.20807))) * #3) * 0.0013046663) + 0.7696954) * sqrt(#2)) + -3.405403; d = square((#1 * -0.015251961) + 1.3014129),17,inf,inf,inf,inf,-inf,-inf,inf,inf,sqrt(Np)*(0.0013046663*Bzsouth*(By + Np - Vp + sqrt(square(By)) + 136.20807) + 0.7696954) - 3.405403,,square(1.3014129 - 0.015251961*DST)
6,30,3.7975676,g = ((((#1 + ((-111.7443 - ((#4 + #5) + #2)) - #4)) + #3) * (#3 * -0.0012641952)) - -0.7836429) * sqrt(#2); d = square((#1 / -69.529686) + 1.5093378) + -4.0827003,7.01189171112892e-05,g = ((((#1 + ((-111.7443 - ((#4 + #5) + #2)) - #4)) + #3) * (#3 * -0.0012641952)) - -0.7836429) * sqrt(#2); d = square((#1 / -69.529686) + 1.5093378) + -4.0827003,30,inf,inf,inf,inf,-inf,-inf,inf,inf,sqrt(Np)*(-0.0012641952*Bzsouth*(-2*Bmag - By + Bzsouth - Np + Vp - 111.7443) + 0.7836429),,square(1.5093378 - 0.014382345980967*DST) - 4.0827003
7,30,3.797657,g = ((((((neg((#5 + sqrt(#2)) + (#4 + #2)) + #1) + -145.14996) * -0.0014113626) * #3) + 0.8179405) * sqrt(#2)) + -5.2735224; d = square((#1 / 75.643486) + -1.8242885),1.7817956127891454e-06,g = ((((((neg((#5 + sqrt(#2)) + (#4 + #2)) + #1) + -145.14996) * -0.0014113626) * #3) + 0.8179405) * sqrt(#2)) + -5.2735224; d = square((#1 / 75.643486) + -1.8242885),33,inf,inf,inf,inf,-inf,-inf,inf,inf,sqrt(Np)*(Bzsouth*(-0.0014113626*Vp - 0.0014113626*neg(Bmag + By + sqrt(Np) + Np) + 0.204859224935496) + 0.8179405) - 5.2735224,,square(0.0132199089819843*DST - 1.8242885)
8,27,3.7976773,g = (sqrt(#2) * ((((neg(#5 + (#4 + #2)) + (#1 + -150.4235)) * -0.0014113626) * #3) + 0.8179405)) + -5.301459; d = square((#1 / 75.643486) + -1.8242885),4.318335815152191e-05,g = (sqrt(#2) * ((((neg(#5 + (#4 + #2)) + (#1 + -150.4235)) * -0.0014113626) * #3) + 0.8179405)) + -5.301459; d = square((#1 / 75.643486) + -1.8242885),33,inf,inf,inf,inf,-inf,-inf,inf,inf,sqrt(Np)*(Bzsouth*(-0.0014113626*Vp - 0.0014113626*neg(Bmag + By + Np) + 0.2123021020611) + 0.8179405) - 5.301459,,square(0.0132199089819843*DST - 1.8242885)
9,26,3.7978413,g = (sqrt(#2) * ((((-145.14996 + (#1 - (#2 + (#4 + #5)))) * #3) * -0.0014113626) + 0.8179405)) + -5.2735224; d = square(-1.8242885 + (#1 / 75.643486)),0.0002345004698583,g = (sqrt(#2) * ((((-145.14996 + (#1 - (#2 + (#4 + #5)))) * #3) * -0.0014113626) + 0.8179405)) + -5.2735224; d = square(-1.8242885 + (#1 / 75.643486)),33,inf,inf,inf,inf,-inf,-inf,inf,inf,sqrt(Np)*(-0.0014113626*Bzsouth*(-Bmag - By - Np + Vp - 145.14996) + 0.8179405) - 5.2735224,,square(0.0132199089819843*DST - 1.8242885)
