,complexity,loss,equation,score,julia_expression,simulation,TRAIN_RMSE,TEST_RMSE,TRAIN_MAE,TEST_MAE,TRAIN_R2,TEST_R2,TRAIN_BFE,TEST_BFE,g_sympy_eq,m_sympy_eq,d_sympy_eq
0,30,3.796734,g = ((sqrt(#2) + sqrt(inv(#4))) * ((#3 * (((#1 * -0.0010458723) + 0.17056073) * 1.1590048)) + 0.736125)) + -3.9654624; d = square(((#1 - (#1 * -0.02143039)) * -0.0143023105) + 1.4259425),1.164131353841322e-05,g = ((sqrt(#2) + sqrt(inv(#4))) * ((#3 * (((#1 * -0.0010458723) + 0.17056073) * 1.1590048)) + 0.736125)) + -3.9654624; d = square(((#1 - (#1 * -0.02143039)) * -0.0143023105) + 1.4259425),22,14.454716981132075,16.479049999999997,11.056622641509433,13.0846,0.7179622641509434,0.7005,16.262509433962265,18.966949999999997,(sqrt(Np) + sqrt(1/Bmag))*(Bzsouth*(0.197680704761504 - 0.00121217101588704*Vp) + 0.736125) - 3.9654624,,square(1.4259425 - 0.0146088145919161*DST)
1,26,3.7969108,g = (((((#1 * -0.001041162) + 0.17056082) * (#3 * 1.1590048)) + 0.73612493) * (inv(sqrt(#4)) + sqrt(#2))) + -3.9654624; d = square((#1 * -0.014768725) + 1.4259425),0.0002102846552111,g = (((((#1 * -0.001041162) + 0.17056082) * (#3 * 1.1590048)) + 0.73612493) * (inv(sqrt(#4)) + sqrt(#2))) + -3.9654624; d = square((#1 * -0.014768725) + 1.4259425),22,14.379999999999999,16.318399999999997,11.0258679245283,12.93895,0.7236226415094339,0.704,16.223377358490566,18.928400000000003,(sqrt(Np) + 1/sqrt(Bmag))*(1.1590048*Bzsouth*(0.17056082 - 0.001041162*Vp) + 0.73612493) - 3.9654624,,square(1.4259425 - 0.014768725*DST)
2,29,3.796967,g = (((#3 + 0.5108077) * ((#1 * -0.0011478665) + 0.13254751)) - -0.97982854) * sqrt((#2 - inv(#4 * -0.099302545)) - 0.7244963); d = square((#1 * -0.015342398) + 1.3217491) + -3.6365178,0.0001514400602422,g = (((#3 + 0.5108077) * ((#1 * -0.0011478665) + 0.13254751)) - -0.97982854) * sqrt((#2 - inv(#4 * -0.099302545)) - 0.7244963); d = square((#1 * -0.015342398) + 1.3217491) + -3.6365178,2,14.331849056603772,100013.21215,10.972660377358487,100010.26199999999,0.7172452830188681,-99999.22955,15.853603773584902,100014.60955,((0.13254751 - 0.0011478665*Vp)*(Bzsouth + 0.5108077) + 0.97982854)*sqrt(Np - 0.7244963 + 10.0702353600303/Bmag),,square(1.3217491 - 0.015342398*DST) - 3.6365178
3,29,3.7969725,g = (((#3 * (((#1 + -5.7644315) * -0.0011501953) - -0.14661376)) + 0.8522152) * (sqrt(#2) + (2.2639873 / #4))) + -2.2858694; d = (((#1 * 0.00018316145) + -0.04700624) * #1) + -0.030286638,8.73056378019557e-06,g = (((#3 * (((#1 + -5.7644315) * -0.0011501953) - -0.14661376)) + 0.8522152) * (sqrt(#2) + (2.2639873 / #4))) + -2.2858694; d = (((#1 * 0.00018316145) + -0.04700624) * #1) + -0.030286638,15,14.554999999999998,17.1304,11.159132075471696,13.712799999999998,0.7142264150943397,0.6771,16.428207547169816,19.1946,(sqrt(Np) + 2.2639873/Bmag)*(Bzsouth*(0.153243982018472 - 0.0011501953*Vp) + 0.8522152) - 2.2858694,,DST*(0.00018316145*DST - 0.04700624) - 0.030286638
4,27,3.7970388,g = (((#3 * (((#1 + -5.7644315) * -0.0011501953) - -0.14661376)) + 0.8522152) * (sqrt(#2) + (2.2639873 / #4))) + -2.2858694; d = #1 * ((#1 * 0.00018316145) + -0.046823077),0.0001331738637318,g = (((#3 * (((#1 + -5.7644315) * -0.0011501953) - -0.14661376)) + 0.8522152) * (sqrt(#2) + (2.2639873 / #4))) + -2.2858694; d = #1 * ((#1 * 0.00018316145) + -0.046823077),15,14.557264150943396,17.00985,11.17377358490566,13.578349999999997,0.7151132075471699,0.6825499999999999,16.428830188679246,19.191,(sqrt(Np) + 2.2639873/Bmag)*(Bzsouth*(0.153243982018472 - 0.0011501953*Vp) + 0.8522152) - 2.2858694,,DST*(0.00018316145*DST - 0.046823077)
5,26,3.7975445,g = (((#3 * ((#1 * -0.0011501953) - -0.14661376)) + 0.8522152) * (sqrt(#2) + (2.2639873 / #4))) + -2.2858694; d = #1 * ((#1 * neg(-0.00018316145)) + -0.04700624),1.3166401791850457e-07,g = (((#3 * ((#1 * -0.0011501953) - -0.14661376)) + 0.8522152) * (sqrt(#2) + (2.2639873 / #4))) + -2.2858694; d = #1 * ((#1 * neg(-0.00018316145)) + -0.04700624),15,14.666509433962265,17.05285,11.245000000000001,13.624650000000003,0.7090377358490566,0.6826499999999999,16.476584905660378,19.060150000000004,(sqrt(Np) + 2.2639873/Bmag)*(Bzsouth*(0.14661376 - 0.0011501953*Vp) + 0.8522152) - 2.2858694,,DST*(DST*neg(-0.00018316145) - 0.04700624)
6,25,3.797545,g = ((sqrt(#2) + (2.2639873 / #4)) * ((#3 * ((#1 * -0.0011501824) - -0.14661376)) + 0.8522152)) + -2.2858694; d = ((#1 * 0.00018312313) + -0.047006235) * #1,0.0005247803507719,g = ((sqrt(#2) + (2.2639873 / #4)) * ((#3 * ((#1 * -0.0011501824) - -0.14661376)) + 0.8522152)) + -2.2858694; d = ((#1 * 0.00018312313) + -0.047006235) * #1,15,14.666622641509434,17.053500000000003,11.244981132075475,13.625200000000001,0.7090188679245284,0.6826499999999999,16.47690566037736,19.061,(sqrt(Np) + 2.2639873/Bmag)*(Bzsouth*(0.14661376 - 0.0011501824*Vp) + 0.8522152) - 2.2858694,,DST*(0.00018312313*DST - 0.047006235)
7,27,3.7981172,g = (((#3 + 0.47475132) * ((#1 * -0.0011478665) + 0.13254751)) - -0.97982854) * sqrt(#2 - inv(#4 * -0.20198914)); d = square((#1 * -0.015342398) + 1.3205391) + -3.6365178,0.0005248855166127,g = (((#3 + 0.47475132) * ((#1 * -0.0011478665) + 0.13254751)) - -0.97982854) * sqrt(#2 - inv(#4 * -0.20198914)); d = square((#1 * -0.015342398) + 1.3205391) + -3.6365178,2,14.42777358490566,15.541599999999997,11.031188679245284,12.219549999999998,0.7152830188679246,0.7313000000000001,15.974132075471699,17.657899999999994,sqrt(Np + 4.95076121419201/Bmag)*((0.13254751 - 0.0011478665*Vp)*(Bzsouth + 0.47475132) + 0.97982854),,square(1.3205391 - 0.015342398*DST) - 3.6365178
8,24,3.798508,g = ((sqrt(#2) + inv(sqrt(#4))) * ((#3 * ((#1 * -0.0011189826) + 0.14143619)) + 0.75407493)) + -3.9657536; d = square((#1 * -0.015199016) + 1.3950073),0.0004090243352803,g = ((sqrt(#2) + inv(sqrt(#4))) * ((#3 * ((#1 * -0.0011189826) + 0.14143619)) + 0.75407493)) + -3.9657536; d = square((#1 * -0.015199016) + 1.3950073),22,14.655641509433961,16.44875,11.230716981132076,13.188899999999999,0.7072452830188679,0.69285,16.364867924528305,18.073649999999997,(sqrt(Np) + 1/sqrt(Bmag))*(Bzsouth*(0.14143619 - 0.0011189826*Vp) + 0.75407493) - 3.9657536,,square(1.3950073 - 0.015199016*DST)
9,24,3.7995384,g = ((inv(#4) + sqrt(#2)) * ((((#1 * -0.0011641326) - -0.14661422) * #3) + 0.8522151)) + -2.1683755; d = ((#1 * 0.00017253582) + -0.047928683) * #1,0.0006946325695,g = ((inv(#4) + sqrt(#2)) * ((((#1 * -0.0011641326) - -0.14661422) * #3) + 0.8522151)) + -2.1683755; d = ((#1 * 0.00017253582) + -0.047928683) * #1,15,14.569886792452829,17.382200000000005,11.146792452830189,13.86915,0.7152075471698114,0.6736500000000001,16.562849056603774,19.6625,(sqrt(Np) + 1/Bmag)*(Bzsouth*(0.14661422 - 0.0011641326*Vp) + 0.8522151) - 2.1683755,,DST*(0.00017253582*DST - 0.047928683)
