complexity,loss,equation,score,julia_expression,lambda_format,simulation
30,3.7016556,g = (-5.13706 - ((0.94765717 + #8) * #3)) / sqrt(#2 + sqrt(square((-0.57934487 + #5) / square(#4 * inv(#2))) + #4)); d = square((#1 * 0.014921757) - 1.3702635),0.0001572562423729,g = (-5.13706 - ((0.94765717 + #8) * #3)) / sqrt(#2 + sqrt(square((-0.57934487 + #5) / square(#4 * inv(#2))) + #4)); d = square((#1 * 0.014921757) - 1.3702635),<pysr.expression_specs.CallableJuliaExpression object at 0x7222a099fa40>,42
30,3.7019148,g = (sqrt(#1 * (sqrt(inv(square(#5 - 0.55788904) + 0.21744435)) + #8)) * (#3 * -0.028971937)) - (3.3154938 - sqrt(#2 / 1.9135014)); d = square((#1 * 0.014881362) + -1.3358965),0.0002737397653513,g = (sqrt(#1 * (sqrt(inv(square(#5 - 0.55788904) + 0.21744435)) + #8)) * (#3 * -0.028971937)) - (3.3154938 - sqrt(#2 / 1.9135014)); d = square((#1 * 0.014881362) + -1.3358965),<pysr.expression_specs.CallableJuliaExpression object at 0x7222a095a150>,14
30,3.7021527,g = ((1.2649426 - ((#7 + #1) * 0.000885081)) * (sqrt((#2 / sqrt(sqrt(square(#5) + #8))) + #8) + inv(#4))) + -5.2281227; d = square((#1 * -0.01363771) + 1.7613776),8.416370493809335e-05,g = ((1.2649426 - ((#7 + #1) * 0.000885081)) * (sqrt((#2 / sqrt(sqrt(square(#5) + #8))) + #8) + inv(#4))) + -5.2281227; d = square((#1 * -0.01363771) + 1.7613776),<pysr.expression_specs.CallableJuliaExpression object at 0x7222a09582c0>,6
30,3.7023044,g = ((sqrt(((#8 - -0.41271728) * (#1 - #5)) - square(#4 / -1.3980292)) * #3) * -0.0301694) - (3.9923656 - sqrt(#2 * 0.5439383)); d = square((#1 * -0.014229389) + 1.5259565),1.747529710278534e-05,g = ((sqrt(((#8 - -0.41271728) * (#1 - #5)) - square(#4 / -1.3980292)) * #3) * -0.0301694) - (3.9923656 - sqrt(#2 * 0.5439383)); d = square((#1 * -0.014229389) + 1.5259565),<pysr.expression_specs.CallableJuliaExpression object at 0x7222a6c6dc40>,1
28,3.702307,g = inv((-0.8575625 - sqrt(#2)) / ((#3 * (#8 + (0.8447218 / (square((#5 / #2) / -2.8126411) + 0.64710796)))) - -5.0403867)); d = square((#1 * -0.014991912) + 1.330772),0.000450158460947,g = inv((-0.8575625 - sqrt(#2)) / ((#3 * (#8 + (0.8447218 / (square((#5 / #2) / -2.8126411) + 0.64710796)))) - -5.0403867)); d = square((#1 * -0.014991912) + 1.330772),<pysr.expression_specs.CallableJuliaExpression object at 0x7222a0959e20>,13
28,3.7024338,g = ((#3 * -0.0301694) * sqrt(((#8 - -0.41271728) * #1) - square(#4 / 1.3787377))) - (3.9984286 - sqrt(#2 * 0.54382604)); d = square((#1 * -0.014229389) + 1.5259565),0.0009665183248522,g = ((#3 * -0.0301694) * sqrt(((#8 - -0.41271728) * #1) - square(#4 / 1.3787377))) - (3.9984286 - sqrt(#2 * 0.54382604)); d = square((#1 * -0.014229389) + 1.5259565),<pysr.expression_specs.CallableJuliaExpression object at 0x7222a751e720>,1
29,3.7024643,g = (sqrt((#2 / sqrt(sqrt(square(#5) + #8))) + (#8 + 0.7088096)) * (1.2649426 - ((#7 + #1) * 0.000885081))) + -5.2281227; d = square(1.7613776 + (#1 * -0.01363771)),0.000134405916938,g = (sqrt((#2 / sqrt(sqrt(square(#5) + #8))) + (#8 + 0.7088096)) * (1.2649426 - ((#7 + #1) * 0.000885081))) + -5.2281227; d = square(1.7613776 + (#1 * -0.01363771)),<pysr.expression_specs.CallableJuliaExpression object at 0x7222a0958200>,6
28,3.70282,g = (-5.13706 - ((#8 + 0.94765717) * #3)) / sqrt(#2 + sqrt(square(#5 / square(#4 * inv(#2))) + #4)); d = square((0.014921757 * #1) - 1.3702635),0.0002498956817555,g = (-5.13706 - ((#8 + 0.94765717) * #3)) / sqrt(#2 + sqrt(square(#5 / square(#4 * inv(#2))) + #4)); d = square((0.014921757 * #1) - 1.3702635),<pysr.expression_specs.CallableJuliaExpression object at 0x7222a099c1a0>,42
29,3.7029283,g = ((#3 * -0.029665278) * sqrt((inv(square(0.5103702 - #5) + 0.5103702) + #8) * #1)) - (3.318946 - sqrt(#2 / 1.9126495)); d = square((#1 * 0.015209344) + -1.3223517),1.3340704027454123e-05,g = ((#3 * -0.029665278) * sqrt((inv(square(0.5103702 - #5) + 0.5103702) + #8) * #1)) - (3.318946 - sqrt(#2 / 1.9126495)); d = square((#1 * 0.015209344) + -1.3223517),<pysr.expression_specs.CallableJuliaExpression object at 0x7222a095a240>,14
28,3.7029777,g = ((sqrt(#1 * (#8 + sqrt(inv(square(#5) + 0.34037206)))) * #3) * -0.028971937) - (3.3154938 - sqrt(#2 / 1.9135014)); d = square((0.014881362 * #1) + -1.3358965),0.0003922829577604,g = ((sqrt(#1 * (#8 + sqrt(inv(square(#5) + 0.34037206)))) * #3) * -0.028971937) - (3.3154938 - sqrt(#2 / 1.9135014)); d = square((0.014881362 * #1) + -1.3358965),<pysr.expression_specs.CallableJuliaExpression object at 0x7222a09586e0>,14
