complexity,loss,equation,score,julia_expression,lambda_format,simulation
30,3.7130654,g = ((((#2 + (#3 + sqrt(#1))) * -0.0011821885) - -1.1557578) * sqrt((#3 + (sqrt(#1 + 1.3663254) * -0.002946719)) - -1.1557578)) - 3.7324123; d = square(-1.3831019 - (#1 * -0.014478314)),8.079576938586636e-08,g = ((((#2 + (#3 + sqrt(#1))) * -0.0011821885) - -1.1557578) * sqrt((#3 + (sqrt(#1 + 1.3663254) * -0.002946719)) - -1.1557578)) - 3.7324123; d = square(-1.3831019 - (#1 * -0.014478314)),<pysr.expression_specs.CallableJuliaExpression object at 0x7c1ac15ac890>,4
28,3.713066,g = (((((#2 + #3) + sqrt(#1)) * -0.0011821885) - -1.1557578) * sqrt((#3 + (sqrt(#1) * -0.002946719)) - -1.1557578)) - 3.7324123; d = square(-1.3831019 - (#1 * -0.014478314)),1.0826515008230307e-05,g = (((((#2 + #3) + sqrt(#1)) * -0.0011821885) - -1.1557578) * sqrt((#3 + (sqrt(#1) * -0.002946719)) - -1.1557578)) - 3.7324123; d = square(-1.3831019 - (#1 * -0.014478314)),<pysr.expression_specs.CallableJuliaExpression object at 0x7c1ac15add30>,4
26,3.7131464,g = ((((#2 + sqrt(#1)) * -0.0011821885) - -1.1557578) * sqrt(((sqrt(#1) * -0.002946719) - -1.1557578) + #3)) - 3.7324123; d = square(-1.3831019 - (#1 * -0.014478314)),0.000919013450244,g = ((((#2 + sqrt(#1)) * -0.0011821885) - -1.1557578) * sqrt(((sqrt(#1) * -0.002946719) - -1.1557578) + #3)) - 3.7324123; d = square(-1.3831019 - (#1 * -0.014478314)),<pysr.expression_specs.CallableJuliaExpression object at 0x7c1ac15ae1e0>,4
29,3.714229,g = (((#2 + sqrt(#1)) * -0.001080637) - -0.9630775) * (sqrt((sqrt(#1) * -0.0023983226) + (#3 + 0.6735196)) - -0.28250542); d = (((#1 * 0.00024411513) - 0.035237297) * #1) - 1.5577657,0.0006169767466727,g = (((#2 + sqrt(#1)) * -0.001080637) - -0.9630775) * (sqrt((sqrt(#1) * -0.0023983226) + (#3 + 0.6735196)) - -0.28250542); d = (((#1 * 0.00024411513) - 0.035237297) * #1) - 1.5577657,<pysr.expression_specs.CallableJuliaExpression object at 0x7c1aae991b80>,34
30,3.7150693,g = sqrt((#3 + (1.126565 - (sqrt(#1 + 0.43583524) * 0.0032554145))) / 0.9175601) * (((#2 + sqrt(#1)) * -0.0011627435) - -0.855465); d = square(-1.0802759 - (#1 * -0.01589189)) + -2.4556668,1.8842175245396722e-07,g = sqrt((#3 + (1.126565 - (sqrt(#1 + 0.43583524) * 0.0032554145))) / 0.9175601) * (((#2 + sqrt(#1)) * -0.0011627435) - -0.855465); d = square(-1.0802759 - (#1 * -0.01589189)) + -2.4556668,<pysr.expression_specs.CallableJuliaExpression object at 0x7c1aae990a40>,26
28,3.7150707,g = sqrt((#3 + (1.126565 - (sqrt(#1) * 0.0032554145))) / 0.9175601) * (((#2 + sqrt(#1)) * -0.0011627435) - -0.855465); d = square(-1.0802759 - (#1 * -0.01589189)) + -2.4556668,0.0001004321465535,g = sqrt((#3 + (1.126565 - (sqrt(#1) * 0.0032554145))) / 0.9175601) * (((#2 + sqrt(#1)) * -0.0011627435) - -0.855465); d = square(-1.0802759 - (#1 * -0.01589189)) + -2.4556668,<pysr.expression_specs.CallableJuliaExpression object at 0x7c1aae9917f0>,26
30,3.7155159,g = ((#1 * 1.5020196e-5) + -2.918158) + (((1.16498 - ((#2 + inv(#3)) * 0.0010834833)) - sqrt(#1 * 1.5020196e-5)) * sqrt(#3 - -0.96348804)); d = square((#1 * 0.015681522) + -1.1428164),2.987467613670842e-06,g = ((#1 * 1.5020196e-5) + -2.918158) + (((1.16498 - ((#2 + inv(#3)) * 0.0010834833)) - sqrt(#1 * 1.5020196e-5)) * sqrt(#3 - -0.96348804)); d = square((#1 * 0.015681522) + -1.1428164),<pysr.expression_specs.CallableJuliaExpression object at 0x7c1aae9ed1c0>,46
29,3.715527,g = ((#1 * 1.5020196e-5) + -2.918158) + (((1.16498 - ((#2 + #3) * 0.0010834833)) - sqrt(#1 * 1.5020196e-5)) * sqrt(#3 - -0.96348804)); d = square((#1 * 0.015681522) + -1.1428164),8.074218214093852e-07,g = ((#1 * 1.5020196e-5) + -2.918158) + (((1.16498 - ((#2 + #3) * 0.0010834833)) - sqrt(#1 * 1.5020196e-5)) * sqrt(#3 - -0.96348804)); d = square((#1 * 0.015681522) + -1.1428164),<pysr.expression_specs.CallableJuliaExpression object at 0x7c1aae9ec980>,46
27,3.715533,g = (#1 * 1.5020196e-5) + ((((1.16498 - (#2 * 0.0010834833)) - sqrt(#1 * 1.5020196e-5)) * sqrt(#3 - -0.96348804)) + -2.918158); d = square((#1 * 0.015681522) + -1.1428164),0.0013487483427111,g = (#1 * 1.5020196e-5) + ((((1.16498 - (#2 * 0.0010834833)) - sqrt(#1 * 1.5020196e-5)) * sqrt(#3 - -0.96348804)) + -2.918158); d = square((#1 * 0.015681522) + -1.1428164),<pysr.expression_specs.CallableJuliaExpression object at 0x7c1aae9ec2c0>,46
26,3.715817,g = (((#2 + sqrt(#1)) * -0.0011627435) - -0.855465) * sqrt((#3 + 1.3002748) - (sqrt(#1) * 0.0028226033)); d = square((#1 * -0.016046017) - -1.0802759) + -2.4556668,8.982816104896404e-05,g = (((#2 + sqrt(#1)) * -0.0011627435) - -0.855465) * sqrt((#3 + 1.3002748) - (sqrt(#1) * 0.0028226033)); d = square((#1 * -0.016046017) - -1.0802759) + -2.4556668,<pysr.expression_specs.CallableJuliaExpression object at 0x7c1aae9922d0>,26
25,3.7161508,g = ((#2 * -0.0011627435) - -0.869895) * sqrt(((#3 + 1.1614826) - (sqrt(#1) * 0.0032554145)) * 1.1620725); d = square((#1 * -0.016046017) - -1.0212355) + -2.4390981,0.0003743736746256,g = ((#2 * -0.0011627435) - -0.869895) * sqrt(((#3 + 1.1614826) - (sqrt(#1) * 0.0032554145)) * 1.1620725); d = square((#1 * -0.016046017) - -1.0212355) + -2.4390981,<pysr.expression_specs.CallableJuliaExpression object at 0x7c1aae9918e0>,26
28,3.7165213,g = (((#2 + #3) * -0.001080637) - -0.87660086) * (sqrt(#3 + (0.6651201 + (sqrt(#1) * -0.0023983226))) - -0.3813305); d = (((#1 * 0.00024019553) - 0.035554796) * #1) - 1.5425733,1.3238010688259616e-05,g = (((#2 + #3) * -0.001080637) - -0.87660086) * (sqrt(#3 + (0.6651201 + (sqrt(#1) * -0.0023983226))) - -0.3813305); d = (((#1 * 0.00024019553) - 0.035554796) * #1) - 1.5425733,<pysr.expression_specs.CallableJuliaExpression object at 0x7c1aae993f20>,34
25,3.7165604,g = ((((#2 * -0.0011821885) - -0.9524719) * sqrt((sqrt(#1) * -0.002946719) + (#3 - -1.4522929))) - 3.4062774) * 1.0046808; d = square((#1 * -0.014478314) - -1.3408427),1.7704228638017544e-05,g = ((((#2 * -0.0011821885) - -0.9524719) * sqrt((sqrt(#1) * -0.002946719) + (#3 - -1.4522929))) - 3.4062774) * 1.0046808; d = square((#1 * -0.014478314) - -1.3408427),<pysr.expression_specs.CallableJuliaExpression object at 0x7c1ac15ae510>,4
26,3.7166197,g = (sqrt(#3 + (0.6651201 + (sqrt(#1) * -0.0023983226))) - -0.3813305) * ((#2 * -0.001080637) - -0.87660086); d = (((#1 * 0.00024019553) - 0.035554796) * #1) - 1.5425733,0.0012459208867065,g = (sqrt(#3 + (0.6651201 + (sqrt(#1) * -0.0023983226))) - -0.3813305) * ((#2 * -0.001080637) - -0.87660086); d = (((#1 * 0.00024019553) - 0.035554796) * #1) - 1.5425733,<pysr.expression_specs.CallableJuliaExpression object at 0x7c1aae992420>,34
