complexity,loss,equation,score,sympy_format,lambda_format,simulation
30,3.6940215,(sqrt(P_dyn) + 0.43134838) * ((DST * -0.022550195) + (((VBs + (((DST + 54.35826) * -0.27030826) * (P_dyn - sqrt(epsilon / (square(P_dyn) + 0.82585424))))) * -0.0011067318) - -0.33127904)),0.0002175982298867,(sqrt(P_dyn) + 0.43134838) * ((DST * -0.022550195) + (((VBs + (((DST + 54.35826) * -0.27030826) * (P_dyn - sqrt(epsilon / (square(P_dyn) + 0.82585424))))) * -0.0011067318) - -0.33127904)),PySRFunction(X=>(sqrt(P_dyn) + 0.43134838) * ((DST * -0.022550195) + (((VBs + (((DST + 54.35826) * -0.27030826) * (P_dyn - sqrt(epsilon / (square(P_dyn) + 0.82585424))))) * -0.0011067318) - -0.33127904))),95
29,3.6948254,(((DST * -0.022550292) + (-0.0011103104 * (VBs + ((DST + 54.35826) * (-0.2911826 * (P_dyn - (sqrt(epsilon) / (0.5425177 + P_dyn)))))))) - -0.3289685) * (0.43134838 + sqrt(P_dyn)),0.0004105544603926,(((DST * -0.022550292) + (-0.0011103104 * (VBs + ((DST + 54.35826) * (-0.2911826 * (P_dyn - (sqrt(epsilon) / (0.5425177 + P_dyn)))))))) - -0.3289685) * (0.43134838 + sqrt(P_dyn)),PySRFunction(X=>(((DST * -0.022550292) + (-0.0011103104 * (VBs + ((DST + 54.35826) * (-0.2911826 * (P_dyn - (sqrt(epsilon) / (0.5425177 + P_dyn)))))))) - -0.3289685) * (0.43134838 + sqrt(P_dyn))),95
30,3.6950276,(((sqrt(P_dyn * epsilon) + VBs) * -0.0008141907) * (square(1.2845706 - (DST * -0.0060634664)) + sqrt(P_dyn))) + ((square((DST * 0.012802151) + -1.4819968) + sqrt(P_dyn)) + -3.1850302),0.0001419003178739,(((sqrt(P_dyn * epsilon) + VBs) * -0.0008141907) * (square(1.2845706 - (DST * -0.0060634664)) + sqrt(P_dyn))) + ((square((DST * 0.012802151) + -1.4819968) + sqrt(P_dyn)) + -3.1850302),PySRFunction(X=>(((sqrt(P_dyn * epsilon) + VBs) * -0.0008141907) * (square(1.2845706 - (DST * -0.0060634664)) + sqrt(P_dyn))) + ((square((DST * 0.012802151) + -1.4819968) + sqrt(P_dyn)) + -3.1850302)),40
30,3.6952024,((((inv((P_dyn + square(DST * (square(P_dyn * -0.010552548) + -0.012205796))) + 0.59964013) + 0.046674877) * ((P_dyn * (VBs * 0.03343118)) - DST)) + DST) - P_dyn) * -0.08435452,0.0005231903322478,((((inv((P_dyn + square(DST * (square(P_dyn * -0.010552548) + -0.012205796))) + 0.59964013) + 0.046674877) * ((P_dyn * (VBs * 0.03343118)) - DST)) + DST) - P_dyn) * -0.08435452,PySRFunction(X=>((((inv((P_dyn + square(DST * (square(P_dyn * -0.010552548) + -0.012205796))) + 0.59964013) + 0.046674877) * ((P_dyn * (VBs * 0.03343118)) - DST)) + DST) - P_dyn) * -0.08435452),59
30,3.6953852,(P_dyn * 0.26803347) + ((DST + ((VBs + (((P_dyn + (DST * 0.063047886)) - -1.7009901) * sqrt(epsilon / (P_dyn * 0.20120329)))) * 0.04620105)) * (sqrt(sqrt(P_dyn)) * -0.03640972)),0.0008346151374775,(P_dyn * 0.26803347) + ((DST + ((VBs + (((P_dyn + (DST * 0.063047886)) - -1.7009901) * sqrt(epsilon / (P_dyn * 0.20120329)))) * 0.04620105)) * (sqrt(sqrt(P_dyn)) * -0.03640972)),PySRFunction(X=>(P_dyn * 0.26803347) + ((DST + ((VBs + (((P_dyn + (DST * 0.063047886)) - -1.7009901) * sqrt(epsilon / (P_dyn * 0.20120329)))) * 0.04620105)) * (sqrt(sqrt(P_dyn)) * -0.03640972))),19
30,3.6959186,((((VBs + sqrt(P_dyn * epsilon)) * -0.00085943367) * (sqrt(P_dyn) + square(1.1799805 - (DST * -0.0059548244)))) + sqrt(P_dyn)) + (square(-0.99700636 - (DST * -0.015181454)) + -1.88597),6.107716011705339e-05,((((VBs + sqrt(P_dyn * epsilon)) * -0.00085943367) * (sqrt(P_dyn) + square(1.1799805 - (DST * -0.0059548244)))) + sqrt(P_dyn)) + (square(-0.99700636 - (DST * -0.015181454)) + -1.88597),PySRFunction(X=>((((VBs + sqrt(P_dyn * epsilon)) * -0.00085943367) * (sqrt(P_dyn) + square(1.1799805 - (DST * -0.0059548244)))) + sqrt(P_dyn)) + (square(-0.99700636 - (DST * -0.015181454)) + -1.88597)),39
28,3.6960764,square((DST * 0.013156218) + -1.4789201) + (((((VBs + sqrt(epsilon)) * (square((DST * -0.0055807093) - 1.1359183) + sqrt(P_dyn))) * -0.0009350809) + sqrt(P_dyn)) + -3.2266018),0.0006736768474418,square((DST * 0.013156218) + -1.4789201) + (((((VBs + sqrt(epsilon)) * (square((DST * -0.0055807093) - 1.1359183) + sqrt(P_dyn))) * -0.0009350809) + sqrt(P_dyn)) + -3.2266018),PySRFunction(X=>square((DST * 0.013156218) + -1.4789201) + (((((VBs + sqrt(epsilon)) * (square((DST * -0.0055807093) - 1.1359183) + sqrt(P_dyn))) * -0.0009350809) + sqrt(P_dyn)) + -3.2266018)),40
28,3.6963701,(square((DST * -0.015151117) - -0.9993177) + (sqrt(P_dyn) + (((VBs + sqrt(epsilon)) * -0.0009253165) * (sqrt(P_dyn) + square(1.1645098 - (DST * -0.00604662)))))) + -1.8845474,0.0005197533218552,(square((DST * -0.015151117) - -0.9993177) + (sqrt(P_dyn) + (((VBs + sqrt(epsilon)) * -0.0009253165) * (sqrt(P_dyn) + square(1.1645098 - (DST * -0.00604662)))))) + -1.8845474,PySRFunction(X=>(square((DST * -0.015151117) - -0.9993177) + (sqrt(P_dyn) + (((VBs + sqrt(epsilon)) * -0.0009253165) * (sqrt(P_dyn) + square(1.1645098 - (DST * -0.00604662)))))) + -1.8845474),39
30,3.6965513,((((DST * (square(DST * 0.18700844) + VBs)) * -0.00024321703) + square(P_dyn)) / (square(P_dyn) + 18.362875)) + ((VBs + (DST * 18.362875)) * (sqrt(sqrt(P_dyn)) * -0.0022363472)),0.0002579098650023,((((DST * (square(DST * 0.18700844) + VBs)) * -0.00024321703) + square(P_dyn)) / (square(P_dyn) + 18.362875)) + ((VBs + (DST * 18.362875)) * (sqrt(sqrt(P_dyn)) * -0.0022363472)),PySRFunction(X=>((((DST * (square(DST * 0.18700844) + VBs)) * -0.00024321703) + square(P_dyn)) / (square(P_dyn) + 18.362875)) + ((VBs + (DST * 18.362875)) * (sqrt(sqrt(P_dyn)) * -0.0022363472))),2
30,3.696656,(((((VBs + (DST / 0.04849698)) + ((1.9541392 - square((DST * -0.08858878) / (P_dyn + 1.7697924))) * sqrt(epsilon))) * -0.0008453433) - -0.5918484) * (sqrt(P_dyn) + 1.0776718)) - 1.0776718,0.0004938917716767,(((((VBs + (DST / 0.04849698)) + ((1.9541392 - square((DST * -0.08858878) / (P_dyn + 1.7697924))) * sqrt(epsilon))) * -0.0008453433) - -0.5918484) * (sqrt(P_dyn) + 1.0776718)) - 1.0776718,PySRFunction(X=>(((((VBs + (DST / 0.04849698)) + ((1.9541392 - square((DST * -0.08858878) / (P_dyn + 1.7697924))) * sqrt(epsilon))) * -0.0008453433) - -0.5918484) * (sqrt(P_dyn) + 1.0776718)) - 1.0776718),42
29,3.696794,(((DST + ((0.050626647 - ((-0.00062782556 / (P_dyn + 0.97505796)) * DST)) * (VBs + sqrt(P_dyn * epsilon)))) * -0.041014664) * sqrt(sqrt(P_dyn))) + (sqrt(P_dyn) - 1.0040096),0.0009384811598111,(((DST + ((0.050626647 - ((-0.00062782556 / (P_dyn + 0.97505796)) * DST)) * (VBs + sqrt(P_dyn * epsilon)))) * -0.041014664) * sqrt(sqrt(P_dyn))) + (sqrt(P_dyn) - 1.0040096),PySRFunction(X=>(((DST + ((0.050626647 - ((-0.00062782556 / (P_dyn + 0.97505796)) * DST)) * (VBs + sqrt(P_dyn * epsilon)))) * -0.041014664) * sqrt(sqrt(P_dyn))) + (sqrt(P_dyn) - 1.0040096)),38
30,3.697037,((sqrt(sqrt(P_dyn)) * -0.04193335) * ((((sqrt(epsilon * 5.0288587) + VBs) * ((DST * (square(inv(P_dyn + 4.8472314)) * 0.010734328)) + 0.04998866)) + DST) + -32.347824)) + -1.1706393,0.000220141374583,((sqrt(sqrt(P_dyn)) * -0.04193335) * ((((sqrt(epsilon * 5.0288587) + VBs) * ((DST * (square(inv(P_dyn + 4.8472314)) * 0.010734328)) + 0.04998866)) + DST) + -32.347824)) + -1.1706393,PySRFunction(X=>((sqrt(sqrt(P_dyn)) * -0.04193335) * ((((sqrt(epsilon * 5.0288587) + VBs) * ((DST * (square(inv(P_dyn + 4.8472314)) * 0.010734328)) + 0.04998866)) + DST) + -32.347824)) + -1.1706393),74
29,3.6971362,((((inv(P_dyn + (square(DST * -0.011239968) + 0.6090124)) + 0.046828464) * (((VBs * (P_dyn * 0.033447683)) + (-0.6157282 / P_dyn)) - DST)) + DST) - P_dyn) * -0.08419405,6.2219965440723e-05,((((inv(P_dyn + (square(DST * -0.011239968) + 0.6090124)) + 0.046828464) * (((VBs * (P_dyn * 0.033447683)) + (-0.6157282 / P_dyn)) - DST)) + DST) - P_dyn) * -0.08419405,PySRFunction(X=>((((inv(P_dyn + (square(DST * -0.011239968) + 0.6090124)) + 0.046828464) * (((VBs * (P_dyn * 0.033447683)) + (-0.6157282 / P_dyn)) - DST)) + DST) - P_dyn) * -0.08419405),59
29,3.6975048,(((VBs * (DST * -0.0002588673)) + ((square(P_dyn) + -1.956158) * 1.4731334)) / (square(P_dyn) + 17.42441)) + ((((DST * 19.204071) + VBs) * sqrt(sqrt(P_dyn))) * -0.002283608),0.0001116979928902,(((VBs * (DST * -0.0002588673)) + ((square(P_dyn) + -1.956158) * 1.4731334)) / (square(P_dyn) + 17.42441)) + ((((DST * 19.204071) + VBs) * sqrt(sqrt(P_dyn))) * -0.002283608),PySRFunction(X=>(((VBs * (DST * -0.0002588673)) + ((square(P_dyn) + -1.956158) * 1.4731334)) / (square(P_dyn) + 17.42441)) + ((((DST * 19.204071) + VBs) * sqrt(sqrt(P_dyn))) * -0.002283608)),2
27,3.6975963,((DST - P_dyn) + ((inv((P_dyn + square(DST * -0.011234009)) + 0.6090124) + 0.046828464) * ((VBs * (P_dyn * 0.033447683)) + (-1.1537458 - DST)))) * -0.08419405,2.5989181799399046e-05,((DST - P_dyn) + ((inv((P_dyn + square(DST * -0.011234009)) + 0.6090124) + 0.046828464) * ((VBs * (P_dyn * 0.033447683)) + (-1.1537458 - DST)))) * -0.08419405,PySRFunction(X=>((DST - P_dyn) + ((inv((P_dyn + square(DST * -0.011234009)) + 0.6090124) + 0.046828464) * ((VBs * (P_dyn * 0.033447683)) + (-1.1537458 - DST)))) * -0.08419405),59
25,3.6977885,(((((P_dyn * (VBs * 0.033447683)) - DST) * (inv(P_dyn + (square(DST * -0.011160876) + 0.63970757)) + 0.046828464)) + DST) - P_dyn) * -0.08443254,0.0005948531176493,(((((P_dyn * (VBs * 0.033447683)) - DST) * (inv(P_dyn + (square(DST * -0.011160876) + 0.63970757)) + 0.046828464)) + DST) - P_dyn) * -0.08443254,PySRFunction(X=>(((((P_dyn * (VBs * 0.033447683)) - DST) * (inv(P_dyn + (square(DST * -0.011160876) + 0.63970757)) + 0.046828464)) + DST) - P_dyn) * -0.08443254),59
27,3.6978605,(((DST * -0.018891761) - -0.37717193) + ((((((DST + 51.384266) * 0.29336125) / (P_dyn + 0.5324974)) * sqrt(epsilon)) + VBs) * -0.0010556104)) * (sqrt(P_dyn) + 0.53912306),0.0007525580505817,(((DST * -0.018891761) - -0.37717193) + ((((((DST + 51.384266) * 0.29336125) / (P_dyn + 0.5324974)) * sqrt(epsilon)) + VBs) * -0.0010556104)) * (sqrt(P_dyn) + 0.53912306),PySRFunction(X=>(((DST * -0.018891761) - -0.37717193) + ((((((DST + 51.384266) * 0.29336125) / (P_dyn + 0.5324974)) * sqrt(epsilon)) + VBs) * -0.0010556104)) * (sqrt(P_dyn) + 0.53912306)),95
29,3.698032,(sqrt(sqrt(P_dyn)) * (((VBs * -0.002253222) + ((DST * (0.8154189 - ((VBs - (DST * 12.557679)) * (-0.00061917066 / (P_dyn + 1.1836485))))) * -0.04262472)) + 1.299484)) + -1.2278051,0.0005089576684064,(sqrt(sqrt(P_dyn)) * (((VBs * -0.002253222) + ((DST * (0.8154189 - ((VBs - (DST * 12.557679)) * (-0.00061917066 / (P_dyn + 1.1836485))))) * -0.04262472)) + 1.299484)) + -1.2278051,PySRFunction(X=>(sqrt(sqrt(P_dyn)) * (((VBs * -0.002253222) + ((DST * (0.8154189 - ((VBs - (DST * 12.557679)) * (-0.00061917066 / (P_dyn + 1.1836485))))) * -0.04262472)) + 1.299484)) + -1.2278051),94
30,3.6980886,(sqrt(sqrt(P_dyn)) * (((DST + ((VBs + sqrt((epsilon * P_dyn) * 0.44777653)) * (0.051980782 - ((DST * -0.0006914887) / (P_dyn + 1.1352553))))) * -0.042072017) - -1.5509175)) + -1.4755865,5.654112469908512e-05,(sqrt(sqrt(P_dyn)) * (((DST + ((VBs + sqrt((epsilon * P_dyn) * 0.44777653)) * (0.051980782 - ((DST * -0.0006914887) / (P_dyn + 1.1352553))))) * -0.042072017) - -1.5509175)) + -1.4755865,PySRFunction(X=>(sqrt(sqrt(P_dyn)) * (((DST + ((VBs + sqrt((epsilon * P_dyn) * 0.44777653)) * (0.051980782 - ((DST * -0.0006914887) / (P_dyn + 1.1352553))))) * -0.042072017) - -1.5509175)) + -1.4755865),92
29,3.698129,((sqrt(P_dyn + 1.0545179) - -0.7165165) * (((VBs * -0.0010248789) - -0.7097871) - (DST / ((P_dyn + 43.635445) - (sqrt(VBs / (P_dyn + 1.8223592)) * 0.54873925))))) + -1.7069764,0.0002530369214859,((sqrt(P_dyn + 1.0545179) - -0.7165165) * (((VBs * -0.0010248789) - -0.7097871) - (DST / ((P_dyn + 43.635445) - (sqrt(VBs / (P_dyn + 1.8223592)) * 0.54873925))))) + -1.7069764,PySRFunction(X=>((sqrt(P_dyn + 1.0545179) - -0.7165165) * (((VBs * -0.0010248789) - -0.7097871) - (DST / ((P_dyn + 43.635445) - (sqrt(VBs / (P_dyn + 1.8223592)) * 0.54873925))))) + -1.7069764),55
27,3.6982918,((sqrt(P_dyn) + square((DST * -0.0152634885) - -0.9611414)) + ((((sqrt(P_dyn) + square((DST * -0.0057081645) - 1.1239135)) + -0.19632863) * VBs) * -0.0010733735)) + -1.8832484,9.823841002560428e-05,((sqrt(P_dyn) + square((DST * -0.0152634885) - -0.9611414)) + ((((sqrt(P_dyn) + square((DST * -0.0057081645) - 1.1239135)) + -0.19632863) * VBs) * -0.0010733735)) + -1.8832484,PySRFunction(X=>((sqrt(P_dyn) + square((DST * -0.0152634885) - -0.9611414)) + ((((sqrt(P_dyn) + square((DST * -0.0057081645) - 1.1239135)) + -0.19632863) * VBs) * -0.0010733735)) + -1.8832484),39
29,3.6982977,((((((0.051980782 - (DST * (-0.0006914838 / (P_dyn + 1.0976248)))) * (VBs + sqrt(epsilon * sqrt(P_dyn)))) + DST) * -0.042072017) - -1.5524781) * sqrt(sqrt(P_dyn))) + -1.4755865,0.0002023429011244,((((((0.051980782 - (DST * (-0.0006914838 / (P_dyn + 1.0976248)))) * (VBs + sqrt(epsilon * sqrt(P_dyn)))) + DST) * -0.042072017) - -1.5524781) * sqrt(sqrt(P_dyn))) + -1.4755865,PySRFunction(X=>((((((0.051980782 - (DST * (-0.0006914838 / (P_dyn + 1.0976248)))) * (VBs + sqrt(epsilon * sqrt(P_dyn)))) + DST) * -0.042072017) - -1.5524781) * sqrt(sqrt(P_dyn))) + -1.4755865),92
27,3.6983309,((sqrt(sqrt(P_dyn)) * ((DST * 18.363121) + VBs)) * -0.002270657) + ((((DST * (VBs - DST)) * -0.00026056546) + square(P_dyn)) / (square(P_dyn) + 17.623001)),9.039747538942917e-05,((sqrt(sqrt(P_dyn)) * ((DST * 18.363121) + VBs)) * -0.002270657) + ((((DST * (VBs - DST)) * -0.00026056546) + square(P_dyn)) / (square(P_dyn) + 17.623001)),PySRFunction(X=>((sqrt(sqrt(P_dyn)) * ((DST * 18.363121) + VBs)) * -0.002270657) + ((((DST * (VBs - DST)) * -0.00026056546) + square(P_dyn)) / (square(P_dyn) + 17.623001))),2
30,3.6984487,(sqrt(sqrt(P_dyn)) * (((((((DST * ((VBs - (DST / 0.06376797)) * 0.010078182)) / (P_dyn + 1.029143)) + VBs) * 0.06230804) - neg(DST)) * -0.03550722) + 1.1407605)) + -1.1002375,0.0003717474199268,(sqrt(sqrt(P_dyn)) * (((((((DST * ((VBs - (DST / 0.06376797)) * 0.010078182)) / (P_dyn + 1.029143)) + VBs) * 0.06230804) - neg(DST)) * -0.03550722) + 1.1407605)) + -1.1002375,PySRFunction(X=>(sqrt(sqrt(P_dyn)) * (((((((DST * ((VBs - (DST / 0.06376797)) * 0.010078182)) / (P_dyn + 1.029143)) + VBs) * 0.06230804) - neg(DST)) * -0.03550722) + 1.1407605)) + -1.1002375),41
29,3.6985495,(sqrt(sqrt(P_dyn)) * (((DST * -0.034866154) + (((DST * (((VBs * -0.009603665) - (DST / -8.71344)) / (P_dyn + 0.78174037))) - VBs) * 0.0022263615)) + 1.3719481)) - 1.2991899,0.0004492310776049,(sqrt(sqrt(P_dyn)) * (((DST * -0.034866154) + (((DST * (((VBs * -0.009603665) - (DST / -8.71344)) / (P_dyn + 0.78174037))) - VBs) * 0.0022263615)) + 1.3719481)) - 1.2991899,PySRFunction(X=>(sqrt(sqrt(P_dyn)) * (((DST * -0.034866154) + (((DST * (((VBs * -0.009603665) - (DST / -8.71344)) / (P_dyn + 0.78174037))) - VBs) * 0.0022263615)) + 1.3719481)) - 1.2991899),43
27,3.6985672,((((VBs * -0.0009580104) * (square(1.1747755 - ((DST + P_dyn) * -0.0058027445)) + sqrt(P_dyn))) + sqrt(P_dyn)) + -3.2767375) + square((DST * 0.013141886) + -1.4721498),5.0260180966565135e-05,((((VBs * -0.0009580104) * (square(1.1747755 - ((DST + P_dyn) * -0.0058027445)) + sqrt(P_dyn))) + sqrt(P_dyn)) + -3.2767375) + square((DST * 0.013141886) + -1.4721498),PySRFunction(X=>((((VBs * -0.0009580104) * (square(1.1747755 - ((DST + P_dyn) * -0.0058027445)) + sqrt(P_dyn))) + sqrt(P_dyn)) + -3.2767375) + square((DST * 0.013141886) + -1.4721498)),40
28,3.6986651,((sqrt(sqrt(P_dyn)) * (((VBs + sqrt(epsilon)) * (((DST * 0.012628812) * inv(square(P_dyn + 5.0303526))) + 0.054857858)) + (DST + -32.541607))) * -0.04098552) + -1.1938132,0.0005532628015979,((sqrt(sqrt(P_dyn)) * (((VBs + sqrt(epsilon)) * (((DST * 0.012628812) * inv(square(P_dyn + 5.0303526))) + 0.054857858)) + (DST + -32.541607))) * -0.04098552) + -1.1938132,PySRFunction(X=>((sqrt(sqrt(P_dyn)) * (((VBs + sqrt(epsilon)) * (((DST * 0.012628812) * inv(square(P_dyn + 5.0303526))) + 0.054857858)) + (DST + -32.541607))) * -0.04098552) + -1.1938132),74
29,3.698705,(sqrt(sqrt(P_dyn)) * ((((VBs + (DST / 0.061162055)) - (((DST * (VBs - (DST * 9.215048))) / (P_dyn - -1.3642701)) * -0.012943285)) * -0.0022748858) + 1.6076845)) + -1.6076845,0.0007141571355106,(sqrt(sqrt(P_dyn)) * ((((VBs + (DST / 0.061162055)) - (((DST * (VBs - (DST * 9.215048))) / (P_dyn - -1.3642701)) * -0.012943285)) * -0.0022748858) + 1.6076845)) + -1.6076845,PySRFunction(X=>(sqrt(sqrt(P_dyn)) * ((((VBs + (DST / 0.061162055)) - (((DST * (VBs - (DST * 9.215048))) / (P_dyn - -1.3642701)) * -0.012943285)) * -0.0022748858) + 1.6076845)) + -1.6076845),56
29,3.698746,(((sqrt(P_dyn) + 1.8942698) * (((square(P_dyn) + (VBs * (DST * (0.012952514 / (P_dyn + 1.0071168))))) + ((DST + -52.102543) / 0.05557935)) + VBs)) * -0.00083215383) + -2.2942817,0.0002902184195097,(((sqrt(P_dyn) + 1.8942698) * (((square(P_dyn) + (VBs * (DST * (0.012952514 / (P_dyn + 1.0071168))))) + ((DST + -52.102543) / 0.05557935)) + VBs)) * -0.00083215383) + -2.2942817,PySRFunction(X=>(((sqrt(P_dyn) + 1.8942698) * (((square(P_dyn) + (VBs * (DST * (0.012952514 / (P_dyn + 1.0071168))))) + ((DST + -52.102543) / 0.05557935)) + VBs)) * -0.00083215383) + -2.2942817),77
30,3.6987472,((((((DST * -2.9529665e-5) / (P_dyn - -1.1600108)) - 0.0022074562) * (sqrt(epsilon) + (VBs - (DST + DST)))) - ((DST * 0.04454797) - 1.2987098)) * sqrt(sqrt(P_dyn))) + -1.1774963,5.323140735919279e-05,((((((DST * -2.9529665e-5) / (P_dyn - -1.1600108)) - 0.0022074562) * (sqrt(epsilon) + (VBs - (DST + DST)))) - ((DST * 0.04454797) - 1.2987098)) * sqrt(sqrt(P_dyn))) + -1.1774963,PySRFunction(X=>((((((DST * -2.9529665e-5) / (P_dyn - -1.1600108)) - 0.0022074562) * (sqrt(epsilon) + (VBs - (DST + DST)))) - ((DST * 0.04454797) - 1.2987098)) * sqrt(sqrt(P_dyn))) + -1.1774963),97
29,3.6988301,((((((((((DST / 0.1234529) - VBs) * -0.012159103) * (DST / (P_dyn + 1.1670841))) + VBs) * -0.05820437) - DST) * 0.038880255) + 1.4737949) * sqrt(sqrt(P_dyn))) + -1.493437,0.000686630043827,((((((((((DST / 0.1234529) - VBs) * -0.012159103) * (DST / (P_dyn + 1.1670841))) + VBs) * -0.05820437) - DST) * 0.038880255) + 1.4737949) * sqrt(sqrt(P_dyn))) + -1.493437,PySRFunction(X=>((((((((((DST / 0.1234529) - VBs) * -0.012159103) * (DST / (P_dyn + 1.1670841))) + VBs) * -0.05820437) - DST) * 0.038880255) + 1.4737949) * sqrt(sqrt(P_dyn))) + -1.493437),54
25,3.698939,(((((sqrt(P_dyn) + square(1.1875595 - (DST * -0.005801317))) * VBs) * -0.0009581614) + -3.2701502) + sqrt(P_dyn)) + square((DST * 0.01314093) + -1.4721497),0.0018094218826313,(((((sqrt(P_dyn) + square(1.1875595 - (DST * -0.005801317))) * VBs) * -0.0009581614) + -3.2701502) + sqrt(P_dyn)) + square((DST * 0.01314093) + -1.4721497),PySRFunction(X=>(((((sqrt(P_dyn) + square(1.1875595 - (DST * -0.005801317))) * VBs) * -0.0009581614) + -3.2701502) + sqrt(P_dyn)) + square((DST * 0.01314093) + -1.4721497)),40
25,3.6989996,((square(P_dyn) + ((DST * -0.00026275704) * VBs)) / (square(P_dyn) + 17.558695)) + ((VBs + (DST * 18.79863)) * (sqrt(sqrt(P_dyn)) * -0.002276697)),0.0011300453490841,((square(P_dyn) + ((DST * -0.00026275704) * VBs)) / (square(P_dyn) + 17.558695)) + ((VBs + (DST * 18.79863)) * (sqrt(sqrt(P_dyn)) * -0.002276697)),PySRFunction(X=>((square(P_dyn) + ((DST * -0.00026275704) * VBs)) / (square(P_dyn) + 17.558695)) + ((VBs + (DST * 18.79863)) * (sqrt(sqrt(P_dyn)) * -0.002276697))),2
25,3.6990185,(sqrt(P_dyn) + -1.9662898) + (square(-1.0014695 - (DST * -0.015162123)) + (VBs * ((square((DST * -0.0060444134) - 1.16318) + sqrt(P_dyn)) * -0.0009779627))),0.0006201884281875,(sqrt(P_dyn) + -1.9662898) + (square(-1.0014695 - (DST * -0.015162123)) + (VBs * ((square((DST * -0.0060444134) - 1.16318) + sqrt(P_dyn)) * -0.0009779627))),PySRFunction(X=>(sqrt(P_dyn) + -1.9662898) + (square(-1.0014695 - (DST * -0.015162123)) + (VBs * ((square((DST * -0.0060444134) - 1.16318) + sqrt(P_dyn)) * -0.0009779627)))),39
30,3.699043,(sqrt(sqrt(P_dyn)) * (((((sqrt(epsilon) + ((VBs - DST) - DST)) * (0.047489364 - ((DST * -0.00062203384) / (P_dyn + 1.1706204)))) + DST) * -0.04628498) - -1.0991322)) - 1.0007008,0.0001220031603073,(sqrt(sqrt(P_dyn)) * (((((sqrt(epsilon) + ((VBs - DST) - DST)) * (0.047489364 - ((DST * -0.00062203384) / (P_dyn + 1.1706204)))) + DST) * -0.04628498) - -1.0991322)) - 1.0007008,PySRFunction(X=>(sqrt(sqrt(P_dyn)) * (((((sqrt(epsilon) + ((VBs - DST) - DST)) * (0.047489364 - ((DST * -0.00062203384) / (P_dyn + 1.1706204)))) + DST) * -0.04628498) - -1.0991322)) - 1.0007008),51
28,3.6990461,(sqrt(sqrt(P_dyn)) * (((DST + ((0.052905362 - ((DST * -0.0007087027) / (P_dyn + 1.0450381))) * (sqrt(epsilon / 0.35444173) + VBs))) * -0.04131354) - -1.5847017)) + -1.4417584,9.448840678623352e-05,(sqrt(sqrt(P_dyn)) * (((DST + ((0.052905362 - ((DST * -0.0007087027) / (P_dyn + 1.0450381))) * (sqrt(epsilon / 0.35444173) + VBs))) * -0.04131354) - -1.5847017)) + -1.4417584,PySRFunction(X=>(sqrt(sqrt(P_dyn)) * (((DST + ((0.052905362 - ((DST * -0.0007087027) / (P_dyn + 1.0450381))) * (sqrt(epsilon / 0.35444173) + VBs))) * -0.04131354) - -1.5847017)) + -1.4417584),92
