complexity,loss,equation,score,sympy_format,lambda_format,simulation,TEST_RMSE,TEST_MAE,TEST_R2,TEST_CC,TEST_BFE
15,3.8403618,((VBs * -0.0011102495) * sqrt(P_dyn + 1.0975075)) + (0.00036096844 * square(DST + -29.48951)),0.0016437797096806,((VBs * -0.0011102495) * sqrt(P_dyn + 1.0975075)) + (0.00036096844 * square(DST + -29.48951)),PySRFunction(X=>((VBs * -0.0011102495) * sqrt(P_dyn + 1.0975075)) + (0.00036096844 * square(DST + -29.48951))),38,13.774899473106519,10.509527879040988,0.7909031105707391,0.9204090479502998,16.28421575935254
17,3.827359,((sqrt(P_dyn - -0.887826) * VBs) - square(0.6033792 * (DST + -22.420992))) / (DST + -825.26373),0.0013668935809111,((sqrt(P_dyn - -0.887826) * VBs) - square(0.6033792 * (DST + -22.420992))) / (DST + -825.26373),PySRFunction(X=>((sqrt(P_dyn - -0.887826) * VBs) - square(0.6033792 * (DST + -22.420992))) / (DST + -825.26373)),33,13.780943708533798,10.479340899197469,0.7835161831022848,0.9209159910071321,15.938400445545678
15,3.838977,square(0.5820395 + (DST * -0.018421166)) - ((sqrt(P_dyn + 1.1339003) * VBs) * 0.001091036),0.0013711792521735,square(0.5820395 + (DST * -0.018421166)) - ((sqrt(P_dyn + 1.1339003) * VBs) * 0.001091036),PySRFunction(X=>square(0.5820395 + (DST * -0.018421166)) - ((sqrt(P_dyn + 1.1339003) * VBs) * 0.001091036)),57,13.84609717083642,10.551335058226693,0.7896865953784085,0.9200566714192051,16.555310428446425
15,3.838653,square(0.6015629 + (DST * -0.018058024)) + ((VBs * sqrt(1.2741936 + P_dyn)) * -0.0010620623),0.0014131200022544,square(0.6015629 + (DST * -0.018058024)) + ((VBs * sqrt(1.2741936 + P_dyn)) * -0.0010620623),PySRFunction(X=>square(0.6015629 + (DST * -0.018058024)) + ((VBs * sqrt(1.2741936 + P_dyn)) * -0.0010620623)),12,13.885102889581479,10.602292333213928,0.7880674392669628,0.9193937704969702,16.733655805242538
15,3.8388376,square((DST * -0.018321948) - -0.58381456) + ((sqrt(P_dyn + 1.0679743) * -0.0010944842) * VBs),0.0015037254123197,square((DST * -0.018321948) - -0.58381456) + ((sqrt(P_dyn + 1.0679743) * -0.0010944842) * VBs),PySRFunction(X=>square((DST * -0.018321948) - -0.58381456) + ((sqrt(P_dyn + 1.0679743) * -0.0010944842) * VBs)),30,13.889084601920098,10.5678268161378,0.7889577228261747,0.919979940792636,16.670717979126906
15,3.838563,((VBs * sqrt(P_dyn - -1.1281539)) * -0.0010793613) + square((DST / -55.699467) - -0.6014899),0.0027129582168691,((VBs * sqrt(P_dyn - -1.1281539)) * -0.0010793613) + square((DST / -55.699467) - -0.6014899),PySRFunction(X=>((VBs * sqrt(P_dyn - -1.1281539)) * -0.0010793613) + square((DST / -55.699467) - -0.6014899)),6,13.972333301580306,10.6332498058713,0.7871415000810106,0.9194744068181043,16.883282427275823
15,3.8385534,square(0.60870767 - (0.01788384 * DST)) + (VBs * (sqrt(P_dyn + 1.1998043) * -0.0010707048)),0.001426379221385,square(0.60870767 - (0.01788384 * DST)) + (VBs * (sqrt(P_dyn + 1.1998043) * -0.0010707048)),PySRFunction(X=>square(0.60870767 - (0.01788384 * DST)) + (VBs * (sqrt(P_dyn + 1.1998043) * -0.0010707048))),32,13.976834825816614,10.652809767416159,0.786671326943634,0.9192590206811648,16.892263180006477
20,3.8177695,(VBs * (sqrt(P_dyn + square((DST * -0.008792949) + -1.9299145)) * -0.0009785303)) + square((DST * 0.01791331) + -0.60905385),0.0007334578068618,(VBs * (sqrt(P_dyn + square((DST * -0.008792949) + -1.9299145)) * -0.0009785303)) + square((DST * 0.01791331) + -0.60905385),PySRFunction(X=>(VBs * (sqrt(P_dyn + square((DST * -0.008792949) + -1.9299145)) * -0.0009785303)) + square((DST * 0.01791331) + -0.60905385)),26,14.000656876315428,10.740074047184104,0.7781072748548515,0.9173636198662187,15.989187254602081
15,3.8385596,square(-0.6046277 + (DST * 0.01791331)) + (-0.0010811 * (sqrt(P_dyn + 1.1075982) * VBs)),0.0014261950801791,square(-0.6046277 + (DST * 0.01791331)) + (-0.0010811 * (sqrt(P_dyn + 1.1075982) * VBs)),PySRFunction(X=>square(-0.6046277 + (DST * 0.01791331)) + (-0.0010811 * (sqrt(P_dyn + 1.1075982) * VBs))),26,14.001236777068268,10.65411159313043,0.7864330385837676,0.9193606028664378,16.93736607698896
15,3.8386395,square((DST * -0.017958783) + 0.60522336) + ((VBs * sqrt(P_dyn + 1.0878093)) * -0.0010902307),0.0014168397156842,square((DST * -0.017958783) + 0.60522336) + ((VBs * sqrt(P_dyn + 1.0878093)) * -0.0010902307),PySRFunction(X=>square((DST * -0.017958783) + 0.60522336) + ((VBs * sqrt(P_dyn + 1.0878093)) * -0.0010902307)),27,14.01332870004359,10.665747759103821,0.7864914087841135,0.9194555945874263,16.909617342379697
