complexity,loss,equation,score,sympy_format,lambda_format,simulation,TEST_RMSE,TEST_MAE,TEST_R2,TEST_CC,TEST_BFE
19,3.8374472,((DST - Np) * -0.04895255) + (Bzsouth * ((((DST * 2.4618247) + Vp) + (Bzsouth * Np)) * -0.0025749283)),0.0013553473195391,((DST - Np) * -0.04895255) + (Bzsouth * ((((DST * 2.4618247) + Vp) + (Bzsouth * Np)) * -0.0025749283)),PySRFunction(X=>((DST - Np) * -0.04895255) + (Bzsouth * ((((DST * 2.4618247) + Vp) + (Bzsouth * Np)) * -0.0025749283))),8,14.507521645354919,11.195939283063824,0.7646668987770835,0.9124980562214547,16.289981474160975
29,3.791558,((Vp * ((Bzsouth + 1.4056387) * ((DST * (0.0010231906 / (-1.9690949 - Np))) - 0.04994203))) - (DST - (Np + 26.93975))) / (51.730183 / sqrt(sqrt(Np * Bmag))),0.0009039555546464,((Vp * ((Bzsouth + 1.4056387) * ((DST * (0.0010231906 / (-1.9690949 - Np))) - 0.04994203))) - (DST - (Np + 26.93975))) / (51.730183 / sqrt(sqrt(Np * Bmag))),PySRFunction(X=>((Vp * ((Bzsouth + 1.4056387) * ((DST * (0.0010231906 / (-1.9690949 - Np))) - 0.04994203))) - (DST - (Np + 26.93975))) / (51.730183 / sqrt(sqrt(Np * Bmag)))),2,14.615635892917641,10.921004453103881,0.7685767334444952,0.9257819123285748,17.326319822109983
26,3.8055072,(Np * 0.13241224) - ((((Vp + DST) * ((((sqrt(Np) * Bzsouth) + Bzsouth) + 3.2601273) * -0.011131013)) - DST) * ((0.1517603 / Bmag) + -0.08236732)),0.001489414320547,(Np * 0.13241224) - ((((Vp + DST) * ((((sqrt(Np) * Bzsouth) + Bzsouth) + 3.2601273) * -0.011131013)) - DST) * ((0.1517603 / Bmag) + -0.08236732)),PySRFunction(X=>(Np * 0.13241224) - ((((Vp + DST) * ((((sqrt(Np) * Bzsouth) + Bzsouth) + 3.2601273) * -0.011131013)) - DST) * ((0.1517603 / Bmag) + -0.08236732))),1,14.760240419923324,11.28123525158665,0.7626883683416865,0.9225617395697995,17.20519135256158
17,3.8494456,(DST * -0.052771024) - ((((Vp + (Bzsouth * Np)) + (DST / 0.44165215)) * 0.0024323284) * Bzsouth),0.0030345041885094,(DST * -0.052771024) - ((((Vp + (Bzsouth * Np)) + (DST / 0.44165215)) * 0.0024323284) * Bzsouth),PySRFunction(X=>(DST * -0.052771024) - ((((Vp + (Bzsouth * Np)) + (DST / 0.44165215)) * 0.0024323284) * Bzsouth)),7,14.786276918998286,11.438484136036319,0.758333794603206,0.9070659191670393,16.60667248712586
17,3.8494658,((Bzsouth * -0.002419196) * ((Vp + (Bzsouth * Np)) + (DST * 2.1836593))) + (DST * -0.053655926),0.0007267458221727,((Bzsouth * -0.002419196) * ((Vp + (Bzsouth * Np)) + (DST * 2.1836593))) + (DST * -0.053655926),PySRFunction(X=>((Bzsouth * -0.002419196) * ((Vp + (Bzsouth * Np)) + (DST * 2.1836593))) + (DST * -0.053655926)),8,14.810730524055817,11.473117976811874,0.7587520863259853,0.9063422952234557,16.70337066087136
21,3.828225,((DST - Np) * -0.059196714) + (((Bzsouth * Np) + (DST + (DST + Vp))) * ((Bzsouth - -0.48308793) * -0.002420976)),0.0012030522840779,((DST - Np) * -0.059196714) + (((Bzsouth * Np) + (DST + (DST + Vp))) * ((Bzsouth - -0.48308793) * -0.002420976)),PySRFunction(X=>((DST - Np) * -0.059196714) + (((Bzsouth * Np) + (DST + (DST + Vp))) * ((Bzsouth - -0.48308793) * -0.002420976))),8,15.011880157104795,11.651057272295285,0.7524360263479568,0.9133094152243748,16.938878701785022
21,3.8282218,((DST - Np) * -0.05921403) - ((((DST + (Vp + DST)) + (Np * Bzsouth)) * 0.0024143218) * (Bzsouth - -0.49145812)),0.0024371944953106,((DST - Np) * -0.05921403) - ((((DST + (Vp + DST)) + (Np * Bzsouth)) * 0.0024143218) * (Bzsouth - -0.49145812)),PySRFunction(X=>((DST - Np) * -0.05921403) - ((((DST + (Vp + DST)) + (Np * Bzsouth)) * 0.0024143218) * (Bzsouth - -0.49145812))),7,15.022342438927012,11.658378687296919,0.7519889812405209,0.9133840732897738,16.956424885594213
21,3.8220813,(Np * 0.20922062) - (((((Np * 0.00013441133) + 0.0016886025) * (DST + Vp)) * (Bzsouth + 1.2177123)) + (DST * 0.06268321)),0.0011011571476759,(Np * 0.20922062) - (((((Np * 0.00013441133) + 0.0016886025) * (DST + Vp)) * (Bzsouth + 1.2177123)) + (DST * 0.06268321)),PySRFunction(X=>(Np * 0.20922062) - (((((Np * 0.00013441133) + 0.0016886025) * (DST + Vp)) * (Bzsouth + 1.2177123)) + (DST * 0.06268321))),10,15.477036893692674,11.799102241692399,0.757208036641485,0.9183206314484528,17.91847020822745
28,3.803607,(Np * 0.13241021) - ((((((DST * 0.751603) + Vp) * -0.010745671) * ((Bzsouth + (sqrt(Np) * Bzsouth)) + 3.30009)) - DST) * ((0.14686304 / Bmag) + -0.08236732)),0.0002497268393607,(Np * 0.13241021) - ((((((DST * 0.751603) + Vp) * -0.010745671) * ((Bzsouth + (sqrt(Np) * Bzsouth)) + 3.30009)) - DST) * ((0.14686304 / Bmag) + -0.08236732)),PySRFunction(X=>(Np * 0.13241021) - ((((((DST * 0.751603) + Vp) * -0.010745671) * ((Bzsouth + (sqrt(Np) * Bzsouth)) + 3.30009)) - DST) * ((0.14686304 / Bmag) + -0.08236732))),1,15.491590312296514,11.717020478143146,0.7604795154690926,0.9226876978644526,18.197522609341654
23,3.819728,(Np * 0.20203257) - ((((Np * 0.00012786292) + 0.0016431517) * ((Bzsouth + 1.2524072) * (Bzsouth + (DST + Vp)))) + (DST * 0.062692836)),0.000307950641269,(Np * 0.20203257) - ((((Np * 0.00012786292) + 0.0016431517) * ((Bzsouth + 1.2524072) * (Bzsouth + (DST + Vp)))) + (DST * 0.062692836)),PySRFunction(X=>(Np * 0.20203257) - ((((Np * 0.00012786292) + 0.0016431517) * ((Bzsouth + 1.2524072) * (Bzsouth + (DST + Vp)))) + (DST * 0.062692836))),10,15.58786273691582,11.88210788016831,0.7581065602937442,0.9193306914065417,18.114956452162986
27,3.8037744,(Np * 0.120446585) - (((((Bzsouth + 1.2775543) + ((((Np + (DST * 0.03913002)) * Bzsouth) * Vp) * 0.00012573834)) * Vp) * 0.0017270576) + (DST * 0.066715226)),0.0017587846133973,(Np * 0.120446585) - (((((Bzsouth + 1.2775543) + ((((Np + (DST * 0.03913002)) * Bzsouth) * Vp) * 0.00012573834)) * Vp) * 0.0017270576) + (DST * 0.066715226)),PySRFunction(X=>(Np * 0.120446585) - (((((Bzsouth + 1.2775543) + ((((Np + (DST * 0.03913002)) * Bzsouth) * Vp) * 0.00012573834)) * Vp) * 0.0017270576) + (DST * 0.066715226))),10,15.667348235576293,12.073510761531143,0.7448981048264256,0.9170151542378798,18.596974156370514
21,3.8235185,(((-0.015159594 - ((sqrt(Np) * Bzsouth) * 0.006425298)) / inv(Vp + DST)) + (Np - (DST * 0.38008097))) / 6.363088,4.166232793662615e-05,(((-0.015159594 - ((sqrt(Np) * Bzsouth) * 0.006425298)) / inv(Vp + DST)) + (Np - (DST * 0.38008097))) / 6.363088,PySRFunction(X=>(((-0.015159594 - ((sqrt(Np) * Bzsouth) * 0.006425298)) / inv(Vp + DST)) + (Np - (DST * 0.38008097))) / 6.363088),16,15.790025662588807,11.873524924761762,0.7467789357972319,0.918792123758925,18.726562399909863
29,3.8024962,(Np * 0.120446585) - ((((((Bzsouth * (((Vp - Np) * 0.00012573834) * (Np + (DST * 0.0364781)))) + Bzsouth) + 1.2775543) * Vp) * 0.0017270576) + (DST * 0.066715226)),0.0001680455612546,(Np * 0.120446585) - ((((((Bzsouth * (((Vp - Np) * 0.00012573834) * (Np + (DST * 0.0364781)))) + Bzsouth) + 1.2775543) * Vp) * 0.0017270576) + (DST * 0.066715226)),PySRFunction(X=>(Np * 0.120446585) - ((((((Bzsouth * (((Vp - Np) * 0.00012573834) * (Np + (DST * 0.0364781)))) + Bzsouth) + 1.2775543) * Vp) * 0.0017270576) + (DST * 0.066715226))),10,15.837157239319563,12.18263784278207,0.741385211996065,0.9157171993202692,18.927971916077247
20,3.8236778,((DST + Vp) * (0.0010236258 * (-2.4902163 - (Bzsouth * sqrt(Np))))) + (((DST * -0.36444232) + Np) / 5.99583),0.0004573607176858,((DST + Vp) * (0.0010236258 * (-2.4902163 - (Bzsouth * sqrt(Np))))) + (((DST * -0.36444232) + Np) / 5.99583),PySRFunction(X=>((DST + Vp) * (0.0010236258 * (-2.4902163 - (Bzsouth * sqrt(Np))))) + (((DST * -0.36444232) + Np) / 5.99583)),16,15.843596555455076,11.954841414110524,0.7424565292074201,0.9178951302397355,18.66782283251822
23,3.8112729,(((Vp * (((DST * 0.00064852246) / (-0.98426753 - Np)) - 0.043263856)) * Bzsouth) - DST) / (47.35971 / sqrt(sqrt(Np * Bmag))),0.0016320063777728,(((Vp * (((DST * 0.00064852246) / (-0.98426753 - Np)) - 0.043263856)) * Bzsouth) - DST) / (47.35971 / sqrt(sqrt(Np * Bmag))),PySRFunction(X=>(((Vp * (((DST * 0.00064852246) / (-0.98426753 - Np)) - 0.043263856)) * Bzsouth) - DST) / (47.35971 / sqrt(sqrt(Np * Bmag)))),2,15.870683023784991,12.113796287545755,0.7331245895307117,0.909112501809006,18.46142671560261
27,3.798419,(((Vp * ((DST * (0.0007285958 / (-1.1511712 - Np))) - 0.045781374)) * (Bzsouth + 0.27216995)) - (DST - Np)) / (48.068405 / sqrt(sqrt(Np * Bmag))),0.0005767231375923,(((Vp * ((DST * (0.0007285958 / (-1.1511712 - Np))) - 0.045781374)) * (Bzsouth + 0.27216995)) - (DST - Np)) / (48.068405 / sqrt(sqrt(Np * Bmag))),PySRFunction(X=>(((Vp * ((DST * (0.0007285958 / (-1.1511712 - Np))) - 0.045781374)) * (Bzsouth + 0.27216995)) - (DST - Np)) / (48.068405 / sqrt(sqrt(Np * Bmag)))),2,15.95304744720752,12.327823523317518,0.7244891719110464,0.9132836323195865,18.406017741044185
