complexity,loss,equation,score,julia_expression,lambda_format,simulation,TEST_RMSE,TEST_MAE,TEST_R2,TEST_CC,TEST_BFE
16,3.7378116,g = ((#7 * sqrt(#8 - -1.232692)) + #1) * -0.0010752477; d = square((#1 * -0.01726256) + 0.83422506),0.0005386995832779,g = ((#7 * sqrt(#8 - -1.232692)) + #1) * -0.0010752477; d = square((#1 * -0.01726256) + 0.83422506),<pysr.expression_specs.CallableJuliaExpression object at 0x7222a0958680>,9,13.414870273509688,10.061860526176776,0.7984161459911892,0.9245440823253117,16.980477194335144
14,3.7450917,g = (#7 * sqrt(#8 - -0.99076736)) * -0.0011130725; d = square((#1 * -0.018465754) + 0.5846208),0.0014071025261444,g = (#7 * sqrt(#8 - -0.99076736)) * -0.0011130725; d = square((#1 * -0.018465754) + 0.5846208),<pysr.expression_specs.CallableJuliaExpression object at 0x7222a09590a0>,21,13.57505374464776,10.351549363836337,0.7899480682417769,0.9210516273309365,16.57023435315838
14,3.7445433,g = (sqrt(#8 - -1.1470361) * #7) * -0.001083871; d = square(-0.59965426 - (#1 * -0.0181189)),0.0014881651836034,g = (sqrt(#8 - -1.1470361) * #7) * -0.001083871; d = square(-0.59965426 - (#1 * -0.0181189)),<pysr.expression_specs.CallableJuliaExpression object at 0x7222a0958980>,9,13.592331737461256,10.380975031921423,0.7891749912616015,0.9207668755950204,16.681413628106974
14,3.7447288,g = (sqrt(#8 + 1.0290955) * -0.001102109) * #7; d = square((#1 * 0.018099159) + -0.5957179),0.0014535845850851,g = (sqrt(#8 + 1.0290955) * -0.001102109) * #7; d = square((#1 * 0.018099159) + -0.5957179),<pysr.expression_specs.CallableJuliaExpression object at 0x7222a0958b90>,12,13.635864806850572,10.38419850030531,0.7890175017486153,0.9209076629571757,16.747044611177408
14,3.7447405,g = (sqrt(#8 - -1.2840571) * -0.0010544738) * #7; d = square((#1 * -0.017683567) - -0.6224714),0.0014553507158693,g = (sqrt(#8 - -1.2840571) * -0.0010544738) * #7; d = square((#1 * -0.017683567) - -0.6224714),<pysr.expression_specs.CallableJuliaExpression object at 0x7222a0958410>,16,13.686723055727105,10.465042049140408,0.7861189900807817,0.9199904047718453,16.940108522445502
15,3.7451258,g = (#3 * (#8 - (#1 * -0.013912024))) * -0.112646244; d = square(0.6425043 - (#1 * 0.017762642)),0.0031895935771322,g = (#3 * (#8 - (#1 * -0.013912024))) * -0.112646244; d = square(0.6425043 - (#1 * 0.017762642)),<pysr.expression_specs.CallableJuliaExpression object at 0x7222a099d100>,29,13.845248019244261,10.754657059563147,0.780106900865819,0.9186281168897832,15.839020136332241
13,3.7482176,g = ((#8 - -8.778086) * -0.00018054416) * #7; d = square((#1 * -0.017978085) - -0.61877704),0.0061970995863612,g = ((#8 - -8.778086) * -0.00018054416) * #7; d = square((#1 * -0.017978085) - -0.61877704),<pysr.expression_specs.CallableJuliaExpression object at 0x7222a09597f0>,13,14.038531195947206,10.753630170345348,0.7803895744192128,0.917437259370168,17.02098714871449
13,3.7484002,g = ((#8 + 8.599279) * -0.00018273041) * #7; d = square((#1 * 0.018035522) + -0.60566664),0.0019925444576302,g = ((#8 + 8.599279) * -0.00018273041) * #7; d = square((#1 * 0.018035522) + -0.60566664),<pysr.expression_specs.CallableJuliaExpression object at 0x7222a099d880>,30,14.04482017388996,10.740461507940555,0.7806469663493611,0.9178041349861438,16.982809786755094
13,3.7478213,g = ((#8 * -0.0001680143) + -0.001646807) * #7; d = square(0.63784283 - (#1 * 0.017724589)),0.0022306743003487,g = ((#8 * -0.0001680143) + -0.001646807) * #7; d = square(0.63784283 - (#1 * 0.017724589)),<pysr.expression_specs.CallableJuliaExpression object at 0x7222a0958d10>,18,14.075734005647377,10.839099965962687,0.7772758360242062,0.9164331666919706,17.02585304549101
19,3.7203739,g = ((#2 - sqrt(#1)) - ((#3 * 5.693936) * sqrt(#8))) * 0.12150366; d = square((#1 * -0.015046597) + 1.3815321),0.0008682721931275,g = ((#2 - sqrt(#1)) - ((#3 * 5.693936) * sqrt(#8))) * 0.12150366; d = square((#1 * -0.015046597) + 1.3815321),<pysr.expression_specs.CallableJuliaExpression object at 0x7222a1f8f860>,5,14.270545115523145,10.878550214344402,0.7611364114843744,0.9233425169044027,16.93953167933088
