complexity,loss,equation,score,julia_expression,lambda_format,simulation,TEST_RMSE,TEST_MAE,TEST_R2,TEST_CC,TEST_BFE
14,3.8386707,g = #2 * (sqrt(#1 - -1.2173425) * -0.0010723427); d = square((#1 * -0.018120795) + 0.5971914),0.0014133343014385,g = #2 * (sqrt(#1 - -1.2173425) * -0.0010723427); d = square((#1 * -0.018120795) + 0.5971914),<pysr.expression_specs.CallableJuliaExpression object at 0x7999d99bca40>,26,13.888640890788711,10.594898418757637,0.7884381157942231,0.9195967881856291,16.71155294850887
14,3.8387167,g = (sqrt(#1 - -1.1051167) * #2) * -0.0010888062; d = square((#1 * -0.018209398) + 0.59240085),0.0014049787534411,g = (sqrt(#1 - -1.1051167) * #2) * -0.0010888062; d = square((#1 * -0.018209398) + 0.59240085),<pysr.expression_specs.CallableJuliaExpression object at 0x7999d998fce0>,13,13.912392056193099,10.597599499574292,0.7882938552523054,0.9197589630360623,16.730098159694847
14,3.8386486,g = #2 * (sqrt(#1 - -1.1162246) * -0.0010842164); d = square((#1 * -0.01812232) + 0.5913376),0.0014167324531523,g = #2 * (sqrt(#1 - -1.1162246) * -0.0010842164); d = square((#1 * -0.01812232) + 0.5913376),<pysr.expression_specs.CallableJuliaExpression object at 0x7999d99bdbb0>,19,13.917891391378769,10.58946893729656,0.7884469237333784,0.9197949865837239,16.7600743426827
14,3.8386016,g = (sqrt(#1 + 1.2741591) * #2) * -0.0010568084; d = square((#1 * -0.017923174) + 0.6067788),0.0010194089418062,g = (sqrt(#1 + 1.2741591) * #2) * -0.0010568084; d = square((#1 * -0.017923174) + 0.6067788),<pysr.expression_specs.CallableJuliaExpression object at 0x7999d99bf6e0>,17,13.922055617646507,10.624828842431118,0.787127029445126,0.9191730968346334,16.836931636999616
14,3.8385978,g = sqrt(#1 + 1.1796851) * (#2 * -0.0010729168); d = square(0.6009542 - (#1 * 0.018014912)),0.0014213102004683,g = sqrt(#1 + 1.1796851) * (#2 * -0.0010729168); d = square(0.6009542 - (#1 * 0.018014912)),<pysr.expression_specs.CallableJuliaExpression object at 0x7999d99bc9b0>,16,13.931784499942953,10.618225880832352,0.7875553237615459,0.9194539040700693,16.81794664641134
14,3.838594,g = (#2 * -0.0010787687) * sqrt(#1 + 1.1367563); d = square(-0.5991977 - (#1 * -0.01802636)),0.0014211817191907,g = (#2 * -0.0010787687) * sqrt(#1 + 1.1367563); d = square(-0.5991977 - (#1 * -0.01802636)),<pysr.expression_specs.CallableJuliaExpression object at 0x7999d99bf4d0>,25,13.945204841019438,10.619793659439342,0.7874969975680308,0.919521533079874,16.83510271683647
14,3.8385994,g = sqrt(#1 + 1.1285654) * (#2 * -0.0010834173); d = square((#1 * -0.018041985) + 0.600522),0.0009900533175515,g = sqrt(#1 + 1.1285654) * (#2 * -0.0010834173); d = square((#1 * -0.018041985) + 0.600522),<pysr.expression_specs.CallableJuliaExpression object at 0x7999d998d8b0>,6,13.955193569984255,10.630157447948488,0.7874185029481441,0.9195429109239251,16.826320484046636
14,3.8385694,g = (sqrt(#1 + 1.2311755) * -0.0010643639) * #2; d = square((#1 * 0.017898822) - 0.60874665),0.0014243210845361,g = (sqrt(#1 + 1.2311755) * -0.0010643639) * #2; d = square((#1 * 0.017898822) - 0.60874665),<pysr.expression_specs.CallableJuliaExpression object at 0x7999f2164fe0>,1,13.955405977102089,10.644650278626163,0.7867050638759002,0.9191841775385591,16.87613128802583
14,3.8385842,g = (#2 * sqrt(#1 + 1.1526787)) * -0.0010801583; d = square((#1 * -0.01802444) + 0.60348773),0.001425952159588,g = (#2 * sqrt(#1 + 1.1526787)) * -0.0010801583; d = square((#1 * -0.01802444) + 0.60348773),<pysr.expression_specs.CallableJuliaExpression object at 0x7999d998ccb0>,5,13.955908511233494,10.638934182786077,0.7871637260190015,0.9194432428102679,16.83137555032625
14,3.8386252,g = #2 * (sqrt(#1 + 1.0772387) * -0.0010872338); d = square(-0.59778255 - (#1 * -0.018007545)),0.0014181308599384,g = #2 * (sqrt(#1 + 1.0772387) * -0.0010872338); d = square(-0.59778255 - (#1 * -0.018007545)),<pysr.expression_specs.CallableJuliaExpression object at 0x7999d998d040>,9,13.977214527136116,10.628436779669363,0.7872630945544953,0.9195951542498287,16.878568901840392
