complexity,loss,equation,score,julia_expression,lambda_format,simulation,TEST_RMSE,TEST_MAE,TEST_R2,TEST_CC,TEST_BFE
17,3.8511505,g = (#3 - -2.1569605) * (((#2 * #3) + #1) * -0.0018313164); d = square((#1 * -0.015403083) + 1.3434031),0.0019594907474317,g = (#3 - -2.1569605) * (((#2 * #3) + #1) * -0.0018313164); d = square((#1 * -0.015403083) + 1.3434031),<pysr.expression_specs.CallableJuliaExpression object at 0x7179087a0860>,29,13.406367009681398,9.961343288879354,0.8015556756357085,0.9220396189052626,15.615574766122881
17,3.8512657,g = ((#1 + (#2 * #3)) * 0.0018150203) * (-2.0452397 - #3); d = square((#1 * -0.015376654) - -1.3081883),0.006290798032266,g = ((#1 + (#2 * #3)) * 0.0018150203) * (-2.0452397 - #3); d = square((#1 * -0.015376654) - -1.3081883),<pysr.expression_specs.CallableJuliaExpression object at 0x7179087a0e30>,34,13.416983000250344,9.960508128321216,0.8017190001042248,0.9221752049112751,15.687942837875605
20,3.845203,g = (((#3 * (#2 - sqrt(#3))) + #1) * -0.0020206473) * (#3 + 1.6744889); d = square(1.2940204 + (#1 * -0.015307644)),0.0003806096711805,g = (((#3 * (#2 - sqrt(#3))) + #1) * -0.0020206473) * (#3 + 1.6744889); d = square(1.2940204 + (#1 * -0.015307644)),<pysr.expression_specs.CallableJuliaExpression object at 0x7179087a1040>,82,13.417182460293194,10.000902374820212,0.7989056082708234,0.9199264747130895,15.492367383120875
19,3.8464484,g = ((#1 + (#3 * (#2 - 3.8984475))) * -0.0020137676) * (#3 + 1.7266213); d = square((#1 * -0.015400654) - -1.2926528),0.0006617441888087,g = ((#1 + (#3 * (#2 - 3.8984475))) * -0.0020137676) * (#3 + 1.7266213); d = square((#1 * -0.015400654) - -1.2926528),<pysr.expression_specs.CallableJuliaExpression object at 0x71790d38d610>,16,13.421591571930104,10.005121530422908,0.7995690707021905,0.9205448183514152,15.640711396215016
18,3.8513303,g = (neg(#2 * #3) - #1) * ((#3 - -2.297315) / 544.1244); d = square((#1 * 0.015485588) - 1.3748381),0.00252028712963,g = (neg(#2 * #3) - #1) * ((#3 - -2.297315) / 544.1244); d = square((#1 * 0.015485588) - 1.3748381),<pysr.expression_specs.CallableJuliaExpression object at 0x7179087a3530>,47,13.422169858295021,9.97717043531683,0.8003942320836652,0.9218339692257883,15.539781466352483
20,3.8449035,g = ((#3 * (#2 - sqrt(#3))) + #1) * ((#3 - -2.114925) * -0.0020431476); d = square((#1 * -0.015182085) + 1.421883),0.0004457375813724,g = ((#3 * (#2 - sqrt(#3))) + #1) * ((#3 - -2.114925) * -0.0020431476); d = square((#1 * -0.015182085) + 1.421883),<pysr.expression_specs.CallableJuliaExpression object at 0x717908839880>,80,13.423974460001611,9.984973235050806,0.7968520322304615,0.9196048684189628,15.354842208557724
17,3.8515425,g = (((#2 * #3) + #1) * (#3 + 1.8402784)) * -0.001870854; d = square((#1 * -0.015590831) + 1.2713852),0.0019566925597755,g = (((#2 * #3) + #1) * (#3 + 1.8402784)) * -0.001870854; d = square((#1 * -0.015590831) + 1.2713852),<pysr.expression_specs.CallableJuliaExpression object at 0x71790d38d4f0>,16,13.437679814340807,10.031895832403439,0.8018091250972328,0.9223703793041205,15.505325227925402
17,3.8518538,g = ((#3 - -2.1778038) * -0.0018897845) * (#1 + (#3 * #2)); d = square((#1 * -0.015681416) + 1.3596535),0.0020562181081837,g = ((#3 - -2.1778038) * -0.0018897845) * (#1 + (#3 * #2)); d = square((#1 * -0.015681416) + 1.3596535),<pysr.expression_specs.CallableJuliaExpression object at 0x717908838050>,64,13.438575818781834,10.042270515497325,0.8003707276917321,0.92200521635719,15.371752145871406
17,3.8511791,g = (#3 + 1.9151523) * (-0.0018360441 * ((#2 * #3) + #1)); d = square((-0.015899718 * #1) + 1.2630816),0.0019823269991637,g = (#3 + 1.9151523) * (-0.0018360441 * ((#2 * #3) + #1)); d = square((-0.015899718 * #1) + 1.2630816),<pysr.expression_specs.CallableJuliaExpression object at 0x7179087acbc0>,8,13.443196718382154,10.024639493686733,0.8007834025611567,0.9222404554369781,15.521177932770183
18,3.8513122,g = (((neg(#3) * #2) - #1) * 0.001838274) * (#3 + 1.725896); d = square((#1 * -0.015853021) + 1.2177055),0.0001740553929449,g = (((neg(#3) * #2) - #1) * 0.001838274) * (#3 + 1.725896); d = square((#1 * -0.015853021) + 1.2177055),<pysr.expression_specs.CallableJuliaExpression object at 0x7179087a1490>,42,13.448031385056066,10.034986447739584,0.8011684791695801,0.9223013989403878,15.553351672269196
17,3.851187,g = ((#2 * #3) + #1) * ((#3 * -0.001838321) + -0.003316804); d = square(1.2376509 - (#1 * 0.015807047)),0.0019564460615214,g = ((#2 * #3) + #1) * ((#3 * -0.001838321) + -0.003316804); d = square(1.2376509 - (#1 * 0.015807047)),<pysr.expression_specs.CallableJuliaExpression object at 0x71790883a540>,89,13.4512357864476,10.031605647700555,0.8009235708339153,0.9223527844197648,15.53567088206197
17,3.8527446,g = ((#2 * #3) + #1) * ((#3 + 1.9680654) * -0.0019279224); d = square(1.3152155 - (#1 * 0.015934562)),0.0017597468469894,g = ((#2 * #3) + #1) * ((#3 + 1.9680654) * -0.0019279224); d = square(1.3152155 - (#1 * 0.015934562)),<pysr.expression_specs.CallableJuliaExpression object at 0x7179063502c0>,87,13.451499106759233,10.095805330272672,0.8006004292535744,0.9220717130563534,15.278338236742124
17,3.8522477,g = ((#1 + (#3 * #2)) * (-1.6443914 - #3)) * 0.0018640603; d = square((#1 * -0.015542717) + 1.2223805),0.0014572032845831,g = ((#1 + (#3 * #2)) * (-1.6443914 - #3)) * 0.0018640603; d = square((#1 * -0.015542717) + 1.2223805),<pysr.expression_specs.CallableJuliaExpression object at 0x717906351490>,91,13.453755281976665,10.047513474482388,0.8019740750392377,0.9222599056403142,15.603561120036506
21,3.8490045,g = ((#3 * -0.0018790604) + -0.003316804) * (#1 + ((0.31042 + #3) * (-1.913353 + #2))); d = square(1.2376509 - (#1 * 0.015807047)),4.299794619214487e-06,g = ((#3 * -0.0018790604) + -0.003316804) * (#1 + ((0.31042 + #3) * (-1.913353 + #2))); d = square(1.2376509 - (#1 * 0.015807047)),<pysr.expression_specs.CallableJuliaExpression object at 0x717908839d90>,89,13.457286982173306,10.014850797758294,0.7997360804114196,0.9215889278534901,15.621030543766405
20,3.844997,g = (#1 + (#3 * (#2 - sqrt(#3)))) * ((#3 + 1.7266213) * -0.0020137676); d = square((#1 * -0.015400654) - -1.2926528),0.0003774063109717,g = (#1 + (#3 * (#2 - sqrt(#3)))) * ((#3 + 1.7266213) * -0.0020137676); d = square((#1 * -0.015400654) - -1.2926528),<pysr.expression_specs.CallableJuliaExpression object at 0x71790d38fe60>,16,13.461650141386997,10.024003687836439,0.7976979431911552,0.9201270622939968,15.44917856193338
22,3.8358536,g = ((#1 - (((#1 * #2) * -0.012391799) * sqrt(#3))) * -0.0016566068) * (#3 + 1.1568339); d = square(1.0068555 - (#1 * 0.016644657)),0.0034225518978198,g = ((#1 - (((#1 * #2) * -0.012391799) * sqrt(#3))) * -0.0016566068) * (#3 + 1.1568339); d = square(1.0068555 - (#1 * 0.016644657)),<pysr.expression_specs.CallableJuliaExpression object at 0x717908838680>,89,13.470781104641338,10.191563302112156,0.8041484460733941,0.9229758169340334,15.715066366526164
17,3.8513875,g = ((#2 * #3) + #1) * ((#3 - -1.7019566) * -0.0018411612); d = square((#1 * 0.015987625) + -1.205619),0.0019380070110644,g = ((#2 * #3) + #1) * ((#3 - -1.7019566) * -0.0018411612); d = square((#1 * 0.015987625) + -1.205619),<pysr.expression_specs.CallableJuliaExpression object at 0x7179087af590>,20,13.470822407219492,10.065711400166615,0.8004353353189178,0.9222945200349854,15.522445164303017
19,3.8449297,g = ((#1 + (#3 * (#2 + -5.3370132))) * (#3 + 1.6439178)) * -0.0021015273; d = square((#1 * -0.015890777) - -1.2798462),0.0009082808746374,g = ((#1 + (#3 * (#2 + -5.3370132))) * (#3 + 1.6439178)) * -0.0021015273; d = square((#1 * -0.015890777) - -1.2798462),<pysr.expression_specs.CallableJuliaExpression object at 0x7179088383b0>,56,13.474874080935868,10.049731734874664,0.797293140707679,0.9196076983763728,15.507507617717787
19,3.8490376,g = (#1 + ((#2 + -2.2530456) * #3)) * ((#3 * -0.0018790604) + -0.003316804); d = square(1.2376509 - (#1 * 0.015807047)),0.0002791347223591,g = (#1 + ((#2 + -2.2530456) * #3)) * ((#3 * -0.0018790604) + -0.003316804); d = square(1.2376509 - (#1 * 0.015807047)),<pysr.expression_specs.CallableJuliaExpression object at 0x71790883b9e0>,89,13.47784507086996,10.01128466248525,0.7991388913457076,0.9213068048195835,15.765206639443388
17,3.851712,g = (#3 - -1.6351825) * ((#1 + (#2 * #3)) * -0.0018576733); d = square(-1.2031761 - (#1 * -0.01574734)),0.0019006271735081,g = (#3 - -1.6351825) * ((#1 + (#2 * #3)) * -0.0018576733); d = square(-1.2031761 - (#1 * -0.01574734)),<pysr.expression_specs.CallableJuliaExpression object at 0x7179087ad2e0>,9,13.479344521952493,10.076419701809886,0.8007441210801831,0.922359615843537,15.5379608804323
20,3.8454645,g = ((#3 - -2.152752) * (((sqrt(#3) - #2) * #3) - #1)) / 501.94562; d = square(1.4046433 - (#1 * 0.015329162)),0.0004408118523022,g = ((#3 - -2.152752) * (((sqrt(#3) - #2) * #3) - #1)) / 501.94562; d = square(1.4046433 - (#1 * 0.015329162)),<pysr.expression_specs.CallableJuliaExpression object at 0x7179087a0aa0>,47,13.479443719823408,9.970688044453658,0.7961757015721503,0.9194792241318526,15.534861710899701
20,3.8445969,g = ((#1 + (#3 * (#2 - sqrt(#3)))) * 0.0020573507) * (-1.775414 - #3); d = square((#1 * -0.015831897) + 1.3089455),0.0003310852327131,g = ((#1 + (#3 * (#2 - sqrt(#3)))) * 0.0020573507) * (-1.775414 - #3); d = square((#1 * -0.015831897) + 1.3089455),<pysr.expression_specs.CallableJuliaExpression object at 0x717906350e60>,91,13.481808145687713,10.065946287839171,0.7968863608503085,0.9199161601180201,15.249848132997105
17,3.8514466,g = ((#3 + 1.687234) * -0.0018312435) * ((#2 * #3) + #1); d = square((#1 * -0.01596856) + 1.1971948),0.0019267781669273,g = ((#3 + 1.687234) * -0.0018312435) * ((#2 * #3) + #1); d = square((#1 * -0.01596856) + 1.1971948),<pysr.expression_specs.CallableJuliaExpression object at 0x7179087a2060>,46,13.48221693029545,10.069204541868263,0.8001541008767342,0.9223122050046646,15.561186077291357
