Complexity,Loss,Equation
2,4.435685,"g = -0.5929706; d = 0.5929706"
4,4.131813,"g = #2 * -0.0016039247; d = 1.0"
6,3.8396175,"g = #2 * -0.0022509422; d = #1 * -0.059938725"
8,3.8354285,"g = (#2 * -0.0022243958) - 0.25706136; d = #1 * -0.064473964"
9,3.8063684,"g = #2 * (sqrt(#1) * -0.0010943785); d = #1 * -0.051108986"
10,3.790217,"g = sqrt(sqrt(#1)) * (#2 * -0.0017849414); d = #1 * -0.05864529"
11,3.784528,"g = sqrt(#1 + 2.2154574) * (#2 * -0.000958959); d = #1 * -0.057595775"
12,3.755637,"g = #2 * (sqrt(#1) * -0.0011810674); d = square((#1 * 0.017992737) + -0.54998046)"
14,3.744591,"g = #2 * (sqrt(#1 + 1.2001512) * -0.0010794657); d = square((#1 * 0.018212648) - 0.5950098)"
16,3.7335854,"g = sqrt(#1) * ((#2 * -0.0012234024) + 0.88309145); d = square((#1 * 0.015999122) + -1.0179217) + -2.1717992"
18,3.7266994,"g = (sqrt(#1) + 0.34757838) * ((#2 * -0.0010847878) - -0.7820128); d = square((#1 * 0.01594731) + -1.0819185) + -2.4324148"
20,3.7264497,"g = ((-0.0010847878 * #2) - -0.7820128) * sqrt(#1 + sqrt(sqrt(#1))); d = square((0.01594731 * #1) + -1.0819185) + -2.4324148"
21,3.7258122,"g = ((((square(#1) + #2) * -0.0011274508) + 0.9941686) * sqrt(#1 + 0.82286483)) + -2.5062168; d = square((#1 * 0.015983682) + -1.0195416)"
23,3.7254467,"g = ((((square(#1) + #2) * -0.0011274508) + 1.0162058) * sqrt(#1 + 0.89985144)) + -1.4503134; d = square((#1 * 0.015983682) + -1.0390366) + -1.1793921"
25,3.725391,"g = (((#2 * -0.0011274508) + (1.0162058 - square(#1 * -0.032565776))) * sqrt(#1 + 0.89985144)) + -1.4706615; d = square((#1 * 0.015983682) + -1.0433074) + -1.1773219"
26,3.724074,"g = (sqrt(#1 - -1.072171) * (((-0.0010881211 * #2) - -1.0721711) + (sqrt(sqrt(#3)) * (#1 * -0.0022649332)))) + -2.8541832; d = square(-1.072171 + (0.015983842 * #1))"
28,3.7236204,"g = ((((#2 * -0.0010882067) + (sqrt(sqrt(#3)) * ((#1 - -2.8701668) * -0.0022640212))) - -1.072171) * sqrt(#1 - -1.086137)) + -2.8541832; d = square((#1 * 0.015983682) + -1.0902085)"
30,3.7234612,"g = ((((#2 * -0.0010582505) + ((sqrt(sqrt(#3)) * (#1 + 3.476295)) * -0.0023945353)) - -1.0408144) * sqrt(#1 + 1.0526773)) + -1.6230621; d = square((#1 * 0.015965648) + -1.0505723) + -1.0505723"
