Complexity,Loss,Equation
2,4.435685,"g = 0.7047939; d = -0.7047939"
4,4.131813,"g = #2 * -0.001605341; d = 1.0"
6,3.8396177,"g = #2 * -0.002251045; d = #1 * -0.059877273"
8,3.8354275,"g = #2 * -0.0022334836; d = (#1 * -0.06464071) + -0.25860468"
9,3.8063674,"g = #2 * (sqrt(#1) * -0.001093986); d = #1 * -0.05110423"
10,3.790216,"g = #2 * (sqrt(sqrt(#1)) * -0.0017814186); d = #1 * -0.05849424"
11,3.7845395,"g = #2 * (sqrt(#1 - -2.0927284) * -0.00096848566); d = #1 * -0.057334658"
12,3.7556787,"g = #2 * (sqrt(#1) * -0.0011786858); d = square(-0.55529714 - (#1 * -0.017890502))"
14,3.7445524,"g = (sqrt(#1 + 1.3464113) * -0.0010533321) * #2; d = square((#1 * -0.018123109) + 0.59979266)"
16,3.7337332,"g = (((#2 * -0.001226589) + 0.8386233) * sqrt(#1)) + -2.0503945; d = square(0.99385184 - (#1 * 0.016041338))"
18,3.7289436,"g = ((0.5778675 + (-0.0011041578 * #2)) * sqrt(#1 - -0.98722243)) + -1.8080949; d = square(-0.9794829 - (-0.01619508 * #1))"
19,3.728007,"g = (sqrt(#1) + ((#2 * (sqrt(#1) + 0.4469265)) * -0.0010550374)) + -2.1228807; d = square(-0.98002267 - (#1 * -0.01619609))"
20,3.72709,"g = (((#2 * -0.0011294094) * (#1 - -0.7390715)) + -2.024829) / sqrt(#1 - -0.6101689); d = square((#1 * -0.015430415) - -1.1846572)"
22,3.7266266,"g = ((#2 * -0.0011120761) + ((-2.2426674 / (#1 - -1.0708266)) + 0.24439944)) * sqrt(#1 - -1.0390011); d = square(-1.0247773 - (-0.01619508 * #1))"
24,3.7265613,"g = (((-2.2426674 / (#1 - -1.0708266)) + 0.24439944) + ((#1 + #2) * -0.0011120761)) * sqrt(#1 - -1.0247773); d = square((#1 * -0.01619508) - -1.0247773)"
25,3.724676,"g = (((sqrt(#1) + 0.09696418) * #2) * -0.0011016139) + ((sqrt(#2) * -0.01619523) + (-2.2595959 / (#1 - -0.97548115))); d = square(-1.0251352 - (#1 * -0.01619523))"
27,3.724478,"g = ((sqrt(#2) * -0.01619508) + (-2.2595959 / (1.119768 - (#1 * -0.84160167)))) + (sqrt(#1 - -0.28301513) * (#2 * -0.0011041578)); d = square((#1 * -0.01619508) + 1.0409724)"
29,3.7244377,"g = ((sqrt(#2) * -0.01619508) + (sqrt(#1 - -0.31935993) * ((#2 * -0.0011041578) - -0.01619508))) + (-2.2595959 / (1.071238 - (#1 * -0.84160167))); d = square((#1 * -0.016194116) + 1.0392547)"
30,3.7241378,"g = (-2.259597 / (1.0514468 - (#1 * -0.79158807))) + ((sqrt(#1 - -0.20764637) * ((#2 + sqrt(#3)) * -0.001074416)) + (sqrt(#2) * -0.01619657)); d = square((#1 * -0.01619657) + 1.071239)"
