Complexity,Loss,Equation
2,4.435685,"g = 0.102891296; d = -0.102891296"
4,4.131813,"g = #2 * -0.001605856; d = 1.0000181"
6,3.8396182,"g = #2 * -0.0022509696; d = #1 * -0.059848838"
8,3.835429,"g = #2 * -0.0022340044; d = (#1 - -4.0038676) * -0.06483695"
9,3.8063684,"g = sqrt(#1) * (#2 * -0.0010940236); d = #1 * -0.051055316"
10,3.790214,"g = (#2 * sqrt(sqrt(#1))) * -0.0017836163; d = #1 * -0.05844274"
11,3.7845373,"g = (#2 * sqrt(#1 - -2.0788598)) * -0.0009671542; d = #1 * -0.05710369"
12,3.7556322,"g = #2 * (sqrt(#1) * -0.0011829638); d = square((#1 * -0.017954646) - -0.5511592)"
14,3.7445354,"g = sqrt(#1 - -1.3854572) * (#2 * -0.0010481825); d = square((#1 * -0.017905202) - -0.611609)"
16,3.7337945,"g = ((#2 * -0.0012300219) - -0.9277089) * sqrt(#1); d = square(1.049446 - (#1 * 0.015689895)) - 2.2857668"
18,3.7264996,"g = (sqrt(#1) + 0.47797576) * ((#2 * -0.0010266755) - -0.7670842); d = square((#1 * 0.016007507) - 1.0660367) - 2.462228"
20,3.7264938,"g = (sqrt(#1 - 0.01512953) + 0.47797576) * ((#2 * -0.0010266755) - -0.7670842); d = square((#1 * 0.016007507) - 1.0660367) - 2.462228"
21,3.7247863,"g = (sqrt(#1) + 0.52358663) * (((square(#1) + #2) * -0.0010097387) - -0.859372); d = square((#1 * 0.016358653) - 0.9981276) + -2.461123"
23,3.7246938,"g = (((#2 - (square(#1) * -1.115797)) * -0.0010097387) - -0.859372) * (sqrt(#1) + 0.5225092); d = square((#1 * 0.016358653) - 0.9981276) + -2.461123"
24,3.722126,"g = (((((#3 * -0.014091186) / #1) + #2) * -0.0010116622) - -0.83646894) * (sqrt(#1) + 0.6785021); d = square(0.9886644 - (0.016087705 * #1)) - 2.4946947"
26,3.7219067,"g = (((((#3 * -0.014091186) / (#1 + 0.2949983)) + #2) * -0.0010116622) - -0.83646894) * (sqrt(#1) + 0.6785021); d = square(0.9886644 - (#1 * 0.016087705)) - 2.4929612"
27,3.7205534,"g = ((((#2 + square(#1)) + ((#3 / #1) * -0.013352505)) * -0.0010116622) - -0.8578759) * (sqrt(#1) + 0.6568923); d = square((#1 * 0.016087705) - 0.9852482) - 2.4929612"
29,3.720255,"g = (sqrt(#1) + 0.6532879) * ((((#2 + square(#1)) + ((-0.014003661 / #1) * (#3 - #2))) * -0.0010116622) - -0.8578759); d = square((#1 * 0.016087705) - 0.9901272) - 2.4929612"
