Complexity,Loss,Equation
2,4.435685,"g = 0.58215624; d = -0.58215624"
4,4.1318135,"g = #2 * -0.001601863; d = 1.0"
6,3.8396177,"g = #2 * -0.0022506765; d = #1 * -0.059934687"
8,3.83543,"g = #2 * -0.0022343928; d = (#1 * -0.0649539) - 0.25988027"
9,3.8063703,"g = sqrt(#1) * (#2 * -0.0010942488); d = #1 * -0.051214203"
10,3.7902148,"g = (#2 * -0.0017828672) * sqrt(sqrt(#1)); d = #1 * -0.05854453"
11,3.7845268,"g = sqrt(#1 + 2.195807) * (#2 * -0.0009600221); d = #1 * -0.05755308"
12,3.755649,"g = #2 * (sqrt(#1) * -0.0011864874); d = square((#1 * -0.017948255) + 0.5535303)"
14,3.7444775,"g = (sqrt(#1 + 1.2009643) * -0.0010707959) * #2; d = square((#1 * -0.017896468) + 0.6080628)"
16,3.7340255,"g = (0.8961008 - (#2 * 0.0012317966)) * sqrt(#1); d = square((#1 * -0.016572084) + 0.8961008) + -1.9031004"
18,3.7273388,"g = (0.8267843 - (#2 * 0.0011425515)) * sqrt(#1 + 0.7820036); d = square((#1 * -0.01623616) + 0.9826003) + -2.1762955"
19,3.7263122,"g = (0.737203 - (#2 * 0.0010366595)) / inv(sqrt(#1) + 0.4548042); d = square((#1 * -0.015403685) + 1.1757301) + -2.6510096"
21,3.726227,"g = (0.7372029 - ((#1 + #2) * 0.0010342825)) / inv(sqrt(#1) + 0.46242905); d = square((#1 * -0.015395788) + 1.1757303) + -2.6510096"
22,3.7197006,"g = (0.8671867 - (#2 * 0.0011777312)) * sqrt((1.0942432 - (#2 * 9.780915e-5)) + #1); d = square((#1 * -0.01600362) + 1.0054029) + -2.3144233"
24,3.7182424,"g = (sqrt(#1 + (0.60210437 - (#2 * 8.8935696e-5))) - -0.17717761) * (0.8552161 - (#2 * 0.0011777312)); d = square((#1 * -0.01600362) + 1.0006738) + -2.2733428"
26,3.7181761,"g = (sqrt(#1 + (0.60210437 - (#2 * 8.8935696e-5))) - -0.17717761) * (0.8552161 - ((#1 + #2) * 0.0011777312)); d = square((#1 * -0.01600362) + 1.0006738) + -2.2733428"
27,3.717901,"g = (0.82678425 - ((#2 + sqrt(#3)) * 0.0011436194)) * sqrt((#1 + (#2 * -9.669114e-5)) + sqrt(sqrt(#1))); d = square((#1 * -0.016235651) + 1.0297874) + -2.283002"
29,3.7174926,"g = (sqrt((#1 + (#2 * -9.669114e-5)) + sqrt(sqrt(#1))) * (0.93216485 - ((#2 + sqrt(#3)) * 0.0011436194))) + -0.18825561; d = square((#1 * -0.016235651) + 1.0359293) + -2.287464"
