Complexity,Loss,Equation
2,4.435685,"g = 5.6192875e-5; d = -4.1612777e-5"
4,4.131813,"g = #2 * -0.0016046836; d = 1.0000077"
6,3.8396168,"g = #2 / -444.23303; d = #1 * -0.059921894"
8,3.8354285,"g = #2 * -0.0022298372; d = (#1 * -0.06471051) - 0.25980684"
9,3.8063684,"g = (sqrt(#1) * #2) / -913.8588; d = #1 * -0.05111938"
10,3.790214,"g = (sqrt(sqrt(#1)) * #2) / -560.3738; d = #1 * -0.05852522"
11,3.7845588,"g = (sqrt(#1 + 2.3568525) * #2) / -1051.1412; d = #1 * -0.057915326"
12,3.755635,"g = (#2 * sqrt(#1)) / -844.4022; d = square((#1 * 0.018006887) + -0.54970926)"
14,3.7446065,"g = #2 * (sqrt(#1 + 1.0870973) / -917.33514); d = square((#1 * -0.017965315) + 0.6074926)"
15,3.739056,"g = sqrt(#1) * ((#2 / -829.69556) - inv(#1)); d = square(0.9367044 + (#1 * -0.016522823))"
16,3.7341895,"g = sqrt(#1) * ((#2 / -829.6948) - -0.83638215); d = square((#1 * 0.016429) + -0.9039037) - 1.8402828"
18,3.7278404,"g = sqrt(#1 - -0.82155067) * ((#2 * -0.0011469143) - -0.9289956); d = square((#1 * 0.016669672) + -0.9305046) - 2.2491071"
20,3.7277083,"g = sqrt(#1 - -0.8378031) * ((-0.0011469143 * (#1 + #2)) - -0.9289956); d = square((#1 * 0.016669672) + -0.9305046) - 2.2491071"
21,3.7263222,"g = (sqrt(#1 + 1.0949944) * (#2 / -910.727)) - inv((#1 * 0.15459919) - -0.43663782); d = square((#1 * -0.015441441) + 1.2076168)"
23,3.7263067,"g = (((#2 + -2.4062276) * sqrt(#1 + 1.1156543)) / -910.727) - inv((#1 * 0.1496938) - -0.43663782); d = square((#1 * -0.015441441) + 1.2076168)"
24,3.7252216,"g = ((#2 / -910.727) * sqrt(sqrt(#1 * (#1 + 3.0722847)))) - inv((#1 * 0.15459919) - -0.43663782); d = square((#1 * -0.015441441) + 1.2076168)"
26,3.7251966,"g = (sqrt(sqrt((#1 + 3.0925293) * (#1 + -0.020244524))) * (#2 / -910.727)) - inv((#1 * 0.1496938) - -0.43663782); d = square((#1 * -0.015441441) + 1.2076168)"
28,3.7251694,"g = ((sqrt(sqrt((#1 * (#1 + 3.0925293)) + -0.05892599)) * (#2 / -910.727)) - inv((#1 * 0.1496938) - -0.43663782)) - -0.012024991; d = square((#1 * -0.015441441) + 1.2076168)"
30,3.725126,"g = (((sqrt(sqrt((#1 * (#1 + 3.09252)) + -0.07994703)) * #2) / -910.727) - inv((#1 * 0.14971156) - -0.45207942)) - (#1 * -0.015434845); d = square((#1 * -0.015434845) + 1.1972982)"
