Complexity,Loss,Equation
2,4.435685,"g = 0.41196352; d = -0.41196352"
4,4.131813,"g = #2 * -0.001603482; d = 1.0000163"
6,3.8396175,"g = #2 * -0.0022507927; d = #1 * -0.059871707"
8,3.8354259,"g = (#2 * -0.0022295096) - 0.2585206; d = #1 * -0.06460593"
9,3.806368,"g = #2 * (sqrt(#1) * -0.0010940894); d = #1 * -0.05114818"
10,3.790214,"g = #2 * (sqrt(sqrt(#1)) * -0.0017841423); d = #1 * -0.05848975"
11,3.7845287,"g = (#2 * sqrt(#1 + 2.126828)) * -0.0009637042; d = #1 * -0.057304062"
12,3.7556324,"g = sqrt(#1) * (#2 * -0.0011837492); d = square((#1 * -0.017989535) - -0.5502385)"
14,3.7444859,"g = (sqrt(#1 + 1.1690267) * -0.0010762883) * #2; d = square((#1 * -0.017949121) - -0.6049916)"
16,3.7343373,"g = (((#2 * -0.0012117304) + 0.96947545) * sqrt(#1)) + -2.850689; d = square((#1 * 0.014946561) - 1.2304431)"
18,3.72634,"g = (((#2 * -0.0010373964) + 0.72311455) * (sqrt(#1) + 0.46715933)) + -2.6569312; d = square((#1 * 0.015580011) - 1.1783824)"
20,3.7263365,"g = (((#2 * -0.0010384313) + 0.72562116) * (sqrt(#1) + 0.4428432)) + -2.5887983; d = square(1.175343 - ((#1 + 1.0838548) * 0.015503368))"
22,3.725006,"g = (((#2 * -0.0011086494) + 0.7164249) * (inv(inv(#1) + #1) + sqrt(#1))) + -2.857327; d = square(1.2837923 - (#1 * 0.014880364))"
24,3.7248573,"g = ((inv(#1 + inv(-0.0891832 + #1)) + sqrt(#1)) * ((#2 * -0.0011086494) + 0.7164249)) + -2.8367825; d = square((#1 * 0.014880364) - 1.2811517)"
25,3.7224262,"g = (((#2 * -0.0010384313) + 0.7148292) * (sqrt(#1) + 0.4428432)) + -2.5887983; d = square(1.175343 - ((inv((#1 * 0.015112097) + 2.4950895) + #1) * 0.015503368))"
27,3.7220488,"g = (((-0.0010384313 * #2) + 0.7148292) * (sqrt(#1) + 0.4428432)) + -2.5887983; d = square(1.175343 - ((inv(((#1 + -0.58012444) * 0.01511059) + 2.4950905) + #1) * 0.015503368))"
29,3.722037,"g = ((sqrt(#1) + 0.4428432) * ((#2 * -0.0010384313) + 0.7478607)) + -2.5360851; d = square(1.1005604 - ((inv(((#1 + -0.58012444) * 0.01511059) + 2.4950905) + #1) * 0.01511059)) * 1.0680714"
