Complexity,Loss,Equation
2,4.435685,"g = -0.25844947; d = 0.25844947"
4,4.131813,"g = #2 * -0.0016062896; d = 1.000001"
6,3.8396177,"g = #2 * -0.0022511722; d = #1 * -0.059895046"
8,3.8354282,"g = (#2 * -0.002231356) + -0.2595645; d = #1 * -0.06479805"
9,3.8063712,"g = (#2 * -0.0010952008) * sqrt(#1); d = #1 * -0.051172752"
10,3.7824767,"g = #2 * ((#1 * -0.00015871762) + -0.0016443898); d = #1 * -0.057232797"
12,3.7556436,"g = -0.0011798121 * (sqrt(#1) * #2); d = square(-0.55226153 - (#1 * -0.017928775))"
14,3.7446918,"g = #2 * (sqrt(#1 + 1.1819974) * -0.0010732482); d = square(-0.58508307 - (-0.018302402 * #1))"
15,3.7389958,"g = sqrt(#1) * ((#2 * -0.001193764) - inv(#1)); d = square((#1 * -0.01647706) + 0.933943)"
16,3.7380364,"g = (#2 * (sqrt(#1 + 1.3583415) * -0.0010505968)) - 1.1205364; d = square((#1 * -0.015999867) + 1.0785304)"
17,3.7377574,"g = ((#2 * -0.0011930894) - inv(#1 - -0.024695713)) * sqrt(#1); d = square((#1 * -0.016477171) + 0.93155664)"
18,3.730739,"g = ((sqrt(#1 + 0.9105718) * #2) * -0.0011248095) - inv(sqrt(#1)); d = square((#1 * -0.01646939) + 0.9736605)"
19,3.7286544,"g = ((#2 * -0.0011260011) - inv(#1 - -0.37525624)) * sqrt(#1 + 0.9305995); d = square((#1 * -0.016478619) + 0.97365826)"
20,3.7269726,"g = (sqrt(#1 + 0.9916628) * (#2 * -0.0011174594)) - (2.8874607 / (#1 + 1.4806387)); d = square((#1 * -0.016270999) + 1.0147271)"
22,3.7259855,"g = ((#2 * sqrt(#1 + 0.9885921)) * -0.0011174594) - inv(square(#1 / -3.0415096) + 0.7290146); d = square((#1 * -0.016270999) + 1.0115396)"
23,3.7252152,"g = ((((#1 * 0.061102297) + (0.78532815 - (0.14387393 / #1))) * -0.00249551) * #2) - inv(sqrt(#1)); d = square((#1 * -0.016285744) + 0.99959135)"
25,3.7246459,"g = ((((#1 * 0.061102297) + 0.78532815) - (0.14387393 / #1)) * (#2 * -0.00249551)) - inv(sqrt(#1 + 0.036080915)); d = square((#1 * -0.016285744) + 0.9954523)"
26,3.7238538,"g = ((((#1 * 0.06292594) + (0.785339 - (0.14311208 / #1))) * #2) * -0.0024777583) - (1.2463413 / sqrt(#1 - -0.12001217)); d = square((#1 * -0.016261145) + 1.0395983)"
28,3.723784,"g = ((#2 - #1) * (((#1 * 0.06292594) + (0.785339 - (0.14311208 / #1))) * -0.0024777583)) - (1.2463413 / sqrt(#1 - -0.12001217)); d = square((#1 * -0.016261145) + 1.0393878)"
30,3.723721,"g = ((#2 - (#1 / 0.21638289)) * (((#1 * 0.06292594) + (0.785339 - (0.14311208 / #1))) * -0.0024777583)) - (1.2463413 / sqrt(#1 - -0.12001217)); d = square((#1 * -0.016261145) + 1.0393878)"
